fold_id,recording_key,wrong_donors,paired_windows,Q_roles,generator_trial_ids,clean_trial_ids,artifact_trial_ids,generator_time_ranges_samples,clean_time_ranges_samples,artifact_time_ranges_samples,role_overlap_verified,legacy_overlap_field_invalid
study04_layout_04_heldout_06,study04/study04_p39,study04/study04_p38,4,label_eligible_trial_maximization_generator_clean_artifact,0;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22,1,2,"[[0, 800], [2400, 3200], [3200, 4000], [4000, 4800], [4800, 5600], [5600, 6400], [6400, 7200], [7200, 8000], [8000, 8800], [8800, 9600], [9600, 10400], [10400, 11200], [11200, 12000], [12000, 12800], [12800, 13600], [13600, 14400], [14400, 15200], [15200, 16000], [16000, 16800], [16800, 17600], [17600, 18400]]","[[800, 1600]]","[[1600, 2400]]",True,True
study05_layout_05_heldout_00,study05/study05_p06,study05/study05_p10;study05/study05_p24,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19,9,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [16384, 18432], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816], [34816, 36864], [36864, 38912], [38912, 40960]]","[[18432, 20480]]","[[0, 2048]]",True,True
study05_layout_05_heldout_00,study05/study05_p10,study05/study05_p06;study05/study05_p24,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18,8,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [18432, 20480], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816], [34816, 36864], [36864, 38912]]","[[16384, 18432]]","[[0, 2048]]",True,True
study05_layout_05_heldout_00,study05/study05_p24,study05/study05_p06;study05/study05_p10,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17,9,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [16384, 18432], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816], [34816, 36864]]","[[18432, 20480]]","[[0, 2048]]",True,True
study05_layout_05_heldout_01,study05/study05_p40,study05/study05_p41,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;8;9;10;11;12;13;14;15,7,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [16384, 18432], [18432, 20480], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768]]","[[14336, 16384]]","[[0, 2048]]",True,True
study05_layout_05_heldout_01,study05/study05_p41,study05/study05_p40,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16;17;18,8,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [18432, 20480], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816], [34816, 36864], [36864, 38912]]","[[16384, 18432]]","[[0, 2048]]",True,True
study05_layout_05_heldout_02,study05/study05_p43,study05/study05_p44,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19,9,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [16384, 18432], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816], [34816, 36864], [36864, 38912], [38912, 40960]]","[[18432, 20480]]","[[0, 2048]]",True,True
study05_layout_05_heldout_02,study05/study05_p44,study05/study05_p43,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16,8,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [18432, 20480], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816]]","[[16384, 18432]]","[[0, 2048]]",True,True
study05_layout_05_heldout_03,study05/study05_p45,study05/study05_p46,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;9;10;11;12;13;14,8,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [18432, 20480], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720]]","[[16384, 18432]]","[[0, 2048]]",True,True
study05_layout_05_heldout_03,study05/study05_p46,study05/study05_p45,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17;18;19,9,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [16384, 18432], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816], [34816, 36864], [36864, 38912], [38912, 40960]]","[[18432, 20480]]","[[0, 2048]]",True,True
study05_layout_05_heldout_04,study05/study05_p47,study05/study05_p48,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;10;11;12;13;14;15;16;17,9,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [16384, 18432], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816], [34816, 36864]]","[[18432, 20480]]","[[0, 2048]]",True,True
study05_layout_05_heldout_04,study05/study05_p48,study05/study05_p47,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;9;10;11;12;13;14;15;16,8,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [18432, 20480], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720], [30720, 32768], [32768, 34816]]","[[16384, 18432]]","[[0, 2048]]",True,True
study05_layout_05_heldout_05,study05/study05_p49,study05/study05_p50,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;9;10;11;12;13,8,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [18432, 20480], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672]]","[[16384, 18432]]","[[0, 2048]]",True,True
study05_layout_05_heldout_05,study05/study05_p50,study05/study05_p49,4,label_eligible_trial_maximization_generator_clean_artifact,1;2;3;4;5;6;7;8;10;11;12;13;14,9,0,"[[2048, 4096], [4096, 6144], [6144, 8192], [8192, 10240], [10240, 12288], [12288, 14336], [14336, 16384], [16384, 18432], [20480, 22528], [22528, 24576], [24576, 26624], [26624, 28672], [28672, 30720]]","[[18432, 20480]]","[[0, 2048]]",True,True
