acquisition_span_seconds,bootstrap_high,bootstrap_low,condition,correct_top1,correct_top3,duration_seconds,effective_samples,effective_seconds,evidence,evidence_status,mean,mean_correct_minus_mean_wrong,mean_correct_rank,mean_risk,median,median_correct_rank,method,metric,panel,participants,participants_seed_rows,rows,sampling_rate_hz,starts,window_count,window_samples
120,,,,,,120,12000,120.0,exact_duration_v31,historical_invalid_duration_contract,0.9386069436169928,,,,0.9410612540197523,,V26_CALIB_SDEDIT,artifact_remaining,natural,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
120,,,,,,120,12000,120.0,exact_duration_v31,historical_invalid_duration_contract,0.7668233676022465,,,,0.7555394898357205,,V26_CALIB_SDEDIT,retention,natural,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,historical_invalid_duration_contract,0.7619010320588672,,,,0.5039262640380507,,V25_SET_CALIB_DET,risk,paired,,,15,100,[],0,200
0,,,,,,0,0,0.0,exact_duration_v31,historical_invalid_duration_contract,17.906559944471898,,,,18.01850789019631,,V25_SET_CALIB_DET,encoding_ms,paired,,,15,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,historical_invalid_duration_contract,0.7560291352671037,,,,0.5009646916231658,,V25_SET_CALIB_DET,risk,paired,,,15,100,"[0, 200]",2,200
5,,,,,,5,400,4.0,exact_duration_v31,historical_invalid_duration_contract,18.25300439371926,,,,18.593579611559917,,V25_SET_CALIB_DET,encoding_ms,paired,,,15,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,historical_invalid_duration_contract,0.7522943302618201,,,,0.5006172001206627,,V25_SET_CALIB_DET,risk,paired,,,15,100,"[0, 200, 400, 600, 800]",5,200
10,,,,,,10,1000,10.0,exact_duration_v31,historical_invalid_duration_contract,17.960460294394846,,,,18.362250500811367,,V25_SET_CALIB_DET,encoding_ms,paired,,,15,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,historical_invalid_duration_contract,0.7511366995411528,,,,0.5006055065637661,,V25_SET_CALIB_DET,risk,paired,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
30,,,,,,30,3000,30.0,exact_duration_v31,historical_invalid_duration_contract,19.7724128944241,,,,20.222542555630852,,V25_SET_CALIB_DET,encoding_ms,paired,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,historical_invalid_duration_contract,0.7515784637401037,,,,0.5007529502294751,,V25_SET_CALIB_DET,risk,paired,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
120,,,,,,120,12000,120.0,exact_duration_v31,historical_invalid_duration_contract,18.643935205801863,,,,18.929851763661848,,V25_SET_CALIB_DET,encoding_ms,paired,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
0,,,,,,0,0,0.0,exact_duration_v31,historical_invalid_duration_contract,0.7619010320588672,,,,0.5039262640380507,,V26_CALIB_SDEDIT,risk,paired,,,15,100,[],0,200
0,,,,,,0,0,0.0,exact_duration_v31,historical_invalid_duration_contract,17.906559944471898,,,,18.01850789019631,,V26_CALIB_SDEDIT,encoding_ms,paired,,,15,100,[],0,200
5,,,,,,5,400,4.0,exact_duration_v31,historical_invalid_duration_contract,0.7597163541223079,,,,0.5036890144142995,,V26_CALIB_SDEDIT,risk,paired,,,15,100,"[0, 200]",2,200
5,,,,,,5,400,4.0,exact_duration_v31,historical_invalid_duration_contract,18.25300439371926,,,,18.593579611559917,,V26_CALIB_SDEDIT,encoding_ms,paired,,,15,100,"[0, 200]",2,200
10,,,,,,10,1000,10.0,exact_duration_v31,historical_invalid_duration_contract,0.7554159792368645,,,,0.5017963031617304,,V26_CALIB_SDEDIT,risk,paired,,,15,100,"[0, 200, 400, 600, 800]",5,200
10,,,,,,10,1000,10.0,exact_duration_v31,historical_invalid_duration_contract,17.960460294394846,,,,18.362250500811367,,V26_CALIB_SDEDIT,encoding_ms,paired,,,15,100,"[0, 200, 400, 600, 800]",5,200
30,,,,,,30,3000,30.0,exact_duration_v31,historical_invalid_duration_contract,0.7540559088638812,,,,0.5011374470519109,,V26_CALIB_SDEDIT,risk,paired,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
30,,,,,,30,3000,30.0,exact_duration_v31,historical_invalid_duration_contract,19.7724128944241,,,,20.222542555630852,,V26_CALIB_SDEDIT,encoding_ms,paired,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800]",15,200
120,,,,,,120,12000,120.0,exact_duration_v31,historical_invalid_duration_contract,0.7545064779024364,,,,0.5010201545859067,,V26_CALIB_SDEDIT,risk,paired,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
120,,,,,,120,12000,120.0,exact_duration_v31,historical_invalid_duration_contract,18.643935205801863,,,,18.929851763661848,,V26_CALIB_SDEDIT,encoding_ms,paired,,,15,100,"[0, 200, 400, 600, 800, 1000, 1200, 1400, 1600, 1800, 2000, 2200, 2400, 2600, 2800, 3000, 3200, 3400, 3600, 3800, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 10200, 10400, 10600, 10800, 11000, 11200, 11400, 11600, 11800]",60,200
