FIR_population_residual_norm,calibration_samples,calibration_seconds,dataset,effective_rank,full_C_cosine_distance,full_C_frobenius_distance,layout_id,projector_frobenius_distance,projector_principal_angle_deg,recording_key,rho_legacy,sampling_rate_hz,selected_alpha,singular_1,singular_2,split_half_projector_distance,state_active_quiet_C_distance,study,transfer_column_scale_mean,unified_fold,within_subject_half_distance
2.1517476400767794,3000,30.0,sgeyesub,2,0.01539667401712852,0.8268571649290571,layout_04,0.6126939654350281,25.36984515234135,study04/study04_p31,nan,100.0,0.0,4.614766608237175,0.8997466717028131,0.7718339562416077,2.12640175232004,study04,2.877696651450801,17,2.360680712402841
5.82422848996736,3000,30.0,sgeyesub,2,0.21826560529377392,5.977892979509482,layout_04,1.0679450035095215,45.69009454578877,study04/study04_p32,nan,100.0,0.0,8.750724890574562,1.5831844579574603,1.551908254623413,2.8732985898771983,study04,5.417499693518938,17,19.3005174065766
5.108711699817806,3000,30.0,sgeyesub,2,0.09812240492427826,4.425412341720734,layout_04,0.4704873859882355,17.412173417428065,study04/study04_p33,nan,100.0,0.5,8.13879623028515,0.8640689187634499,1.0241551399230957,1.8490432696657115,study04,4.50869726283962,17,4.800065494705799
1.4679652986560818,3000,30.0,sgeyesub,2,0.009053460633330679,0.6551663719768879,layout_04,0.43497276306152344,16.927841109901912,study04/study04_p34,nan,100.0,0.5,4.743254931547105,0.8332964535448945,0.48397544026374817,0.7259996137269589,study04,2.8292080194465363,18,1.0109878869176963
1.8436961332618147,3000,30.0,sgeyesub,2,0.030215642350173266,2.0542311866575895,layout_04,0.7330713868141174,29.64565324948626,study04/study04_p35,nan,100.0,1.0,2.7616945717423422,0.5482622251490578,1.139257788658142,0.8707967093135174,study04,1.708746086838173,18,1.2125925287443526
1.7573794372431593,3000,30.0,sgeyesub,2,0.015019752543249165,1.8051244176799877,layout_04,0.5361767411231995,21.96710994074283,study04/study04_p36,nan,100.0,1.0,2.879420460195836,0.7719223544544592,0.5590426325798035,0.5307038616263324,study04,1.858157202022052,18,0.9828772127220307
2.840399585788427,3000,30.0,sgeyesub,2,0.05987006993779742,2.4409749965186496,layout_04,0.5511112809181213,20.616748362858875,study04/study04_p37,nan,100.0,1.0,2.587346714396179,0.7536256790792973,0.5174940824508667,0.5981378865933439,study04,1.672913108142508,19,0.5787259923907863
9.457375819126373,3000,30.0,sgeyesub,2,0.09120142838489476,2.1566895370708665,layout_04,0.42534908652305603,16.725881289494506,study04/study04_p38,nan,100.0,0.25,3.1033749984605157,1.728915784304726,0.8100224733352661,5.356614967248036,study04,2.44937386933147,19,6.482051130615474
3.5802931243737133,3000,30.0,sgeyesub,2,0.013459419360562608,1.3595914001982647,layout_04,0.4575071930885315,18.134201770908835,study04/study04_p39,nan,100.0,0.25,5.721530476919213,1.1768155182034352,0.9022825360298157,2.570412063159588,study04,3.5290728496415302,19,4.118046343283683
3.5654784158900688,7680,30.0,sgeyesub,2,0.20202610838509671,4.8241486616483495,layout_05,0.42042702436447144,17.110344905260668,study05/study05_p06,nan,256.0,1.0,7.846023290992994,0.7791680959026285,0.6189864873886108,2.5530779650955324,study05,4.514804940823185,20,1.0576101408466523
9.739709928829669,7680,30.0,sgeyesub,2,0.19172807597049657,8.76143067716515,layout_05,0.6732936501502991,28.35262251490515,study05/study05_p10,nan,256.0,1.0,12.52619342809542,0.9704108835219745,0.9292052984237671,4.524573210610755,study05,7.336940190235904,20,3.8723754546109497
5.294816900114192,7680,30.0,sgeyesub,2,0.19632017990411343,4.107056751209768,layout_05,0.4122258722782135,16.828482408327854,study05/study05_p24,nan,256.0,1.0,6.8535568439945465,0.802764991104437,0.36010366678237915,0.974203479242849,study05,3.979355828717824,20,0.7821429563298625
7.5390960894215615,7680,30.0,sgeyesub,2,0.2416845921151134,6.21900505412871,layout_05,0.408300518989563,16.563664205273575,study05/study05_p40,nan,256.0,1.0,9.160011825875113,0.7309344056044641,0.39050135016441345,1.4855577044921278,study05,5.123658048360366,21,0.6674461633782057
10.75740597730175,7680,30.0,sgeyesub,2,0.21737784729067977,5.5166113331786155,layout_05,1.1066434383392334,51.42341467424005,study05/study05_p41,nan,256.0,1.0,8.406464996304056,1.657505618587896,1.388274073600769,3.3622684696048273,study05,5.245359579266392,21,4.530508117372661
4.590738218375184,7680,30.0,sgeyesub,2,0.25617480794504954,9.716412956705442,layout_05,0.6884219646453857,29.05583625116623,study05/study05_p43,nan,256.0,1.0,12.969568549579192,0.7022791964518088,0.4055823087692261,2.206511490319154,study05,7.137064674812938,21,0.5609102632553006
