method,participant,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
DET-CLEAN-WRONG-3,6,0.1347554904409626,0.48995400468508404,0.07971464660088445,0.42104476188280576,0.3527777777777778,0.9030073310148367
DET-CLEAN-WRONG-3,7,0.05331070716892899,0.6140131254990896,0.13819284673635843,0.3437494424783612,0.22499999999999998,0.8770563296864037
DET-CLEAN-WRONG-3,8,0.06446326238868118,0.7564061830441157,0.06692004915139672,0.14161914556890529,0.4472222222222222,0.9731147772639739
DET-CLEAN-WRONG-3,9,0.03153269740906961,0.6670898497104645,0.09890390246034671,0.2223483522034654,0.39444444444444443,0.9125822320110188
DET-CLEAN-WRONG-4,1,0.05055982635465992,0.6147231012582779,0.09446283782285325,0.3031674451048068,0.5,0.9123582757251332
DET-CLEAN-WRONG-4,2,0.039811210719768446,0.6413526733716329,0.1704987051835035,0.3746876184840977,0.055555555555555546,0.8508584139448437
DET-CLEAN-WRONG-4,3,0.04423851511436802,0.7854477514823278,0.056611517019840775,0.1059430526358569,-0.0027777777777778048,0.9525025758120499
DET-CLEAN-WRONG-4,5,0.05308702103952486,0.5542736351490021,0.11206810066002955,0.33869338235327123,0.6450667756881984,0.8845807152127465
DET-CLEAN-WRONG-4,6,0.13194455745445222,0.5011136631170908,0.08072897086277642,0.42564625587884103,0.40277777777777773,0.8980448866333773
DET-CLEAN-WRONG-4,7,0.05080878991634269,0.6199521323045095,0.13028655168648548,0.33157637333708706,0.20833333333333334,0.8844539047197836
DET-CLEAN-WRONG-4,8,0.06518125655191928,0.7624626259009043,0.059718655460158816,0.14023762876916182,0.44722222222222224,0.9728760185172183
DET-CLEAN-WRONG-4,9,0.02923108227558983,0.6742218633492788,0.09815242639873116,0.22099853330673425,0.4222222222222222,0.9153021339832906
DET-CLEAN-WRONG-5,1,0.046024063494520234,0.6467326283454895,0.0759744304566577,0.26919432125168774,0.5,0.9298506097919439
DET-CLEAN-WRONG-5,2,0.04030702099128234,0.6418023308118185,0.14436171544989748,0.356917658847775,0.1333333333333333,0.8707904221986177
DET-CLEAN-WRONG-5,3,0.04447702973318456,0.7920244534810384,0.062312918446582634,0.11477474414546977,-0.005555555555555573,0.9423796735585573
DET-CLEAN-WRONG-5,4,0.040178538614343444,0.7418650984764099,0.07257260421349983,0.18649266027296085,0.7676229508196721,0.9540931083810945
DET-CLEAN-WRONG-5,6,0.12549951143103436,0.5169153809547424,0.06442949489915252,0.40471999678723813,0.3916666666666666,0.9216062849351633
DET-CLEAN-WRONG-5,7,0.04886496606393311,0.6339197158813477,0.11996179239292191,0.31717156400609353,0.20833333333333334,0.8918646821675655
DET-CLEAN-WRONG-5,8,0.061144922817819684,0.7716702272494634,0.064545366122544,0.13526215251608906,0.4666666666666666,0.9747817120243841
DET-CLEAN-WRONG-5,9,0.025903485222868106,0.6909600893656412,0.09171669093217771,0.2007196034047928,0.4138888888888889,0.9210303130591034
DET-CLEAN-WRONG-6,1,0.051763261308444816,0.6038571447134018,0.08642989134941435,0.2966263649668345,0.5291666666666667,0.9221186510503552
DET-CLEAN-WRONG-6,2,0.04292832555638318,0.6224600672721863,0.14056490609170805,0.37622359095433655,0.13888888888888887,0.8748206123354262
DET-CLEAN-WRONG-6,3,0.04580164158424613,0.7862254530191422,0.0595055452235477,0.11318632109501608,0.01388888888888884,0.9460429437679303
DET-CLEAN-WRONG-6,4,0.043924748605359665,0.7233089258273443,0.07243585706795373,0.19257056569735917,0.7580051955154499,0.9480074890039472
DET-CLEAN-WRONG-6,5,0.05691883369264978,0.5508626103401184,0.10943773552490459,0.33536903404751367,0.6436507936507936,0.8913814966645975
DET-CLEAN-WRONG-6,7,0.053208306677939125,0.6218993862469991,0.12473020406956863,0.3271219759013069,0.20277777777777775,0.8901165840324862
DET-CLEAN-WRONG-6,8,0.06395353999124877,0.7595334351062775,0.06289569265808935,0.1354816235782801,0.4666666666666666,0.97864437058736
DET-CLEAN-WRONG-6,9,0.028771443978791427,0.6803448696931204,0.09114872181474361,0.2138910247285016,0.4083333333333334,0.9225089603148424
DET-CLEAN-WRONG-7,1,0.05472997227636572,0.6083536297082901,0.1012459223167885,0.3214140030504772,0.4666666666666667,0.9074765099688876
DET-CLEAN-WRONG-7,2,0.04685332777166921,0.6073292195796967,0.1839172518507467,0.43790101171460316,0.18888888888888888,0.8363969913456533
DET-CLEAN-WRONG-7,3,0.04990121745953038,0.7794787436723709,0.05117110222789687,0.12632755609279778,-0.07500000000000007,0.9502538723064514
DET-CLEAN-WRONG-7,4,0.04648791327324122,0.7180530726909637,0.09106611753129867,0.23584958108234813,0.7357829732932276,0.9281664822303229
DET-CLEAN-WRONG-7,5,0.06040385850913014,0.5526061952114105,0.13838043916679793,0.38284748715450506,0.5686507936507937,0.8622633741168091
DET-CLEAN-WRONG-7,6,0.13611337054734335,0.48702775438626605,0.09612129119216913,0.4531696432830507,0.375,0.8830985382581545
DET-CLEAN-WRONG-7,8,0.06480258918792665,0.7599735458691915,0.08587087291950603,0.1814749120343326,0.4000000000000001,0.9381058763576632
DET-CLEAN-WRONG-7,9,0.032143189059910086,0.672174870967865,0.11697864244571736,0.24761328162176413,0.44722222222222224,0.8979531299265644
DET-CLEAN-WRONG-8,1,0.05664427974745818,0.5910446792840958,0.08132960913160729,0.32908961377424306,0.4666666666666667,0.9234372868304817
DET-CLEAN-WRONG-8,2,0.04439438764099809,0.6093467275301615,0.17946631513677888,0.42298426309322706,0.09444444444444444,0.8395830822648871
DET-CLEAN-WRONG-8,3,0.05149355568945691,0.7724564671516418,0.06322375004698513,0.13661957094400706,0.047222222222222165,0.9438662078082589
DET-CLEAN-WRONG-8,4,0.047243877205559996,0.7178319990634918,0.08564591990949581,0.23460537204267617,0.775700127295872,0.9362803680937857
DET-CLEAN-WRONG-8,5,0.05923250562215912,0.5500096678733826,0.11814662202899424,0.3657332403301386,0.5922889979104206,0.8806946817222293
DET-CLEAN-WRONG-8,6,0.1341350838656668,0.4946334858735402,0.08136581749889599,0.4365535431380109,0.38055555555555554,0.899301832293801
