method,participant,rrmse_temporal,seed
SCAD_WRONG,sub-14,0.8661452018988913,20260810
STANDARD,sub-14,1.1143953979222312,20260810
DET_MATCH,sub-14,0.8325755488541391,20260811
DET_POP,sub-14,0.8260343228499147,20260811
DET_WRONG,sub-14,0.8427800157288503,20260811
RAW,sub-14,1.1143953979222312,20260811
SCAD_MATCH,sub-14,0.8567573894009305,20260811
SCAD_NO_CONTEXT,sub-14,0.863849021541278,20260811
SCAD_POP,sub-14,0.8484634358610492,20260811
SCAD_WRONG,sub-14,0.8599037816004258,20260811
STANDARD,sub-14,1.1143953979222312,20260811
DET_MATCH,sub-15,1.6892960271151323,20260808
DET_POP,sub-15,1.6903914594246694,20260808
DET_WRONG,sub-15,1.6926248267021342,20260808
EEGDFUS_UNIFIED,sub-15,1.8347890786244534,20260808
RAW,sub-15,1.8954332597851238,20260808
SCAD_MATCH,sub-15,1.772358447365049,20260808
SCAD_MATCH_DDIM10,sub-15,1.7772645296451324,20260808
SCAD_MATCH_DDIM50,sub-15,1.7682249389375408,20260808
SCAD_NO_CONTEXT,sub-15,1.8044725387428318,20260808
SCAD_NO_RANK_MATCH,sub-15,1.7702994949067943,20260808
SCAD_POP,sub-15,1.7875996998660006,20260808
SCAD_V_MATCH,sub-15,2.2200242447175293,20260808
SCAD_WRONG,sub-15,1.7870713147405897,20260808
STANDARD,sub-15,1.8954332597851238,20260808
DET_MATCH,sub-15,1.720354023861647,20260810
DET_POP,sub-15,1.7308184253504604,20260810
DET_WRONG,sub-15,1.7297998431830717,20260810
RAW,sub-15,1.8954332597851238,20260810
SCAD_MATCH,sub-15,1.8440384046569105,20260810
SCAD_NO_CONTEXT,sub-15,1.8611844758043947,20260810
SCAD_POP,sub-15,1.8565731081600663,20260810
SCAD_WRONG,sub-15,1.8536125444483735,20260810
STANDARD,sub-15,1.8954332597851238,20260810
DET_MATCH,sub-15,1.7420448587638222,20260811
DET_POP,sub-15,1.7470244997433229,20260811
DET_WRONG,sub-15,1.742890036402969,20260811
RAW,sub-15,1.8954332597851238,20260811
SCAD_MATCH,sub-15,1.8341910900069505,20260811
SCAD_NO_CONTEXT,sub-15,1.8390582444618402,20260811
SCAD_POP,sub-15,1.8474141079479722,20260811
SCAD_WRONG,sub-15,1.839820215468838,20260811
STANDARD,sub-15,1.8954332597851238,20260811
DET_MATCH,sub-17,1.031153954310058,20260808
DET_POP,sub-17,1.0196836339730202,20260808
DET_WRONG,sub-17,1.0283922406476145,20260808
EEGDFUS_UNIFIED,sub-17,1.1779529380437452,20260808
RAW,sub-17,1.368502638951112,20260808
SCAD_MATCH,sub-17,1.0865967113479402,20260808
SCAD_MATCH_DDIM10,sub-17,1.0926116940714161,20260808
SCAD_MATCH_DDIM50,sub-17,1.0835673401500876,20260808
SCAD_NO_CONTEXT,sub-17,1.1173358938896047,20260808
SCAD_NO_RANK_MATCH,sub-17,1.0851701478596725,20260808
SCAD_POP,sub-17,1.0960463230472266,20260808
SCAD_V_MATCH,sub-17,1.5728791030932272,20260808
SCAD_WRONG,sub-17,1.091339882366204,20260808
STANDARD,sub-17,1.368502638951112,20260808
DET_MATCH,sub-17,1.0598672742425053,20260810
DET_POP,sub-17,1.058201471524727,20260810
DET_WRONG,sub-17,1.0597779086739239,20260810
RAW,sub-17,1.368502638951112,20260810
SCAD_MATCH,sub-17,1.2363756177623548,20260810
SCAD_NO_CONTEXT,sub-17,1.230916152620921,20260810
SCAD_POP,sub-17,1.2063111259711958,20260810
SCAD_WRONG,sub-17,1.2165727384078004,20260810
STANDARD,sub-17,1.368502638951112,20260810
DET_MATCH,sub-17,1.0755716947314795,20260811
DET_POP,sub-17,1.0740083427841052,20260811
DET_WRONG,sub-17,1.0764136271641798,20260811
RAW,sub-17,1.368502638951112,20260811
SCAD_MATCH,sub-17,1.1380954357963573,20260811
SCAD_NO_CONTEXT,sub-17,1.1177479984730274,20260811
SCAD_POP,sub-17,1.1485462124983314,20260811
SCAD_WRONG,sub-17,1.1405559414771334,20260811
STANDARD,sub-17,1.368502638951112,20260811
DET_MATCH,sub-18,0.8266123789977023,20260808
DET_POP,sub-18,0.8208052525684858,20260808
DET_WRONG,sub-18,0.824036939454446,20260808
EEGDFUS_UNIFIED,sub-18,0.969673626807182,20260808
RAW,sub-18,1.1339998808301366,20260808
SCAD_MATCH,sub-18,0.8959947878902312,20260808
SCAD_MATCH_DDIM10,sub-18,0.9011767815326392,20260808
SCAD_MATCH_DDIM50,sub-18,0.8916103248484433,20260808
SCAD_NO_CONTEXT,sub-18,0.915043540146952,20260808
SCAD_NO_RANK_MATCH,sub-18,0.8958536083324968,20260808
SCAD_POP,sub-18,0.8910177103955196,20260808
SCAD_V_MATCH,sub-18,1.4235109975335136,20260808
SCAD_WRONG,sub-18,0.8818873496234624,20260808
STANDARD,sub-18,1.1339998808301366,20260808
