budget_seconds,fold_id,fold_cluster,study,recording_key,eligible,calibration_samples,status,arm,support_reliability,oracle_lambda,deployable_lambda,composite_distance,normalized_frobenius,frequency_magnitude,frequency_phase,common_eog_response,wrong_donor_count,mean_wrong_composite_distance
60.0,study05_layout_05_heldout_01,22,study05,study05/study05_p40,True,15360,success,POP,0.46401904493048574,1.0,0.9621687624641105,1.5738269559770988,1.4567645654879038,0.3908061233449882,1.1192393021207496,1.0710969024200356,1,1.6641756052175032
60.0,study05_layout_05_heldout_01,22,study05,study05/study05_p40,True,15360,success,EB_ORACLE,0.46401904493048574,1.0,0.9621687624641105,0.9274238442350669,0.5096225939731283,0.2675560962493976,0.5423026105633004,0.6056374869293392,1,1.6641756052175032
60.0,study05_layout_05_heldout_01,22,study05,study05/study05_p40,True,15360,success,EB_DEPLOYABLE,0.46401904493048574,1.0,0.9621687624641105,0.9456414508008876,0.518932853648958,0.27103852125729505,0.5447289035340437,0.6201300391901882,1,1.6641756052175032
60.0,study05_layout_05_heldout_01,22,study05,study05/study05_p41,True,15360,success,MATCH,0.5662033762634889,1.0,0.06786818209487962,0.9510240308992295,0.5047659401252721,0.36109755214402206,0.37184726057229556,0.5527417526979779,1,1.6261778707532606
60.0,study05_layout_05_heldout_01,22,study05,study05/study05_p41,True,15360,success,POP,0.5662033762634889,1.0,0.06786818209487962,1.2176943793226227,0.6469507433034765,0.4290787653427664,0.42247751682252416,0.7463678622976039,1,1.6261778707532606
60.0,study05_layout_05_heldout_01,22,study05,study05/study05_p41,True,15360,success,EB_ORACLE,0.5662033762634889,1.0,0.06786818209487962,0.9510240308992295,0.5047659401252721,0.36109755214402206,0.37184726057229556,0.5527417526979779,1,1.6261778707532606
60.0,study05_layout_05_heldout_01,22,study05,study05/study05_p41,True,15360,success,EB_DEPLOYABLE,0.5662033762634889,1.0,0.06786818209487962,1.1895566241698112,0.6188479191023609,0.4193391128547157,0.40201805560532944,0.7300157057545625,1,1.6261778707532606
60.0,study05_layout_05_heldout_02,23,study05,study05/study05_p43,True,15360,success,MATCH,0.4199110561459981,0.38,0.7015760066266843,0.922980783020305,0.5833497610411098,0.3235706076725283,0.437063261794108,0.5557038491683659,1,1.106342517396934
60.0,study05_layout_05_heldout_02,23,study05,study05/study05_p43,True,15360,success,POP,0.4199110561459981,0.38,0.7015760066266843,0.8466689806811551,0.555363655254371,0.2632911664568351,0.43611129668814314,0.5397666845555057,1,1.106342517396934
60.0,study05_layout_05_heldout_02,23,study05,study05/study05_p43,True,15360,success,EB_ORACLE,0.4199110561459981,0.38,0.7015760066266843,0.7538567955352637,0.4642565800783718,0.2412002774502881,0.37145652904125104,0.4755108651808506,1,1.106342517396934
