common_random_numbers,erp_amplitude_relative_preservation,erp_latency_relative_preservation,fold,method,motion_coherence_reduction,nonartifact_observation_preservation,observation_change_ratio,output_input_RMS_ratio,participant,posterior_samples,posterior_sd_rms,protocol,query_imu_event_used_for_inference,query_session,reference_free_covariance_distortion,reference_free_psd_distortion,seed,ssvep_phase_relative_preservation,ssvep_snr_relative_preservation,status,support_seconds,task
False,nan,nan,0,DET-WRONG-1,0.02293434739112854,0.9897949285805225,0.016001204028725624,0.9985561966896057,sub-17,0,nan,S2_MOTION_XSPEED,False,ses-04,0.002846651139223788,0.0048018996603786945,20260811,0.9892793493564396,0.9678871911994464,success,60,SSVEP
True,nan,nan,0,DIFF-WRONG-1,0.055684059858322144,0.9719564653933048,0.02837018109858036,0.994955837726593,sub-17,8,nan,S2_MOTION_XSPEED,False,ses-04,0.014409940121918378,0.017749065533280373,20260811,0.975661083254604,0.9917331819369655,success,60,SSVEP
False,nan,nan,0,DET-WRONG-2,-0.002445414662361145,0.9899737117812037,0.015281311236321926,0.9984585046768188,sub-17,0,nan,S2_MOTION_XSPEED,False,ses-04,0.0035483221902905867,0.005332344211637974,20260811,0.9832173325277946,0.8923018131364937,success,60,SSVEP
True,nan,nan,0,DIFF-WRONG-2,0.03346651792526245,0.9716059863567352,0.02876177243888378,0.9946283102035522,sub-17,8,nan,S2_MOTION_XSPEED,False,ses-04,0.0140536562159284,0.01844845339655876,20260811,0.9835064752975583,0.9839914513016537,success,60,SSVEP
False,nan,nan,0,DET-WRONG-3,0.020776808261871338,0.9923380771651864,0.011958510614931583,0.9987167119979858,sub-17,0,nan,S2_MOTION_XSPEED,False,ses-04,0.002413441388641333,0.004229456651955843,20260811,0.9845894285616099,0.9937172913391907,success,60,SSVEP
True,nan,nan,0,DIFF-WRONG-3,0.053233012557029724,0.9712195303291082,0.029080530628561974,0.9946315288543701,sub-17,8,nan,S2_MOTION_XSPEED,False,ses-04,0.01475599408021275,0.018576811999082565,20260811,0.9821791005584362,0.9977379014363081,success,60,SSVEP
False,nan,nan,0,DET-SHUFFLED,0.038449957966804504,0.9892406892031431,0.017067991197109222,0.9984414577484131,sub-17,0,nan,S2_MOTION_XSPEED,False,ses-04,0.002890908546863411,0.005227206740528345,20260811,0.9949904427588439,0.9381718948901205,success,60,SSVEP
True,nan,nan,0,DIFF-SHUFFLED,0.07002799212932587,0.9703785162419081,0.030375385656952858,0.9945208430290222,sub-17,8,nan,S2_MOTION_XSPEED,False,ses-04,0.014961239317195662,0.018976256251335144,20260811,0.9856151071803352,0.989848177201117,success,60,SSVEP
False,1.0,1.0,0,RAW,0.0,1.0,0.0,1.0,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-03,0.0,0.0,20260811,nan,nan,success,60,ERP
False,0.928187256879278,1.0,0,POP,0.0394081212580204,0.8017037063837051,0.15918725728988647,0.9575644731521606,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-03,0.18104154125019947,0.24463742971420288,20260811,nan,nan,success,60,ERP
False,0.9236712251629073,1.0,0,DET-NULL,0.029455866664648056,0.8387552052736282,0.13613876700401306,0.9549603462219238,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-03,0.15357945397907818,0.22948722541332245,20260811,nan,nan,success,60,ERP
False,0.9224069496112132,1.0,0,DET-MATCH,0.02654418721795082,0.8376696407794952,0.1365298330783844,0.9529668688774109,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-03,0.1616154387140176,0.23980973660945892,20260811,nan,nan,success,60,ERP
True,0.8715717821022495,0.1796875,0,DIFF-NULL,0.01652885228395462,0.8163659572601318,0.16756115853786469,0.9721163511276245,sub-18,8,5.640982075599627,S0_STATIC_XSESSION,False,ses-03,0.11092047050835147,0.244519904255867,20260811,nan,nan,success,60,ERP
True,0.8715717821022495,0.1796875,0,DIFF-POP,0.01652885228395462,0.8163659572601318,0.16756115853786469,0.9721163511276245,sub-18,8,5.640982075599627,S0_STATIC_XSESSION,False,ses-03,0.11092047050835147,0.244519904255867,20260811,nan,nan,success,60,ERP
True,0.8886928342725339,0.1796875,0,DIFF-MATCH,0.012845128774642944,0.8471538126468658,0.14005647599697113,0.9766845703125,sub-18,8,4.782267583965582,S0_STATIC_XSESSION,False,ses-03,0.08621725656696495,0.19729286432266235,20260811,nan,nan,success,60,ERP
False,0.9505977586177576,1.0,0,DET-WRONG-1,0.02777581289410591,0.8538816124200821,0.12360133975744247,0.9621909260749817,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-03,0.13164806550838976,0.20382225513458252,20260811,nan,nan,success,60,ERP
True,0.8978440398776096,0.1796875,0,DIFF-WRONG-1,0.012003198266029358,0.8594367504119873,0.1296040415763855,0.979320764541626,sub-18,8,nan,S0_STATIC_XSESSION,False,ses-03,0.07487043345117184,0.17341232299804688,20260811,nan,nan,success,60,ERP
False,0.9497483675057032,1.0,0,DET-WRONG-2,0.02829371765255928,0.8601497411727905,0.12050947546958923,0.9659436345100403,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-03,0.11661665416460068,0.17788444459438324,20260811,nan,nan,success,60,ERP
True,0.8894018509501236,0.1796875,0,DIFF-WRONG-2,0.015237212181091309,0.8451347649097443,0.14165639877319336,0.975422203540802,sub-18,8,nan,S0_STATIC_XSESSION,False,ses-03,0.0927214437867949,0.20796000957489014,20260811,nan,nan,success,60,ERP
False,0.9131626641840014,1.0,0,DET-WRONG-3,0.03316812589764595,0.8381432741880417,0.14054341614246368,0.9623674750328064,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-03,0.127786450859585,0.18898434937000275,20260811,nan,nan,success,60,ERP
True,0.8736508331348469,0.1796875,0,DIFF-WRONG-3,0.014633655548095703,0.8393263816833496,0.14853359758853912,0.9812992811203003,sub-18,8,nan,S0_STATIC_XSESSION,False,ses-03,0.07468284479787292,0.16047583520412445,20260811,nan,nan,success,60,ERP
False,0.9507228377733414,1.0,0,DET-SHUFFLED,0.02832075208425522,0.8540160059928894,0.12415769696235657,0.9632787108421326,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-03,0.12808613662357166,0.19871759414672852,20260811,nan,nan,success,60,ERP
True,0.901245830652886,0.1796875,0,DIFF-SHUFFLED,0.013105697929859161,0.8605916053056717,0.12751662731170654,0.9774748086929321,sub-18,8,nan,S0_STATIC_XSESSION,False,ses-03,0.08355348030131375,0.18888433277606964,20260811,nan,nan,success,60,ERP
False,1.0,1.0,0,RAW,0.0,1.0,0.0,1.0,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-04,0.0,0.0,20260811,nan,nan,success,60,ERP
False,0.8942904604031594,1.0,0,POP,0.058795101940631866,0.7376308441162109,0.2610633373260498,0.9175770878791809,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-04,0.24808504015158464,0.2983846068382263,20260811,nan,nan,success,60,ERP
False,0.8406737927991975,1.0,0,DET-NULL,0.03441651165485382,0.7669793218374252,0.22525610029697418,0.9188191294670105,sub-18,0,nan,S0_STATIC_XSESSION,False,ses-04,0.1971486478104279,0.28364425897598267,20260811,nan,nan,success,60,ERP
