aggregate_across_seeds,artifact_attenuation,artifact_normalized_parallel_error,calibration_duration_axis_complete,calibration_id,calibration_seconds,clean_interval_preservation,correlation,d_perp_y,delta_snr_db,e_parallel,e_perp,failure_reason,fallback_method_id,fallback_used,function_evaluations,latency_seconds,method_id,network_calls_total,operator_source,overlap_fraction,p0_bootstrap_median_distance,p0_bootstrap_q90_distance,p0_bootstrap_success_rate,p0_eligible,p0_movement_coverage,p0_rank,p0_reference_condition,p0_reference_rank,p0_ridge_lambda,p0_singular_ratio,p0_singular_values,partition,peak_memory_mb,projector_distance,projector_max_angle_degrees,projector_overlap_fraction,psd_distortion,query_clean_target_used_by_method,records_are_participants,rrmse,sampler_candidate,seed,source_record,status,time_rrmse,trust_radius
False,,1.71554930098771,False,sim22,10.0,-0.5862264729616873,0.6137206014716702,0.05549920885147331,-4.690114666148105,4.740094172465337,0.05549920883023826,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,6.200614688015776,wrong_source_p0__M2__trust_0p1,200,wrong_source_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1306.6484375,0.025188247751820273,1.8728087973503837,0.9993655521751929,2.9699415600191674,False,False,2.2487928951971603,M2,20260801,51,fallback_POP,2.2487928951971603,0.1
False,,1.7524547404603616,False,sim22,10.0,-0.583133333081699,0.6203348176591484,0.053941093120560245,-4.87479260307223,4.8420645783731535,0.05394109329342417,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,5.491314198006876,wrong_source_p0__M2__trust_0p1,200,wrong_source_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.4861329622160415,False,False,2.2971182773010357,M2,20260802,51,fallback_POP,2.2971182773010357,0.1
False,,1.8912524806861923,False,sim22,10.0,-0.6735700050066118,0.6049726916812649,0.054413223890621566,-5.536612193702788,5.225565279412191,0.05441322389048259,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,5.382029328000499,wrong_source_p0__M2__trust_0p1,200,wrong_source_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.5246339042440695,False,False,2.4789874998901253,M2,20260803,51,fallback_POP,2.4789874998901253,0.1
False,,2.1995157633409503,False,sim22,10.0,-0.9742035368749,0.5577698863932845,0.06209540383832695,-6.848103296731604,6.077302381257987,0.06209540374883119,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,5.525620236992836,wrong_source_p0__M2__trust_0p1,200,wrong_source_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.065799814740696,False,False,2.8830282107410063,M2,20260804,51,fallback_POP,2.8830282107410063,0.1
False,,1.8601768159650045,False,sim22,10.0,-0.6812366250026454,0.5930136793004281,0.054863775043251406,-5.392789036026445,5.139702648029005,0.054863774945668235,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,6.382962904986925,wrong_source_p0__M2__trust_0p1,200,wrong_source_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.618541629591546,False,False,2.4382777689621427,M2,20260805,51,fallback_POP,2.4382777689621427,0.1
True,,0.9494263745277545,False,sim22,10.0,-0.06041689657634963,0.790040218455017,0.038607180022761506,0.44753473193902205,2.623282480132083,0.038607179995169674,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,500,28.982541356002912,wrong_source_p0__M2__trust_0p1,1000,wrong_source_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,0.7548670360391917,False,False,1.2447065948761875,M2,-1,51,fallback_POP,1.2447065948761875,0.1
False,,1.71554930098771,False,sim51_block_shuffled,10.0,-0.5862264729616873,0.6137206014716702,0.05549920885147331,-4.690114666148105,4.740094172465337,0.05549920883023826,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,6.200614688015776,shuffled_calibration_p0__M2__trust_0p1,200,shuffled_calibration_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1306.6484375,0.025188247751820273,1.8728087973503837,0.9993655521751929,2.9699415600191674,False,False,2.2487928951971603,M2,20260801,51,fallback_POP,2.2487928951971603,0.1
False,,1.7524547404603616,False,sim51_block_shuffled,10.0,-0.583133333081699,0.6203348176591484,0.053941093120560245,-4.87479260307223,4.8420645783731535,0.05394109329342417,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,5.491314198006876,shuffled_calibration_p0__M2__trust_0p1,200,shuffled_calibration_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.4861329622160415,False,False,2.2971182773010357,M2,20260802,51,fallback_POP,2.2971182773010357,0.1
False,,1.8912524806861923,False,sim51_block_shuffled,10.0,-0.6735700050066118,0.6049726916812649,0.054413223890621566,-5.536612193702788,5.225565279412191,0.05441322389048259,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,5.382029328000499,shuffled_calibration_p0__M2__trust_0p1,200,shuffled_calibration_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.5246339042440695,False,False,2.4789874998901253,M2,20260803,51,fallback_POP,2.4789874998901253,0.1
False,,2.1995157633409503,False,sim51_block_shuffled,10.0,-0.9742035368749,0.5577698863932845,0.06209540383832695,-6.848103296731604,6.077302381257987,0.06209540374883119,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,5.525620236992836,shuffled_calibration_p0__M2__trust_0p1,200,shuffled_calibration_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.065799814740696,False,False,2.8830282107410063,M2,20260804,51,fallback_POP,2.8830282107410063,0.1
False,,1.8601768159650045,False,sim51_block_shuffled,10.0,-0.6812366250026454,0.5930136793004281,0.054863775043251406,-5.392789036026445,5.139702648029005,0.054863774945668235,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,100,6.382962904986925,shuffled_calibration_p0__M2__trust_0p1,200,shuffled_calibration_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,3.618541629591546,False,False,2.4382777689621427,M2,20260805,51,fallback_POP,2.4382777689621427,0.1
True,,0.9494263745277545,False,sim51_block_shuffled,10.0,-0.06041689657634963,0.790040218455017,0.038607180022761506,0.44753473193902205,2.623282480132083,0.038607179995169674,bootstrap_median;bootstrap_q90,population_only__M2__trust_0p1,True,500,28.982541356002912,shuffled_calibration_p0__M2__trust_0p1,1000,shuffled_calibration_p0,0.22496757183686023,,,,False,,,,,,,[],untouched,1314.7734375,0.025188247751820273,1.8728087973503837,0.9993655521751929,0.7548670360391917,False,False,1.2447065948761875,M2,-1,51,fallback_POP,1.2447065948761875,0.1
False,,1.7211005735494795,False,sim51_paired_query_upper_bound,10.0,-0.5885485564202362,0.6060891546235824,2.905855198998469e-07,-4.716124986578549,4.755432440333628,2.972683313836953e-07,,,False,100,4.988949974998832,oracle_projector__M2__trust_0p1,200,oracle_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.0,1.478779333471098e-06,0.9999999999999998,2.9732885376955522,True,False,2.2555371081703735,M2,20260801,51,success,2.2555371081703735,0.1
False,,1.751956186622555,False,sim51_paired_query_upper_bound,10.0,-0.5822774769580719,0.6126495908833667,2.792625450855976e-07,-4.870464820362935,4.84068706497853,2.8566893492079034e-07,,,False,100,5.546474070986733,oracle_projector__M2__trust_0p1,200,oracle_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.0,1.478779333471098e-06,0.9999999999999998,3.491862121816883,True,False,2.295974013108553,M2,20260802,51,success,2.295974013108553,0.1
False,,1.893220207693207,False,sim51_paired_query_upper_bound,10.0,-0.6747438730909066,0.5990093097010911,2.852719708976493e-07,-5.544022627125748,5.231002145209976,2.9170787501011196e-07,,,False,100,5.741266268014442,oracle_projector__M2__trust_0p1,200,oracle_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.0,1.478779333471098e-06,0.9999999999999998,3.5272859146158333,True,False,2.481103369562778,M2,20260803,51,success,2.481103369562778,0.1
False,,2.208244563908813,False,sim51_paired_query_upper_bound,10.0,-0.9809798580861808,0.548793244756817,3.3270034517208146e-07,-6.88094339993223,6.101420217265683,3.3850576119172946e-07,,,False,100,5.509184327995172,oracle_projector__M2__trust_0p1,200,oracle_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.0,1.478779333471098e-06,0.9999999999999998,3.078364700125292,True,False,2.893949159252101,M2,20260804,51,success,2.893949159252101,0.1
False,,1.8611286766443786,False,sim51_paired_query_upper_bound,10.0,-0.6810205654637358,0.5850294312506878,2.9815692975090556e-07,-5.395528017421311,5.142332656538061,3.0457344353643007e-07,,,False,100,5.437677022011485,oracle_projector__M2__trust_0p1,200,oracle_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.0,1.478779333471098e-06,0.9999999999999998,3.620724135571628,True,False,2.439046769122892,M2,20260805,51,success,2.439046769122892,0.1
True,,0.9476299609488402,False,sim51_paired_query_upper_bound,10.0,-0.0586510338500954,0.7882892119256081,1.5862619857510574e-07,0.46722433532445584,2.618318956477096,1.7025530707607273e-07,,,False,500,27.223551664006663,oracle_projector__M2__trust_0p1,1000,oracle_projector,0.22496757183686023,,,,,,2,,,,,,untouched,1332.59375,0.0,1.478779333471098e-06,0.9999999999999998,0.7554095062807126,True,False,1.2418882281388677,M2,-1,51,success,1.2418882281388677,0.1
