fold,participant,query_index,family,context,donor,selected_codes,observable_only
4,2,4,tongue,MATCH,2,p02:02;p02:08;p02:06;p02:04;p02:15;p02:00;p02:05;p02:12,1
4,2,4,swallowing,WRONG,6,p06:10;p06:13;p06:03;p06:15;p06:12;p06:08;p06:14;p06:09,1
4,2,4,swallowing,WRONG,23,p23:13;p23:09;p23:14;p23:11;p23:08;p23:15;p23:03;p23:04,1
4,2,4,swallowing,WRONG,27,,1
4,2,4,swallowing,POP,,p18:03;p16:07;p08:04;p13:00;p13:11;p01:08;p08:07;p13:04,1
4,2,4,swallowing,MATCH,2,p02:13;p02:08;p02:15;p02:04;p02:06;p02:00;p02:05;p02:12,1
4,2,4,facial_emg,WRONG,6,p06:15;p06:12;p06:13;p06:02;p06:03;p06:14;p06:08;p06:09,1
4,2,4,facial_emg,WRONG,23,p23:02;p23:09;p23:08;p23:11;p23:14;p23:15;p23:03;p23:04,1
4,2,4,facial_emg,WRONG,27,,1
4,2,4,facial_emg,POP,,p08:12;p16:07;p26:00;p01:08;p08:07;p13:00;p13:11;p13:04,1
4,2,4,facial_emg,MATCH,2,p02:02;p02:08;p02:15;p02:04;p02:06;p02:00;p02:12;p02:05,1
4,2,5,head_motion,WRONG,6,p06:07;p06:00;p06:06;p06:02;p06:03;p06:05;p06:08;p06:04,1
4,2,5,head_motion,WRONG,23,p23:01;p23:03;p23:00;p23:13;p23:11;p23:10;p23:07;p23:02,1
4,2,5,head_motion,WRONG,27,,1
4,2,5,head_motion,POP,,p26:09;p20:15;p16:09;p22:03;p18:15;p22:05;p20:04;p22:08,1
4,2,5,head_motion,MATCH,2,p02:11;p02:01;p02:08;p02:04;p02:09;p02:07;p02:06;p02:14,1
4,2,5,chewing,WRONG,6,p06:06;p06:07;p06:00;p06:02;p06:03;p06:08;p06:05;p06:04,1
4,2,5,chewing,WRONG,23,p23:04;p23:06;p23:01;p23:08;p23:07;p23:13;p23:02;p23:10,1
4,2,5,chewing,WRONG,27,,1
4,2,5,chewing,POP,,p26:06;p16:09;p22:02;p22:03;p18:15;p20:04;p22:08;p22:05,1
4,2,5,chewing,MATCH,2,p02:12;p02:03;p02:11;p02:15;p02:09;p02:14;p02:01;p02:08,1
4,2,5,tongue,WRONG,6,p06:13;p06:00;p06:06;p06:02;p06:03;p06:05;p06:08;p06:04,1
4,2,5,tongue,WRONG,23,p23:14;p23:00;p23:01;p23:11;p23:13;p23:07;p23:10;p23:02,1
4,2,5,tongue,WRONG,27,,1
4,2,5,tongue,POP,,p22:14;p20:15;p16:09;p22:03;p22:08;p20:04;p18:15;p22:05,1
4,2,5,tongue,MATCH,2,p02:03;p02:06;p02:11;p02:08;p02:09;p02:07;p02:01;p02:14,1
4,2,5,swallowing,WRONG,6,p06:07;p06:00;p06:06;p06:03;p06:02;p06:05;p06:08;p06:04,1
4,2,5,swallowing,WRONG,23,p23:15;p23:06;p23:08;p23:07;p23:01;p23:13;p23:10;p23:02,1
4,2,5,swallowing,WRONG,27,,1
4,2,5,swallowing,POP,,p22:14;p22:02;p16:09;p20:04;p22:03;p18:15;p22:08;p22:05,1
4,2,5,swallowing,MATCH,2,p02:07;p02:06;p02:03;p02:09;p02:11;p02:08;p02:01;p02:14,1
4,2,5,facial_emg,WRONG,6,p06:07;p06:06;p06:00;p06:02;p06:03;p06:05;p06:08;p06:04,1
4,2,5,facial_emg,WRONG,23,p23:15;p23:06;p23:08;p23:07;p23:01;p23:13;p23:10;p23:02,1
4,2,5,facial_emg,WRONG,27,,1
4,2,5,facial_emg,POP,,p22:07;p16:09;p22:02;p22:03;p20:04;p18:15;p22:08;p22:05,1
4,2,5,facial_emg,MATCH,2,p02:04;p02:03;p02:09;p02:07;p02:08;p02:11;p02:01;p02:14,1
4,2,6,head_motion,WRONG,6,p06:00;p06:03;p06:13;p06:02;p06:11;p06:06;p06:01;p06:10,1
4,2,6,head_motion,WRONG,23,p23:00;p23:14;p23:07;p23:03;p23:11;p23:05;p23:15;p23:09,1
4,2,6,head_motion,WRONG,27,,1
4,2,6,head_motion,POP,,p26:11;p18:07;p22:13;p21:05;p13:13;p13:10;p08:11;p21:06,1
4,2,6,head_motion,MATCH,2,p02:03;p02:02;p02:15;p02:04;p02:13;p02:01;p02:10;p02:11,1
4,2,6,chewing,WRONG,6,p06:07;p06:02;p06:14;p06:01;p06:13;p06:06;p06:11;p06:10,1
4,2,6,chewing,WRONG,23,p23:07;p23:00;p23:03;p23:15;p23:05;p23:14;p23:09;p23:11,1
4,2,6,chewing,WRONG,27,,1
4,2,6,chewing,POP,,p08:01;p13:13;p16:08;p22:13;p26:15;p18:07;p08:09;p21:06,1
4,2,6,chewing,MATCH,2,p02:09;p02:01;p02:02;p02:14;p02:11;p02:04;p02:13;p02:10,1
4,2,6,tongue,WRONG,6,p06:02;p06:14;p06:03;p06:11;p06:01;p06:06;p06:13;p06:10,1
4,2,6,tongue,WRONG,23,p23:03;p23:05;p23:07;p23:04;p23:14;p23:15;p23:11;p23:09,1
4,2,6,tongue,WRONG,27,,1
4,2,6,tongue,POP,,p20:03;p13:13;p22:13;p08:09;p13:05;p26:11;p08:11;p21:06,1
4,2,6,tongue,MATCH,2,p02:03;p02:02;p02:15;p02:01;p02:10;p02:13;p02:04;p02:11,1
4,2,6,swallowing,WRONG,6,p06:00;p06:01;p06:11;p06:07;p06:14;p06:06;p06:13;p06:10,1
4,2,6,swallowing,WRONG,23,p23:05;p23:03;p23:07;p23:04;p23:15;p23:14;p23:11;p23:09,1
4,2,6,swallowing,WRONG,27,,1
4,2,6,swallowing,POP,,p13:00;p21:08;p26:15;p13:05;p08:13;p13:13;p08:09;p21:06,1
4,2,6,swallowing,MATCH,2,p02:07;p02:01;p02:14;p02:02;p02:10;p02:13;p02:04;p02:11,1
4,2,6,facial_emg,WRONG,6,p06:11;p06:02;p06:01;p06:14;p06:03;p06:06;p06:13;p06:10,1
4,2,6,facial_emg,WRONG,23,p23:03;p23:05;p23:07;p23:04;p23:14;p23:11;p23:15;p23:09,1
4,2,6,facial_emg,WRONG,27,,1
