participant,state,run,annotation_rows,all_nonoverlap_candidates,selected_patches,source_prepared_patch_count,unique_selected_starts,duplicate_selected_starts,actual_time_coverage_seconds,interval_span_seconds,first_start,last_stop,current_rowwise_cap_can_repeat,fair_sampling_rule
29,open_base,4,1,13,4,4,4,0,8.0,27.608185399999996,176.046295,192.046295,0,fixed-seed-uniform-over-complete-baseline
29,close_base,4,1,38,4,4,4,0,8.0,77.932241901,16.363529,82.363529,0,fixed-seed-uniform-over-complete-baseline
29,open_base,5,1,27,4,4,4,0,8.0,55.69049530000001,133.733542,165.733542,0,fixed-seed-uniform-over-complete-baseline
29,close_base,5,1,56,4,4,4,0,8.0,113.728603702,10.528877,100.528877,0,fixed-seed-uniform-over-complete-baseline
29,open_base,6,2,29,4,8,4,0,8.0,58.915506600000015,143.786559,241.793926,1,fixed-seed-uniform-over-complete-baseline
29,close_base,6,1,59,4,4,4,0,8.0,118.261845973,60.799727,108.799727,0,fixed-seed-uniform-over-complete-baseline
30,open_base,1,1,59,16,0,16,0,32.0,118.28485650000002,156.25288,262.25288,0,fixed-seed-uniform-over-complete-baseline
30,close_base,1,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
30,open_base,2,1,59,4,4,4,0,8.0,118.4653022,137.308499,241.308499,0,fixed-seed-uniform-over-complete-baseline
30,close_base,2,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
30,open_base,3,1,49,4,4,4,0,8.0,99.8793997,166.890339,238.890339,0,fixed-seed-uniform-over-complete-baseline
30,close_base,3,2,37,4,8,4,0,8.0,75.56161836,25.145157,51.145157,1,fixed-seed-uniform-over-complete-baseline
30,open_base,4,3,37,4,12,4,0,8.0,76.91496070000002,212.948994,240.948994,1,fixed-seed-uniform-over-complete-baseline
30,close_base,4,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
30,open_base,5,1,55,4,4,4,0,8.0,110.0064573,151.092363,243.092363,0,fixed-seed-uniform-over-complete-baseline
30,close_base,5,0,0,0,0,0,0,0.0,0.0,,,0,fixed-seed-uniform-over-complete-baseline
30,open_base,6,3,49,4,12,4,0,8.0,99.87758019999998,143.15476,246.184592,1,fixed-seed-uniform-over-complete-baseline
30,close_base,6,1,19,4,4,4,0,8.0,38.88685052000001,85.138661,101.138661,0,fixed-seed-uniform-over-complete-baseline
