successful_update,pair_indices,pair_keys
1928,418;350;336;637;281;385;229;657,study05/study05_p46:target_t30_512:source_t8_1024;study05/study05_p45:target_t31_512:source_t14_1024;study05/study05_p45:target_t27_0:source_t10_512;study05/study05_p49:target_t23_1024:source_t6_1536;study05/study05_p44:target_t30_512:source_t11_512;study05/study05_p46:target_t21_1024:source_t0_512;study05/study05_p44:target_t17_512:source_t11_0;study05/study05_p50:target_t21_512:source_t3_1536
1929,160;655;697;689;583;561;41;287,study05/study05_p10:target_t35_512:source_t2_1536;study05/study05_p50:target_t20_1536:source_t3_512;study05/study05_p50:target_t35_0:source_t13_1536;study05/study05_p50:target_t32_0:source_t11_1536;study05/study05_p48:target_t31_512:source_t12_512;study05/study05_p48:target_t24_1024:source_t6_1024;study05/study05_p06:target_t27_512:source_t10_1536;study05/study05_p44:target_t31_1536:source_t13_1536
1930,95;488;320;173;651;201;199;121,study05/study05_p10:target_t19_0:source_t2_1024;study05/study05_p47:target_t25_1536:source_t10_0;study05/study05_p45:target_t22_0:source_t6_0;study05/study05_p10:target_t38_1024:source_t6_0;study05/study05_p50:target_t19_512:source_t2_512;study05/study05_p24:target_t28_512:source_t14_1536;study05/study05_p24:target_t27_1536:source_t14_0;study05/study05_p10:target_t25_1024:source_t9_512
1931,186;339;562;380;610;138;264;315,study05/study05_p24:target_t24_512:source_t9_0;study05/study05_p45:target_t27_1536:source_t11_0;study05/study05_p48:target_t24_1536:source_t6_1536;study05/study05_p46:target_t20_512:source_t17_0;study05/study05_p49:target_t13_1024:source_t10_1024;study05/study05_p10:target_t29_1536:source_t14_0;study05/study05_p44:target_t26_0:source_t6_512;study05/study05_p45:target_t20_512:source_t4_1536
1932,521;381;128;200;117;578;508;545,study05/study05_p47:target_t34_0:source_t2_1024;study05/study05_p46:target_t20_1024:source_t17_512;study05/study05_p10:target_t27_512:source_t11_512;study05/study05_p24:target_t28_0:source_t14_512;study05/study05_p10:target_t24_1024:source_t8_0;study05/study05_p48:target_t29_1024:source_t10_1536;study05/study05_p47:target_t30_1536:source_t16_512;study05/study05_p48:target_t20_512:source_t2_1024
1933,274;96;680;292;165;654;237;180,study05/study05_p44:target_t28_1024:source_t8_1536;study05/study05_p10:target_t19_512:source_t2_1536;study05/study05_p50:target_t29_0:source_t9_1024;study05/study05_p44:target_t33_0:source_t0_1024;study05/study05_p10:target_t36_1024:source_t4_0;study05/study05_p50:target_t20_1024:source_t3_0;study05/study05_p44:target_t19_512:source_t14_512;study05/study05_p24:target_t21_1024:source_t7_1024
1934,355;134;652;176;433;656;346;526,study05/study05_p45:target_t32_1024:source_t16_0;study05/study05_p10:target_t28_1536:source_t13_0;study05/study05_p50:target_t19_1024:source_t2_1024;study05/study05_p24:target_t17_512:source_t6_1024;study05/study05_p46:target_t34_0:source_t12_1536;study05/study05_p50:target_t21_0:source_t3_1024;study05/study05_p45:target_t30_512:source_t13_512;study05/study05_p48:target_t15_512:source_t10_1536
1935,40;240;622;349;145;430;460;208,study05/study05_p06:target_t27_0:source_t10_1024;study05/study05_p44:target_t20_0:source_t0_512;study05/study05_p49:target_t18_512:source_t2_1024;study05/study05_p45:target_t31_0:source_t14_0;study05/study05_p10:target_t31_1024:source_t16_0;study05/study05_p46:target_t33_512:source_t11_1024;study05/study05_p47:target_t18_1536:source_t2_512;study05/study05_p24:target_t30_0:source_t16_1536
1936,568;34;249;571;290,study05/study05_p48:target_t26_512:source_t8_512;study05/study05_p06:target_t25_1024:source_t9_0;study05/study05_p44:target_t22_512:source_t2_1024;study05/study05_p48:target_t27_512:source_t9_0;study05/study05_p44:target_t32_1024:source_t0_0
1937,179;699;210;641;657;371;169;590,study05/study05_p24:target_t21_512:source_t7_512;study05/study05_p50:target_t35_1024:source_t14_512;study05/study05_p24:target_t30_1024:source_t0_512;study05/study05_p49:target_t25_1536:source_t8_512;study05/study05_p50:target_t21_512:source_t3_1536;study05/study05_p46:target_t18_0:source_t14_1536;study05/study05_p10:target_t37_1024:source_t5_0;study05/study05_p48:target_t33_0:source_t0_1536
1938,250;541;54;270;327;417;150;653,study05/study05_p44:target_t22_1024:source_t2_1536;study05/study05_p48:target_t19_512:source_t1_1024;study05/study05_p06:target_t30_1536:source_t14_512;study05/study05_p44:target_t27_1024:source_t7_1536;study05/study05_p45:target_t24_1536:source_t8_0;study05/study05_p46:target_t30_0:source_t8_512;study05/study05_p10:target_t32_1536:source_t0_512;study05/study05_p50:target_t19_1536:source_t2_1536
1939,466;420;560;293;228;538;584;626,study05/study05_p47:target_t20_512:source_t3_1536;study05/study05_p46:target_t30_1536:source_t9_0;study05/study05_p48:target_t24_512:source_t6_512;study05/study05_p44:target_t33_512:source_t0_1536;study05/study05_p44:target_t17_0:source_t10_1024;study05/study05_p48:target_t18_1024:source_t0_1536;study05/study05_p48:target_t31_1024:source_t12_1536;study05/study05_p49:target_t19_1024:source_t3_1024
1940,300;273;456;0;611;58;625;500,study05/study05_p44:target_t35_0:source_t2_1024;study05/study05_p44:target_t28_512:source_t8_1024;study05/study05_p47:target_t17_1536:source_t1_512;study05/study05_p06:target_t17_0:source_t0_1024;study05/study05_p49:target_t13_1536:source_t10_1536;study05/study05_p06:target_t31_1536:source_t15_512;study05/study05_p49:target_t19_512:source_t3_512;study05/study05_p47:target_t28_1536:source_t13_1024
1941,170;360;358;556;140;377;547;372,study05/study05_p10:target_t37_1536:source_t5_512;study05/study05_p45:target_t34_0:source_t0_1024;study05/study05_p45:target_t33_1024:source_t0_0;study05/study05_p48:target_t23_0:source_t5_512;study05/study05_p10:target_t30_512:source_t14_1024;study05/study05_p46:target_t19_1024:source_t16_512;study05/study05_p48:target_t20_1536:source_t3_0;study05/study05_p46:target_t18_512:source_t15_0
1942,415;101;350;201;97;537;336;190,study05/study05_p46:target_t29_1024:source_t7_1536;study05/study05_p10:target_t20_1024:source_t4_0;study05/study05_p45:target_t31_512:source_t14_1024;study05/study05_p24:target_t28_512:source_t14_1536;study05/study05_p10:target_t19_1024:source_t3_0;study05/study05_p48:target_t18_512:source_t0_1024;study05/study05_p45:target_t27_0:source_t10_512;study05/study05_p24:target_t25_1024:source_t10_0
1943,369;134;104;422;603;303;599;112,study05/study05_p45:target_t36_1024:source_t2_1536;study05/study05_p10:target_t28_1536:source_t13_0;study05/study05_p10:target_t21_512:source_t4_1536;study05/study05_p46:target_t31_512:source_t9_1024;study05/study05_p49:target_t11_1024:source_t8_1536;study05/study05_p44:target_t35_1536:source_t3_512;study05/study05_p48:target_t36_512:source_t3_0;study05/study05_p10:target_t23_512:source_t6_1536
1944,471;442;678;355;695;33;93;237,study05/study05_p47:target_t21_1024:source_t5_0;study05/study05_p46:target_t36_512:source_t15_512;study05/study05_p50:target_t28_1024:source_t9_0;study05/study05_p45:target_t32_1024:source_t16_0;study05/study05_p50:target_t34_512:source_t13_512;study05/study05_p06:target_t25_512:source_t8_1536;study05/study05_p10:target_t18_1024:source_t2_0;study05/study05_p44:target_t19_512:source_t14_512
1945,110;219;200;241;461;640;612;330,study05/study05_p10:target_t22_1536:source_t6_512;study05/study05_p24:target_t32_1536:source_t2_1024;study05/study05_p24:target_t28_0:source_t14_512;study05/study05_p44:target_t20_512:source_t0_1024;study05/study05_p47:target_t19_0:source_t2_1024;study05/study05_p49:target_t24_1024:source_t7_1536;study05/study05_p49:target_t14_512:source_t0_0;study05/study05_p45:target_t25_1024:source_t8_1536
1946,337;192;36;76;4;328;166;628,study05/study05_p45:target_t27_512:source_t10_1024;study05/study05_p24:target_t26_0:source_t10_1024;study05/study05_p06:target_t26_0:source_t9_1024;study05/study05_p06:target_t36_512:source_t2_1536;study05/study05_p06:target_t18_0:source_t1_1024;study05/study05_p45:target_t25_0:source_t8_512;study05/study05_p10:target_t36_1536:source_t4_512;study05/study05_p49:target_t20_0:source_t4_0
1947,406;292;211;630;689;272;46;161,study05/study05_p46:target_t26_1536:source_t5_1024;study05/study05_p44:target_t33_0:source_t0_1024;study05/study05_p24:target_t30_1536:source_t0_1024;study05/study05_p49:target_t21_0:source_t4_1024;study05/study05_p50:target_t32_0:source_t11_1536;study05/study05_p44:target_t28_0:source_t8_512;study05/study05_p06:target_t28_1536:source_t12_0;study05/study05_p10:target_t35_1024:source_t3_0
1948,318;111;629;263;544;269;432;679,study05/study05_p45:target_t21_512:source_t5_1024;study05/study05_p10:target_t23_0:source_t6_1024;study05/study05_p49:target_t20_1536:source_t4_512;study05/study05_p44:target_t25_1536:source_t6_0;study05/study05_p48:target_t20_0:source_t2_512;study05/study05_p44:target_t27_512:source_t7_1024;study05/study05_p46:target_t33_1536:source_t12_1024;study05/study05_p50:target_t28_1536:source_t9_512
1949,95;257;530;493;452;465;128;474,study05/study05_p10:target_t19_0:source_t2_1024;study05/study05_p44:target_t24_512:source_t4_1024;study05/study05_p48:target_t16_512:source_t11_1536;study05/study05_p47:target_t27_0:source_t11_1024;study05/study05_p46:target_t38_1536:source_t17_1536;study05/study05_p47:target_t20_0:source_t3_1024;study05/study05_p10:target_t27_512:source_t11_512;study05/study05_p47:target_t22_512:source_t5_1536
1950,610;386;307;476;606;282;40;338,study05/study05_p49:target_t13_1024:source_t10_1024;study05/study05_p46:target_t21_1536:source_t0_1024;study05/study05_p45:target_t18_512:source_t2_1536;study05/study05_p47:target_t22_1536:source_t6_512;study05/study05_p49:target_t12_1024:source_t9_1024;study05/study05_p44:target_t30_1024:source_t11_1024;study05/study05_p06:target_t27_0:source_t10_1024;study05/study05_p45:target_t27_1024:source_t10_1536
1951,622;155;326;473;81;117;68;66,study05/study05_p49:target_t18_512:source_t2_1024;study05/study05_p10:target_t34_0:source_t1_1024;study05/study05_p45:target_t24_1024:source_t7_1024;study05/study05_p47:target_t22_0:source_t5_1024;study05/study05_p06:target_t37_1024:source_t4_0;study05/study05_p10:target_t24_1024:source_t8_0;study05/study05_p06:target_t34_512:source_t0_1536;study05/study05_p06:target_t33_1536:source_t0_512
1952,382;361;178;424;535;380;105;517,study05/study05_p46:target_t20_1536:source_t17_1024;study05/study05_p45:target_t34_512:source_t0_1536;study05/study05_p24:target_t21_0:source_t7_0;study05/study05_p46:target_t31_1536:source_t10_0;study05/study05_p48:target_t17_1024:source_t0_0;study05/study05_p46:target_t20_512:source_t17_0;study05/study05_p10:target_t21_1024:source_t5_0;study05/study05_p47:target_t33_0:source_t1_1024
1953,325;696;496;72;631;276;359;533,study05/study05_p45:target_t23_1536:source_t7_512;study05/study05_p50:target_t34_1024:source_t13_1024;study05/study05_p47:target_t27_1536:source_t12_512;study05/study05_p06:target_t35_512:source_t1_1536;study05/study05_p49:target_t21_512:source_t4_1536;study05/study05_p44:target_t29_0:source_t9_512;study05/study05_p45:target_t33_1536:source_t0_512;study05/study05_p48:target_t17_0:source_t13_512
1954,661;552;663;205;109;295;218;677,study05/study05_p50:target_t23_0:source_t4_1536;study05/study05_p48:target_t22_0:source_t4_512;study05/study05_p50:target_t23_1024:source_t5_512;study05/study05_p24:target_t29_512:source_t16_0;study05/study05_p10:target_t22_1024:source_t6_0;study05/study05_p44:target_t33_1536:source_t1_512;study05/study05_p24:target_t32_1024:source_t2_512;study05/study05_p50:target_t28_512:source_t8_1536
1955,605;645;29;619;1;578;503;171,study05/study05_p49:target_t12_512:source_t9_512;study05/study05_p50:target_t16_1536:source_t0_1536;study05/study05_p06:target_t24_512:source_t7_1536;study05/study05_p49:target_t16_0:source_t1_1536;study05/study05_p06:target_t17_512:source_t0_1536;study05/study05_p48:target_t29_1024:source_t10_1536;study05/study05_p47:target_t29_1024:source_t14_512;study05/study05_p10:target_t38_0:source_t5_1024
1956,483;649;31;248;595;412;421;176,study05/study05_p47:target_t24_1024:source_t8_1536;study05/study05_p50:target_t18_512:source_t1_1536;study05/study05_p06:target_t24_1536:source_t8_512;study05/study05_p44:target_t22_0:source_t2_512;study05/study05_p48:target_t34_1536:source_t2_0;study05/study05_p46:target_t28_1536:source_t7_0;study05/study05_p46:target_t31_0:source_t9_512;study05/study05_p24:target_t17_512:source_t6_1024
1957,451;157;251;617;232;621;566;234,study05/study05_p46:target_t38_1024:source_t17_1024;study05/study05_p10:target_t34_1024:source_t2_0;study05/study05_p44:target_t22_1536:source_t3_0;study05/study05_p49:target_t15_1024:source_t1_512;study05/study05_p44:target_t18_0:source_t11_1536;study05/study05_p49:target_t18_0:source_t2_512;study05/study05_p48:target_t25_1536:source_t7_1536;study05/study05_p44:target_t18_1024:source_t12_1536
1958,557;445;118;296;212;349;668;71,study05/study05_p48:target_t23_512:source_t5_1024;study05/study05_p46:target_t37_0:source_t16_0;study05/study05_p10:target_t24_1536:source_t8_512;study05/study05_p44:target_t34_0:source_t1_1024;study05/study05_p24:target_t31_0:source_t0_1536;study05/study05_p45:target_t31_0:source_t14_0;study05/study05_p50:target_t25_1024:source_t6_1024;study05/study05_p06:target_t35_0:source_t1_1024
1959,374;351;667;627;222;646;623;73,study05/study05_p46:target_t18_1536:source_t15_1024;study05/study05_p45:target_t31_1024:source_t14_1536;study05/study05_p50:target_t25_512:source_t6_512;study05/study05_p49:target_t19_1536:source_t3_1536;study05/study05_p44:target_t15_1024:source_t8_1024;study05/study05_p50:target_t17_0:source_t1_0;study05/study05_p49:target_t18_1024:source_t2_1536;study05/study05_p06:target_t35_1024:source_t2_0
1960,366;586;687;504;141;63;347;414,study05/study05_p45:target_t35_1024:source_t2_0;study05/study05_p48:target_t32_0:source_t14_512;study05/study05_p50:target_t31_512:source_t11_512;study05/study05_p47:target_t29_1536:source_t14_1024;study05/study05_p10:target_t30_1024:source_t15_0;study05/study05_p06:target_t33_0:source_t16_1024;study05/study05_p45:target_t30_1024:source_t13_1024;study05/study05_p46:target_t29_512:source_t7_1024
1961,45;216;651;188;233;271;613;472,study05/study05_p06:target_t28_1024:source_t11_1536;study05/study05_p24:target_t32_0:source_t1_1536;study05/study05_p50:target_t19_512:source_t2_512;study05/study05_p24:target_t24_1536:source_t9_1024;study05/study05_p44:target_t18_512:source_t12_1024;study05/study05_p44:target_t27_1536:source_t8_0;study05/study05_p49:target_t14_1024:source_t0_512;study05/study05_p47:target_t21_1536:source_t5_512
1962,279;680;643;594;685;596;7;323,study05/study05_p44:target_t29_1536:source_t10_1024;study05/study05_p50:target_t29_0:source_t9_1024;study05/study05_p49:target_t26_1536:source_t9_0;study05/study05_p48:target_t34_1024:source_t1_1536;study05/study05_p50:target_t30_512:source_t10_1536;study05/study05_p48:target_t35_0:source_t2_512;study05/study05_p06:target_t18_1536:source_t2_512;study05/study05_p45:target_t23_512:source_t6_1536
1963,309;2;364;191;153;11;428;592,study05/study05_p45:target_t18_1536:source_t3_512;study05/study05_p06:target_t17_1024:source_t1_0;study05/study05_p45:target_t35_0:source_t1_1024;study05/study05_p24:target_t25_1536:source_t10_512;study05/study05_p10:target_t33_1024:source_t1_0;study05/study05_p06:target_t19_1536:source_t3_512;study05/study05_p46:target_t32_1536:source_t11_0;study05/study05_p48:target_t34_0:source_t1_512
1964,91;194;312;235;637;509;196;648,study05/study05_p10:target_t18_0:source_t1_1024;study05/study05_p24:target_t26_1024:source_t11_1536;study05/study05_p45:target_t19_1024:source_t4_0;study05/study05_p44:target_t18_1536:source_t13_512;study05/study05_p49:target_t23_1024:source_t6_1536;study05/study05_p47:target_t31_0:source_t16_1024;study05/study05_p24:target_t27_0:source_t13_0;study05/study05_p50:target_t18_0:source_t1_1024
1965,416;224;308;441;132;395;440;290,study05/study05_p46:target_t29_1536:source_t8_0;study05/study05_p44:target_t16_0:source_t9_0;study05/study05_p45:target_t18_1024:source_t3_0;study05/study05_p46:target_t36_0:source_t15_0;study05/study05_p10:target_t28_512:source_t12_1024;study05/study05_p46:target_t24_0:source_t2_1536;study05/study05_p46:target_t35_1536:source_t14_1536;study05/study05_p44:target_t32_1024:source_t0_0
1966,573;167;601;258;408;362;317;539,study05/study05_p48:target_t27_1536:source_t9_1024;study05/study05_p10:target_t37_0:source_t4_1024;study05/study05_p48:target_t36_1536:source_t3_1024;study05/study05_p44:target_t24_1024:source_t4_1536;study05/study05_p46:target_t27_512:source_t6_0;study05/study05_p45:target_t34_1024:source_t1_0;study05/study05_p45:target_t21_0:source_t5_512;study05/study05_p48:target_t18_1536:source_t1_0
1967,62;671;597;522;113;462;286;291,study05/study05_p06:target_t32_1536:source_t16_512;study05/study05_p50:target_t26_1536:source_t7_512;study05/study05_p48:target_t35_1536:source_t2_1024;study05/study05_p47:target_t34_512:source_t2_1536;study05/study05_p10:target_t23_1024:source_t7_0;study05/study05_p47:target_t19_512:source_t2_1536;study05/study05_p44:target_t31_1024:source_t13_512;study05/study05_p44:target_t32_1536:source_t0_512
1968,289;121;55;400;174;574;230;469,study05/study05_p44:target_t32_512:source_t14_1536;study05/study05_p10:target_t25_1024:source_t9_512;study05/study05_p06:target_t31_0:source_t14_1024;study05/study05_p46:target_t25_512:source_t4_0;study05/study05_p10:target_t38_1536:source_t6_512;study05/study05_p48:target_t28_0:source_t9_1536;study05/study05_p44:target_t17_1024:source_t11_512;study05/study05_p47:target_t21_0:source_t4_1024
1969,189;567;575;39;332;404;467;120,study05/study05_p24:target_t25_512:source_t9_1536;study05/study05_p48:target_t26_0:source_t8_0;study05/study05_p48:target_t28_512:source_t10_0;study05/study05_p06:target_t26_1536:source_t10_512;study05/study05_p45:target_t26_0:source_t9_512;study05/study05_p46:target_t26_512:source_t5_0;study05/study05_p47:target_t20_1024:source_t4_0;study05/study05_p10:target_t25_512:source_t9_0
1970,208;434;577;520;28;344;136;12,study05/study05_p24:target_t30_0:source_t16_1536;study05/study05_p46:target_t34_512:source_t13_0;study05/study05_p48:target_t29_512:source_t10_1024;study05/study05_p47:target_t33_1536:source_t2_512;study05/study05_p06:target_t24_0:source_t7_1024;study05/study05_p45:target_t29_1536:source_t12_1536;study05/study05_p10:target_t29_512:source_t13_1024;study05/study05_p06:target_t20_0:source_t3_1024
1971,79;370;275;375;87;555;32;16,study05/study05_p06:target_t37_0:source_t3_1024;study05/study05_p45:target_t36_1536:source_t3_0;study05/study05_p44:target_t28_1536:source_t9_0;study05/study05_p46:target_t19_0:source_t15_1536;study05/study05_p10:target_t17_0:source_t0_1024;study05/study05_p48:target_t22_1536:source_t5_0;study05/study05_p06:target_t25_0:source_t8_1024;study05/study05_p06:target_t21_0:source_t4_1024
1972,343;413;324;457;69;44;202;138,study05/study05_p45:target_t29_1024:source_t12_512;study05/study05_p46:target_t29_0:source_t7_512;study05/study05_p45:target_t23_1024:source_t7_0;study05/study05_p47:target_t18_0:source_t1_1024;study05/study05_p06:target_t34_1024:source_t1_0;study05/study05_p06:target_t28_512:source_t11_1024;study05/study05_p24:target_t28_1024:source_t15_0;study05/study05_p10:target_t29_1536:source_t14_0
1973,559;213;376;554;244;373;114;75,study05/study05_p48:target_t24_0:source_t6_0;study05/study05_p24:target_t31_512:source_t1_0;study05/study05_p46:target_t19_512:source_t16_0;study05/study05_p48:target_t22_1024:source_t4_1536;study05/study05_p44:target_t21_0:source_t1_512;study05/study05_p46:target_t18_1024:source_t15_512;study05/study05_p10:target_t23_1536:source_t7_512;study05/study05_p06:target_t36_0:source_t2_1024
1974,61;146;526;453;502;341;484;644,study05/study05_p06:target_t32_1024:source_t16_0;study05/study05_p10:target_t31_1536:source_t16_512;study05/study05_p48:target_t15_512:source_t10_1536;study05/study05_p47:target_t17_0:source_t0_1024;study05/study05_p47:target_t29_512:source_t14_0;study05/study05_p45:target_t29_0:source_t11_1536;study05/study05_p47:target_t24_1536:source_t9_0;study05/study05_p50:target_t16_0:source_t0_1024
1975,501;427;152;78;477;51;64;684,study05/study05_p47:target_t29_0:source_t13_1536;study05/study05_p46:target_t32_1024:source_t10_1536;study05/study05_p10:target_t33_512:source_t0_1536;study05/study05_p06:target_t36_1536:source_t3_512;study05/study05_p47:target_t23_0:source_t6_1536;study05/study05_p06:target_t30_0:source_t13_1024;study05/study05_p06:target_t33_512:source_t16_1536;study05/study05_p50:target_t30_0:source_t10_1024
1976,356;23;260;489;664;562;268;690,study05/study05_p45:target_t32_1536:source_t16_512;study05/study05_p06:target_t22_1536:source_t6_512;study05/study05_p44:target_t25_0:source_t5_512;study05/study05_p47:target_t26_0:source_t10_512;study05/study05_p50:target_t23_1536:source_t5_1024;study05/study05_p48:target_t24_1536:source_t6_1536;study05/study05_p44:target_t27_0:source_t7_512;study05/study05_p50:target_t32_512:source_t12_0
1977,65;133;187;410;30;262;116;107,study05/study05_p06:target_t33_1024:source_t0_0;study05/study05_p10:target_t28_1024:source_t12_1536;study05/study05_p24:target_t24_1024:source_t9_512;study05/study05_p46:target_t27_1536:source_t6_1024;study05/study05_p06:target_t24_1024:source_t8_0;study05/study05_p44:target_t25_1024:source_t5_1536;study05/study05_p10:target_t24_512:source_t7_1536;study05/study05_p10:target_t22_0:source_t5_1024
1978,659;447;185;488;365;13;491;198,study05/study05_p50:target_t22_0:source_t4_512;study05/study05_p46:target_t37_1024:source_t16_1024;study05/study05_p24:target_t24_0:source_t8_1536;study05/study05_p47:target_t25_1536:source_t10_0;study05/study05_p45:target_t35_512:source_t1_1536;study05/study05_p06:target_t20_512:source_t3_1536;study05/study05_p47:target_t26_1024:source_t10_1536;study05/study05_p24:target_t27_1024:source_t13_1024
1979,674;470;261;278;124;149;354;475,study05/study05_p50:target_t27_1024:source_t8_0;study05/study05_p47:target_t21_512:source_t4_1536;study05/study05_p44:target_t25_512:source_t5_1024;study05/study05_p44:target_t29_1024:source_t9_1536;study05/study05_p10:target_t26_512:source_t10_0;study05/study05_p10:target_t32_1024:source_t0_0;study05/study05_p45:target_t32_512:source_t15_1536;study05/study05_p47:target_t22_1024:source_t6_0
1980,431;217;19;265;131;698;53;245,study05/study05_p46:target_t33_1024:source_t11_1536;study05/study05_p24:target_t32_512:source_t2_0;study05/study05_p06:target_t21_1536:source_t5_512;study05/study05_p44:target_t26_512:source_t6_1024;study05/study05_p10:target_t28_0:source_t12_512;study05/study05_p50:target_t35_512:source_t14_0;study05/study05_p06:target_t30_1024:source_t14_0;study05/study05_p44:target_t21_512:source_t1_1024
1981,589;608;184;582;576;602;83;464,study05/study05_p48:target_t32_1536:source_t0_1024;study05/study05_p49:target_t13_0:source_t10_0;study05/study05_p24:target_t23_1024:source_t8_1024;study05/study05_p48:target_t30_1536:source_t11_1536;study05/study05_p48:target_t29_0:source_t10_512;study05/study05_p49:target_t11_512:source_t8_512;study05/study05_p06:target_t38_0:source_t4_1024;study05/study05_p47:target_t19_1536:source_t3_512
1982,80;156;183;458;697;513;37;180,study05/study05_p06:target_t37_512:source_t3_1536;study05/study05_p10:target_t34_512:source_t1_1536;study05/study05_p24:target_t23_512:source_t8_512;study05/study05_p47:target_t18_512:source_t1_1536;study05/study05_p50:target_t35_0:source_t13_1536;study05/study05_p47:target_t32_0:source_t0_1024;study05/study05_p06:target_t26_512:source_t9_1536;study05/study05_p24:target_t21_1024:source_t7_1024
1983,322;448;480;41;418;700;570;229,study05/study05_p45:target_t23_0:source_t6_1024;study05/study05_p46:target_t37_1536:source_t16_1536;study05/study05_p47:target_t23_1536:source_t7_1024;study05/study05_p06:target_t27_512:source_t10_1536;study05/study05_p46:target_t30_512:source_t8_1024;study05/study05_p50:target_t35_1536:source_t14_1024;study05/study05_p48:target_t26_1536:source_t8_1536;study05/study05_p44:target_t17_512:source_t11_0
1984,666;115;383;342;658;439;280;8,study05/study05_p50:target_t25_0:source_t6_0;study05/study05_p10:target_t24_0:source_t7_1024;study05/study05_p46:target_t21_0:source_t17_1536;study05/study05_p45:target_t29_512:source_t12_0;study05/study05_p50:target_t21_1024:source_t4_0;study05/study05_p46:target_t35_1024:source_t14_1024;study05/study05_p44:target_t30_0:source_t11_0;study05/study05_p06:target_t19_0:source_t2_1024
1985,662;583;381;86;521;543;494;561,study05/study05_p50:target_t23_512:source_t5_0;study05/study05_p48:target_t31_512:source_t12_512;study05/study05_p46:target_t20_1024:source_t17_512;study05/study05_p06:target_t38_1536:source_t5_512;study05/study05_p47:target_t34_0:source_t2_1024;study05/study05_p48:target_t19_1536:source_t2_0;study05/study05_p47:target_t27_512:source_t11_1536;study05/study05_p48:target_t24_1024:source_t6_1024
1986,14;402;145;550;389;665;288;524,study05/study05_p06:target_t20_1024:source_t4_0;study05/study05_p46:target_t25_1536:source_t4_1024;study05/study05_p10:target_t31_1024:source_t16_0;study05/study05_p48:target_t21_1024:source_t3_1536;study05/study05_p46:target_t22_1024:source_t1_512;study05/study05_p50:target_t24_1024:source_t5_1536;study05/study05_p44:target_t32_0:source_t14_512;study05/study05_p47:target_t34_1536:source_t3_512
1987,277;688;96;449;468;672;572;585,study05/study05_p44:target_t29_512:source_t9_1024;study05/study05_p50:target_t31_1536:source_t11_1024;study05/study05_p10:target_t19_512:source_t2_1536;study05/study05_p46:target_t38_0:source_t17_0;study05/study05_p47:target_t20_1536:source_t4_512;study05/study05_p50:target_t27_0:source_t7_1024;study05/study05_p48:target_t27_1024:source_t9_512;study05/study05_p48:target_t31_1536:source_t13_512
1988,673;255;246;90;173;215;137;247,study05/study05_p50:target_t27_512:source_t7_1536;study05/study05_p44:target_t23_1536:source_t4_0;study05/study05_p44:target_t21_1024:source_t1_1536;study05/study05_p10:target_t17_1536:source_t1_512;study05/study05_p10:target_t38_1024:source_t6_0;study05/study05_p24:target_t31_1536:source_t1_1024;study05/study05_p10:target_t29_1024:source_t13_1536;study05/study05_p44:target_t21_1536:source_t2_0
1989,495;542;168;656;106;148;70;394,study05/study05_p47:target_t27_1024:source_t12_0;study05/study05_p48:target_t19_1024:source_t1_1536;study05/study05_p10:target_t37_512:source_t4_1536;study05/study05_p50:target_t21_0:source_t3_1024;study05/study05_p10:target_t21_1536:source_t5_512;study05/study05_p10:target_t32_512:source_t16_1536;study05/study05_p06:target_t34_1536:source_t1_512;study05/study05_p46:target_t23_1536:source_t2_1024
1990,333;172;43;618;548;123;100;335,study05/study05_p45:target_t26_512:source_t9_1024;study05/study05_p10:target_t38_512:source_t5_1536;study05/study05_p06:target_t27_1536:source_t11_512;study05/study05_p49:target_t15_1536:source_t1_1024;study05/study05_p48:target_t21_0:source_t3_512;study05/study05_p10:target_t26_0:source_t9_1536;study05/study05_p10:target_t20_512:source_t3_1536;study05/study05_p45:target_t26_1536:source_t10_0
1991,405;47;59;331;600;363;129;391,study05/study05_p46:target_t26_1024:source_t5_512;study05/study05_p06:target_t29_0:source_t12_512;study05/study05_p06:target_t32_0:source_t15_1024;study05/study05_p45:target_t25_1536:source_t9_0;study05/study05_p48:target_t36_1024:source_t3_512;study05/study05_p45:target_t34_1536:source_t1_512;study05/study05_p10:target_t27_1024:source_t11_1024;study05/study05_p46:target_t23_0:source_t1_1536
1992,634;435;499;686;429;638;294;34,study05/study05_p49:target_t22_1536:source_t5_1024;study05/study05_p46:target_t34_1024:source_t13_512;study05/study05_p47:target_t28_1024:source_t13_512;study05/study05_p50:target_t31_0:source_t11_0;study05/study05_p46:target_t33_0:source_t11_512;study05/study05_p49:target_t23_1536:source_t7_0;study05/study05_p44:target_t33_1024:source_t1_0;study05/study05_p06:target_t25_1024:source_t9_0
1993,345;463;352;305;281;525;397;165,study05/study05_p45:target_t30_0:source_t13_0;study05/study05_p47:target_t19_1024:source_t3_0;study05/study05_p45:target_t31_1536:source_t15_512;study05/study05_p45:target_t17_512:source_t2_512;study05/study05_p44:target_t30_512:source_t11_512;study05/study05_p48:target_t15_0:source_t10_1024;study05/study05_p46:target_t24_1024:source_t3_512;study05/study05_p10:target_t36_1024:source_t4_0
