seed,subject,protocol,context,uncertainty_mean,latent_uncertainty_mean,preservation,covariance,eog_attenuation,mi_kappa,low_eog_fraction
20260808,7,same_02,MATCH,0.049896612763404846,0.007042588200420141,0.7671771794557571,0.08629033772665659,0.13954946744456215,0.06666666666666665,0.3
20260808,7,same_02,POP,0.04986412078142166,0.007037996780127287,0.7993894517421722,0.08759465886975232,0.13488398852034017,0.09999999999999998,0.3
20260808,7,same_02,WRONG,0.0498967245221138,0.007042622659355402,0.7731405198574066,0.08237831322400585,0.13774706223877592,0.06666666666666665,0.3
20260808,7,same_03,MATCH,0.0592106357216835,0.007275412790477276,0.7275067269802094,0.17299613402992853,0.08162192519265543,0.475,0.3
20260808,7,same_03,POP,0.05896967649459839,0.007245750166475773,0.6467028558254242,0.18314886732071115,0.06915247894852553,0.5,0.3
20260808,7,same_03,WRONG,0.059017665684223175,0.007251705043017864,0.734803706407547,0.174066365434837,0.07577512959078372,0.44999999999999996,0.3
20260808,8,same_01,MATCH,0.06723766028881073,0.0078350268304348,0.765010267496109,0.11831826514181072,0.12406532354169808,-0.07499999999999996,0.3
20260808,8,same_01,POP,0.06713622063398361,0.007823188789188862,0.7665709257125854,0.118948142501149,0.12240647985705033,-0.050000000000000044,0.3
20260808,8,same_01,WRONG,0.06709887087345123,0.007818837650120258,0.7630873918533325,0.11826025490545633,0.1229966501312088,-0.02499999999999991,0.3
20260808,8,same_02,MATCH,0.06654323637485504,0.007754105143249035,0.7911940813064575,0.10478948718451883,0.12598998219273871,0.2666666666666667,0.3
20260808,8,same_02,POP,0.06641098856925964,0.007738714572042227,0.8077766448259354,0.10630110944476184,0.117174879428812,0.30000000000000004,0.3
20260808,8,same_02,WRONG,0.06656880676746368,0.007757090497761965,0.7871181517839432,0.10641305916261781,0.11811460322855122,0.2666666666666667,0.3
20260808,8,same_03,MATCH,0.06561854481697083,0.007646097801625729,0.8628668934106827,0.09494050129460176,0.07585231009092644,0.875,0.3
20260808,8,same_03,POP,0.06537683308124542,0.00761794950813055,0.8008698672056198,0.11163601803046015,0.08439478615261274,0.875,0.3
20260808,8,same_03,WRONG,0.0656491369009018,0.007649657316505909,0.8603803068399429,0.09448966066687459,0.07463704604977262,0.875,0.3
20260808,9,same_01,MATCH,0.05464569106698036,0.008700008504092693,0.7772155106067657,0.09128576521405402,0.08532818151521766,0.23333333333333328,0.3
20260808,9,same_01,POP,0.05459241196513176,0.008691512979567051,0.7948585450649261,0.10092341881377269,0.09096683121673846,0.3666666666666667,0.3
20260808,9,same_01,WRONG,0.05460968241095543,0.008694266900420189,0.8012750446796417,0.09525245443232883,0.09053129808512664,0.33333333333333337,0.3
20260808,9,same_02,MATCH,0.05465947091579437,0.008649869821965694,0.7878220826387405,0.10983124122613101,0.06574557292734864,0.19999999999999996,0.3
20260808,9,same_02,POP,0.05461733415722847,0.00864319782704115,0.8068989664316177,0.11353110556994667,0.07603604688036757,0.16666666666666663,0.3
20260808,9,same_02,WRONG,0.05479024350643158,0.008670576848089695,0.8118389844894409,0.11217309531746775,0.06978879147013181,0.16666666666666663,0.3
20260808,9,same_03,MATCH,0.05479460954666138,0.008537725545465946,0.7844376862049103,0.13302243697103544,0.08762344560082562,0.65,0.3
20260808,9,same_03,POP,0.0546993613243103,0.008522843942046165,0.7048424482345581,0.1416149075093375,0.0664991774481425,0.625,0.3
20260808,9,same_03,WRONG,0.05483225733041763,0.008543597534298897,0.7887864708900452,0.13193269192563395,0.08764938284010795,0.65,0.3
20260810,1,same_01,MATCH,0.040594007819890976,0.006497648078948259,0.8355146646499634,0.11115372340132164,0.04402952479711665,0.2666666666666667,0.3
20260810,1,same_01,POP,0.040569838136434555,0.006493778899312019,0.8329218626022339,0.11421594997174372,0.04556401106603719,0.23333333333333328,0.3
20260810,1,same_01,WRONG,0.04093750938773155,0.006552706938236952,0.7965038865804672,0.1259467701530922,0.027218447027176074,0.3666666666666667,0.3
20260810,1,same_02,MATCH,0.058901019394397736,0.006343456916511059,0.7736095935106277,0.11958032464586006,0.09681659552048183,0.16666666666666663,0.3
20260810,1,same_02,POP,0.058730486780405045,0.006325160153210163,0.7650332152843475,0.125750611064246,0.10126698936118274,0.1333333333333333,0.3
20260810,1,same_02,WRONG,0.05884222313761711,0.0063372524455189705,0.7056590914726257,0.13874905224665485,0.08170837025066889,0.1333333333333333,0.3
20260810,1,same_03,MATCH,0.05856833979487419,0.006307780742645264,0.7727038264274597,0.10828327871368255,0.05704223073354214,0.575,0.3
20260810,1,same_03,POP,0.05834120512008667,0.006283323280513287,0.6763865053653717,0.11872188902120888,0.0465972767202604,0.6,0.3
20260810,1,same_03,WRONG,0.05891502648591995,0.006345370318740606,0.6704090535640717,0.13020388524090587,0.023259716358663557,0.55,0.3
20260810,2,same_01,MATCH,0.060553792864084244,0.006384747102856636,0.7850110679864883,0.18543262475875377,0.14220671991603956,0.09999999999999998,0.3
20260810,2,same_01,POP,0.06046311929821968,0.006375111173838377,0.8224533796310425,0.16987877425516956,0.12285999425777039,0.06666666666666665,0.3
20260810,2,same_01,WRONG,0.060994405299425125,0.00643117493018508,0.7875429689884186,0.17738439058965974,0.13104257640262845,0.23333333333333328,0.3
20260810,2,same_02,MATCH,0.05687738582491875,0.006361228413879871,0.7780551463365555,0.17670064354767592,0.0692764527338888,0.1333333333333333,0.3
20260810,2,same_02,POP,0.0567711666226387,0.006349257659167051,0.8234137296676636,0.15910322532428456,0.0756902134680112,0.19999999999999996,0.3
20260810,2,same_02,WRONG,0.056845903396606445,0.006357641890645027,0.791275829076767,0.16959058840937802,0.07092659425981293,0.1333333333333333,0.3
20260810,2,same_03,MATCH,0.0608992800116539,0.006424895487725735,0.8087916374206543,0.15556222061420977,0.11608547797857481,0.050000000000000044,0.3
20260810,2,same_03,POP,0.06063590198755264,0.006397216580808163,0.7805723696947098,0.15289054476708397,0.11601212071767199,0.07499999999999996,0.3
20260810,2,same_03,WRONG,0.060865484178066254,0.006421355996280909,0.8193128407001495,0.15518598589406615,0.10339377563464547,0.125,0.3
20260810,3,same_01,MATCH,0.07653271406888962,0.008952578529715538,0.820172443985939,0.13408640362085336,0.12894193112283742,0.0,0.3
