package,seed,participant,protocol,method,eog_attenuation,preservation,mi_band_distortion,covariance,mi_kappa,erd_preservation
POP8-D60,20260808,9,same_01,DIFF-WRONG8-1,0.08937331429255783,0.758623793721199,0.057650590805876194,0.11192643354977681,0.33333333333333337,0.9504193747052682
POP8-D60,20260808,9,same_01,DIFF-WRONG8-2,0.07636444646260417,0.7218072414398193,0.07300450658313905,0.11075754087256456,0.33333333333333337,0.9365367595674867
POP8-D60,20260808,9,same_01,DIFF-WRONG8-3,0.0727310922900196,0.7205838859081268,0.07321679708340259,0.10613420255770846,0.33333333333333337,0.9378677460413312
POP8-D60,20260808,9,same_01,DIFF-WRONG8-4,0.0742330004355642,0.7317792773246765,0.07127529110341027,0.10632956965061674,0.4,0.9431934926022041
POP8-D60,20260808,9,same_01,DIFF-WRONG8-5,0.0791107915445604,0.7292071580886841,0.06813083422528206,0.105359457934811,0.33333333333333337,0.940126532237768
POP8-D60,20260808,9,same_01,DIFF-WRONG8-6,0.0805442038119694,0.7215926945209503,0.07162499854662982,0.1113961572597919,0.2666666666666667,0.9352200034966248
POP8-D60,20260808,9,same_01,DIFF-WRONG8-7,0.08576679593177149,0.7437427937984467,0.06420278354537079,0.10971591646752746,0.30000000000000004,0.9444315460250998
POP8-D60,20260808,9,same_01,DIFF-WRONG8-8,0.08561953788494403,0.746609091758728,0.0641722421254912,0.10669685634048065,0.30000000000000004,0.9426941409408086
POP8-D60,20260808,9,same_02,RAW,0.0,1.0,0.0,0.0,0.33333333333333337,1.0
POP8-D60,20260808,9,same_02,DIFF-POP8,0.057247296456410315,0.7453349828720093,0.06123243672654867,0.11861995584155342,0.16666666666666663,0.9540633974644821
POP8-D60,20260808,9,same_02,DIFF-MATCH8,0.06109308943049889,0.7517188191413879,0.059035496940828894,0.12441316334897173,0.09999999999999998,0.9536819731628357
POP8-D60,20260808,9,same_02,LINEAR-MATCH,0.061467068122443305,0.7854949831962585,0.05319911641375991,0.07448230038453503,0.2666666666666667,0.9636605447177148
POP8-D60,20260808,9,same_02,DET-MATCH,0.06672374995134843,0.7668698281049728,0.05751394984707797,0.13332831250623597,0.30000000000000004,0.9547586155427294
POP8-D60,20260808,9,same_02,DIFF-WRONG8-1,0.05596812080165599,0.745839387178421,0.05872550422317405,0.12394276838554379,0.19999999999999996,0.9553173726666278
POP8-D60,20260808,9,same_02,DIFF-WRONG8-2,0.06112415920391934,0.7531494498252869,0.05522069803779886,0.11694669738271751,0.1333333333333333,0.9570172226607485
POP8-D60,20260808,9,same_02,DIFF-WRONG8-3,0.04518762899998463,0.736042320728302,0.06303247660875225,0.11736466733210299,0.2666666666666667,0.9539456477430645
POP8-D60,20260808,9,same_02,DIFF-WRONG8-4,0.05692203857645464,0.750371515750885,0.05909197174743549,0.12350589326571962,0.09999999999999998,0.9545948601643196
POP8-D60,20260808,9,same_02,DIFF-WRONG8-5,0.04777973118933139,0.733378142118454,0.062333692771223886,0.11115597114108608,0.30000000000000004,0.9584721029467616
POP8-D60,20260808,9,same_02,DIFF-WRONG8-6,0.05150175256687395,0.7161954045295715,0.06718356959380657,0.13178542710115554,0.23333333333333328,0.9607904745477063
POP8-D60,20260808,9,same_02,DIFF-WRONG8-7,0.06216673679285761,0.7499784827232361,0.058158157691347294,0.12277256403305656,0.16666666666666663,0.956605508030007
POP8-D60,20260808,9,same_02,DIFF-WRONG8-8,0.05738925343214725,0.7448286414146423,0.06165707405197582,0.12144894569258674,0.1333333333333333,0.9533976658326282
POP8-D60,20260808,9,same_03,RAW,0.0,1.0,0.0,0.0,0.625,1.0
POP8-D60,20260808,9,same_03,DIFF-POP8,0.02769832755185589,0.6103239357471466,0.0761998403032138,0.13976673030032258,0.725,0.9462050973526291
POP8-D60,20260808,9,same_03,DIFF-MATCH8,0.04930662680754824,0.6539539694786072,0.06991078359788205,0.1454218512175036,0.625,0.9482026374860957
POP8-D60,20260808,9,same_03,LINEAR-MATCH,0.07882453944131765,0.7932123392820358,0.051281107496313816,0.0942512121867553,0.65,0.9567690942705501
POP8-D60,20260808,9,same_03,DET-MATCH,0.07881025255676126,0.6956136226654053,0.06473850565975696,0.1589015522106866,0.55,0.9488061964234558
POP8-D60,20260808,9,same_03,DIFF-WRONG8-1,0.047973117641029406,0.6477942764759064,0.07357927434937721,0.14790525944805474,0.675,0.9458123020523563
POP8-D60,20260808,9,same_03,DIFF-WRONG8-2,0.01792938642398037,0.5900773108005524,0.0772969326256881,0.14358632843015684,0.675,0.9507696862709482
POP8-D60,20260808,9,same_03,DIFF-WRONG8-3,0.025695635618598722,0.6148341298103333,0.07369249048753815,0.13691126642424037,0.65,0.9488144779145249
POP8-D60,20260808,9,same_03,DIFF-WRONG8-4,0.04110746883378752,0.6382236778736115,0.07513145403619538,0.1445434110826171,0.65,0.9440826070660014
POP8-D60,20260808,9,same_03,DIFF-WRONG8-5,0.037031110594772265,0.6054425835609436,0.07672405134911736,0.1462111632789758,0.725,0.9471222999781186
POP8-D60,20260808,9,same_03,DIFF-WRONG8-6,0.013188320879500143,0.5635812878608704,0.07695392256174777,0.14450701441564562,0.675,0.956219303709222
POP8-D60,20260808,9,same_03,DIFF-WRONG8-7,0.03153880020231051,0.6329129636287689,0.06773791934792563,0.1494448665790797,0.65,0.9538815850850446
POP8-D60,20260808,9,same_03,DIFF-WRONG8-8,0.036701409759643866,0.6291073262691498,0.07731238720753428,0.14459155341416655,0.65,0.9425653019817943
POP8-D120,20260808,9,same_01,RAW,0.0,1.0,0.0,0.0,0.3666666666666667,1.0
POP8-D120,20260808,9,same_01,DIFF-POP8,0.08082299660388716,0.7422374486923218,0.06904033811262938,0.10281236254760735,0.3666666666666667,0.9415674456308359
POP8-D120,20260808,9,same_01,DIFF-MATCH8,0.0865414302782921,0.7582014054059982,0.064077735921887,0.10168070179921072,0.2666666666666667,0.9433879677119303
POP8-D120,20260808,9,same_01,LINEAR-MATCH,0.08437029887897586,0.7834362685680389,0.05933791986067995,0.05656188305712078,0.30000000000000004,0.9501703967671213
POP8-D120,20260808,9,same_01,DET-MATCH,0.09143834344234805,0.7739045172929764,0.06124434534077109,0.1038641074530624,0.33333333333333337,0.9460245346069969
POP8-D120,20260808,9,same_01,DIFF-WRONG8-1,0.09048244934675934,0.7744948267936707,0.05514860366091114,0.10581287772400048,0.2666666666666667,0.9523299313224656
POP8-D120,20260808,9,same_01,DIFF-WRONG8-2,0.07320667726320002,0.7203053534030914,0.07681677667158206,0.10749424226688574,0.3666666666666667,0.9406327327174653
POP8-D120,20260808,9,same_01,DIFF-WRONG8-3,0.07963339282786938,0.7388806343078613,0.069816473180048,0.10191567115094896,0.30000000000000004,0.9387854987139016
POP8-D120,20260808,9,same_01,DIFF-WRONG8-4,0.07919556741873951,0.746037483215332,0.06843397618484884,0.1028446902016738,0.4,0.9436782188277539
POP8-D120,20260808,9,same_01,DIFF-WRONG8-5,0.07855470424101105,0.736333817243576,0.07037641064162543,0.10036194858689772,0.33333333333333337,0.941780399029831
POP8-D120,20260808,9,same_01,DIFF-WRONG8-6,0.08339467081933874,0.7403029799461365,0.06747593786715037,0.10754282134056942,0.30000000000000004,0.9417318839024486
POP8-D120,20260808,9,same_01,DIFF-WRONG8-7,0.08830221552685813,0.7621563374996185,0.0603179842720272,0.10483217661959959,0.33333333333333337,0.9480901817135636
POP8-D120,20260808,9,same_01,DIFF-WRONG8-8,0.0841357568978344,0.7487108707427979,0.06646028835930128,0.1030074272681706,0.3666666666666667,0.941990610922113
POP8-D120,20260808,9,same_02,RAW,0.0,1.0,0.0,0.0,0.33333333333333337,1.0
POP8-D120,20260808,9,same_02,DIFF-POP8,0.05837625117842603,0.7506038397550583,0.06120558592031169,0.11546076751751683,0.1333333333333333,0.9545852594218365
POP8-D120,20260808,9,same_02,DIFF-MATCH8,0.06481682777249025,0.7596722096204758,0.05854880605518045,0.11930257877938523,0.16666666666666663,0.9534728203371852
POP8-D120,20260808,9,same_02,LINEAR-MATCH,0.059509114019386244,0.778425931930542,0.055244181238310215,0.07403965368417308,0.23333333333333328,0.9610245720011785
POP8-D120,20260808,9,same_02,DET-MATCH,0.07283942542301161,0.7732599228620529,0.057601112191767445,0.12726917721401673,0.2666666666666667,0.9539015162026994
POP8-D120,20260808,9,same_02,DIFF-WRONG8-1,0.05995633538812195,0.7562053054571152,0.05726305907947899,0.12149774109593155,0.19999999999999996,0.9557387422647099
POP8-D120,20260808,9,same_02,DIFF-WRONG8-2,0.06240083804575111,0.7491623163223267,0.05934811133656262,0.11696004529463105,0.2666666666666667,0.9554634457461817
POP8-D120,20260808,9,same_02,DIFF-WRONG8-3,0.05342889944118656,0.7476196587085724,0.06149624516004168,0.11337730566143016,0.2666666666666667,0.9547890991003624
POP8-D120,20260808,9,same_02,DIFF-WRONG8-4,0.05448943449110055,0.7500624358654022,0.060317596604449186,0.1186612538647397,0.09999999999999998,0.9545596361392346
POP8-D120,20260808,9,same_02,DIFF-WRONG8-5,0.05363435120733709,0.7404487431049347,0.0627934396571272,0.11256526159594943,0.30000000000000004,0.9578981973835646
POP8-D120,20260808,9,same_02,DIFF-WRONG8-6,0.050164367435394916,0.7364828586578369,0.06458221087541818,0.11591365151121587,0.1333333333333333,0.9564221394640704
POP8-D120,20260808,9,same_02,DIFF-WRONG8-7,0.06433003402586715,0.7605862617492676,0.0564064532362213,0.11933649312564497,0.19999999999999996,0.9573280984082241
POP8-D120,20260808,9,same_02,DIFF-WRONG8-8,0.04932424080236361,0.7344283163547516,0.06626736297274463,0.11853623808342438,0.19999999999999996,0.9538094256836218
POP8-D120,20260808,9,same_03,RAW,0.0,1.0,0.0,0.0,0.625,1.0
POP8-D120,20260808,9,same_03,DIFF-POP8,0.04187433875827984,0.6325718760490417,0.0747284833856384,0.13819606793087716,0.7,0.9459399821938212
POP8-D120,20260808,9,same_03,DIFF-MATCH8,0.060321518014491954,0.675751805305481,0.0683357740602294,0.14245670549876388,0.625,0.9480095471089153
POP8-D120,20260808,9,same_03,LINEAR-MATCH,0.07497671522993794,0.7926910370588303,0.05147607344873553,0.09231290930229098,0.65,0.9565971654049523
POP8-D120,20260808,9,same_03,DET-MATCH,0.08418376064485328,0.7134100794792175,0.06322357325448007,0.1539469269959804,0.55,0.9488576485151183
