package,seed,participant,protocol,method,rrmse,correlation,delta_snr,paired_spectral_utility
POP8-D60,20260810,9,same_02,LINEAR-MATCH,0.08480530232191086,0.9964250064878277,13.410252571105957,0.22180503979325294
POP8-D60,20260810,9,same_02,DET-MATCH,0.12760663032531738,0.9920876153538778,9.861247062683105,0.19384820759296417
POP8-D60,20260810,9,same_02,DIFF-WRONG8-1,0.12209608405828476,0.992610982550246,10.244675636291504,0.2092452049255371
POP8-D60,20260810,9,same_02,DIFF-WRONG8-2,0.1328493058681488,0.9911563727547023,9.51152515411377,0.19830870628356934
POP8-D60,20260810,9,same_02,DIFF-WRONG8-3,0.14398761093616486,0.989578239396366,8.81220817565918,0.1777198761701584
POP8-D60,20260810,9,same_02,DIFF-WRONG8-4,0.11181081086397171,0.9938290310891768,11.00903606414795,0.21340501308441162
POP8-D60,20260810,9,same_02,DIFF-WRONG8-5,0.13041432201862335,0.9915047996030254,9.672204971313477,0.19490613788366318
POP8-D60,20260810,9,same_02,DIFF-WRONG8-6,0.16828542947769165,0.9857381534692676,7.4577813148498535,0.16886984556913376
POP8-D60,20260810,9,same_02,DIFF-WRONG8-7,0.10878102481365204,0.9941660875298196,11.247648239135742,0.21286141872406006
POP8-D60,20260810,9,same_02,DIFF-WRONG8-8,0.1002538800239563,0.9951226712093686,11.956686973571777,0.22129465639591217
POP8-D60,20260810,9,same_03,RAW,0.4501093327999115,0.9131974779932596,0.0,0.0
POP8-D60,20260810,9,same_03,DIFF-POP8,0.2378123551607132,0.972421570848593,5.541672229766846,0.06333659589290619
POP8-D60,20260810,9,same_03,DIFF-MATCH8,0.1819622963666916,0.9834189443412399,7.866732597351074,0.11278790235519409
POP8-D60,20260810,9,same_03,LINEAR-MATCH,0.13644282519817352,0.9912397017286086,10.367345809936523,0.14635124057531357
POP8-D60,20260810,9,same_03,DET-MATCH,0.18213440477848053,0.9843913658746172,7.858520030975342,0.12768711149692535
POP8-D60,20260810,9,same_03,DIFF-WRONG8-1,0.19073118269443512,0.9816377410434466,7.4579267501831055,0.11569669097661972
POP8-D60,20260810,9,same_03,DIFF-WRONG8-2,0.2829141616821289,0.961891022813033,4.033267021179199,0.04605421423912048
POP8-D60,20260810,9,same_03,DIFF-WRONG8-3,0.2612839639186859,0.9675280537359529,4.724105358123779,0.04376707971096039
POP8-D60,20260810,9,same_03,DIFF-WRONG8-4,0.1989995539188385,0.9801792330171217,7.089318752288818,0.1018332690000534
POP8-D60,20260810,9,same_03,DIFF-WRONG8-5,0.27510154247283936,0.966898365330163,4.276500701904297,0.04001860320568085
POP8-D60,20260810,9,same_03,DIFF-WRONG8-6,0.3107636570930481,0.955142220679451,3.217756509780884,0.024254634976387024
POP8-D60,20260810,9,same_03,DIFF-WRONG8-7,0.21349410712718964,0.9773675517976993,6.47864294052124,0.08653877675533295
POP8-D60,20260810,9,same_03,DIFF-WRONG8-8,0.22563539445400238,0.9748582607848535,5.998216152191162,0.09269378334283829
POP8-D120,20260810,9,same_01,RAW,0.42463502287864685,0.9213587847764606,0.0,0.0
POP8-D120,20260810,9,same_01,DIFF-POP8,0.11210285127162933,0.9937197858013282,11.567983627319336,0.23501239717006683
POP8-D120,20260810,9,same_01,DIFF-MATCH8,0.13839825987815857,0.9905230328215909,9.737703323364258,0.21368341892957687
POP8-D120,20260810,9,same_01,LINEAR-MATCH,0.14676694571971893,0.9894326671389884,9.227750778198242,0.21617530286312103
POP8-D120,20260810,9,same_01,DET-MATCH,0.15266749262809753,0.9888623049731725,8.885384559631348,0.19889293611049652
POP8-D120,20260810,9,same_01,DIFF-WRONG8-1,0.19591301679611206,0.9811006154114872,6.719050407409668,0.17007862031459808
POP8-D120,20260810,9,same_01,DIFF-WRONG8-2,0.10856056958436966,0.9941071655428206,11.846874237060547,0.23983193188905716
POP8-D120,20260810,9,same_01,DIFF-WRONG8-3,0.1279648095369339,0.9918357959245689,10.41850471496582,0.23350148648023605
POP8-D120,20260810,9,same_01,DIFF-WRONG8-4,0.12397205084562302,0.9923511647564418,10.693840026855469,0.22478435188531876
POP8-D120,20260810,9,same_01,DIFF-WRONG8-5,0.11341328173875809,0.9935677552294878,11.467037200927734,0.24072157591581345
POP8-D120,20260810,9,same_01,DIFF-WRONG8-6,0.12923882901668549,0.9916331181053547,10.3324556350708,0.2198651358485222
POP8-D120,20260810,9,same_01,DIFF-WRONG8-7,0.1661960780620575,0.9862855281491801,8.147900581359863,0.19202889502048492
