artifact_rrmse,covariance,eta_d,eta_z,finite,heldout,inner_participants,kkt,offspan,output_input_rms,outside,preservation,psd,safe,units
2.036610482204922,0.09723958553953438,10.0,0.1,1.0,sub-07,14,4.136373783174869e-13,2.9330720701702715e-16,0.9522133797714692,0.0,0.91378527470976,0.039916647085852255,1,84
1.6685230293372864,0.06804714601394167,0.0,1.0,1.0,sub-07,14,1.4346196188680118e-13,1.6627413544889887e-16,0.967314905265893,0.0,0.9460889855662087,0.03112674266219828,1,84
1.6677273602579927,0.06797333980411843,0.1,1.0,1.0,sub-07,14,1.9732892568635222e-13,1.6602132916696366e-16,0.9673497514680129,0.0,0.9461567987971848,0.030978139764232,1,84
1.6613136010673426,0.06735958976640091,1.0,1.0,1.0,sub-07,14,3.0417996164206194e-13,1.6537765030881586e-16,0.9676424431836891,0.0,0.946695293792364,0.02970052423725926,1,84
1.6233631644724251,0.06330039625285892,10.0,1.0,1.0,sub-07,14,1.2874357664605626e-12,1.628953103073327e-16,0.9696565169902833,0.0,0.9498192299309683,0.023106181108488427,1,84
1.1483538511118834,0.020459850934098196,0.0,10.0,1.0,sub-07,14,1.4566126083082054e-13,1.3674123022841924e-16,0.9907167363590387,0.0,0.9862410155069232,0.010182445696353718,1,84
1.147909339032394,0.020407773671688594,0.1,10.0,1.0,sub-07,14,2.4486233146923216e-13,1.3630564408135559e-16,0.9907408418861318,0.0,0.9862778812711571,0.010045553987622854,1,84
1.1446480447610115,0.020001632774678733,1.0,10.0,1.0,sub-07,14,4.3013212039763207e-13,1.361560175825152e-16,0.9909282901812977,0.0,0.9865482220003505,0.009140182478721679,1,84
1.1297072031050681,0.017802615513974954,10.0,10.0,1.0,sub-07,14,2.459154573097337e-12,1.361578893766078e-16,0.991924584410118,0.0,0.9878538216865194,0.00603207244281734,1,84
1.470031378356672,0.07961738710009134,0.0,0.001,1.0,sub-09,14,7.718693409298707e-14,3.7977163009469216e-16,0.9720885363839151,0.0,0.9266798113231923,0.03712223134476528,1,84
1.4700246125830039,0.07961584761501272,0.1,0.001,1.0,sub-09,14,1.0980601865108397e-13,3.8012935672449855e-16,0.9720884690036267,0.0,0.9266813315905273,0.03712035831436694,1,84
