channels,donor_fallback_count,donors,operator_family,participant,path,rank,regressors,session,sha256,task
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-17,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-17/ses-04_SSVEP.npz,4,4,ses-04,6ffb777b309e9a5d8e668090c69543b71b0541aae7b0114149b95051e010514b,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-18/ses-02_ERP.npz,4,4,ses-02,4690dea4e51b01a4b975ffc360e6e7ecf1e1a6de14703bca05e36fd90d198449,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-18/ses-02_SSVEP.npz,4,4,ses-02,92f4c682788624cd5e6033bd09a1b1768f81ff493a1eaa6ecdecc6e23f0cf9d9,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-18/ses-03_ERP.npz,4,4,ses-03,64191b41c002f81554a6f29035edc2adb97efdd32cac46f5309fca2ab6555863,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-18/ses-03_SSVEP.npz,4,4,ses-03,f9967dbcc2b1c1cec3db28807794a5d303871d7cd9ced7691321a60b86de3957,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-18/ses-04_ERP.npz,4,4,ses-04,1e00cf657f4ab108617efcc515df42fab2c4696347af7ca0aa2628263c5fc3e3,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-18,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-18/ses-04_SSVEP.npz,4,4,ses-04,17ba9d2165dc8a5cb9d0ad92271572383b288b8ade655a8ea9ce583a051bf0e2,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-19/ses-02_ERP.npz,4,4,ses-02,a9ce46bdfcc91b60d611fa5c5db7f736797dd2e7077117dc84ba66fed1774328,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-19/ses-02_SSVEP.npz,4,4,ses-02,119a3cda9bf13d63e2428177c63778551b7d82ab0d68840a309a9aa5c6dd8189,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-19/ses-03_ERP.npz,4,4,ses-03,cbd53fecb460c1482f1dfc34b089f69575556abe993348fb26c8ab6781e9771c,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-19/ses-03_SSVEP.npz,4,4,ses-03,7dc716c9d9768dd8e167b2ec653706582479c99e592ab574207b434336a55fd6,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-19/ses-04_ERP.npz,4,4,ses-04,d8f8ab9f20e1fab2ca21c03bbef5441f89c6c23c39a58df71fb17b11eee23337,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-19,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-19/ses-04_SSVEP.npz,4,4,ses-04,7383a8439c2888b84298df0f9374e37d20be1cc92540e2aabffb04da994ff72c,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-21/ses-02_ERP.npz,4,4,ses-02,e8bc6a5e179faac7e6aa610365d1ee4ea1f5d698e776a5103361c64eec7cb935,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-21/ses-02_SSVEP.npz,4,4,ses-02,0e5a974ce5b39b69474f5ca63126abc7829644aeb9333489ac8eb0ede4c5b550,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-21/ses-03_ERP.npz,4,4,ses-03,836bf38b671d8540d8a0f1ab10219fa992d02a2ba5b06c91e08522c5315e1090,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-21/ses-03_SSVEP.npz,4,4,ses-03,c35d21e5216941143bfa4e228542d5e2d664454a461865090dcdefebc2c4e6a9,SSVEP
46,0,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-21/ses-04_ERP.npz,4,4,ses-04,a03b04c93437226f526d39785edba94d37be45f95cb4447dc33819e40a681ac1,ERP
46,1,15,instantaneous_four_EOG_to_46_EEG_ridge,sub-21,/projects/EEG-foundation-model/derived/denoiseNet/eeg_only_analytic_bridge_o1_v21/operator_packages/sub-21/ses-04_SSVEP.npz,4,4,ses-04,9aa47bdc5bf83f282e87262fa24f8984ae1b676f45614baf1b3f78e6294e005f,SSVEP
