fold,participant,view,arm,donor,beta,distance,morphology_distance,topography_distance,dynamics_distance
2,3,label_shuffle,WRONG_DONOR,8,0.0,1.1727911631266277,1.2509349584579468,1.0120816230773926,1.2553569078445435
2,3,label_shuffle,WRONG_DONOR,13,0.0,1.1727911631266277,1.2509349584579468,1.0120816230773926,1.2553569078445435
2,3,label_shuffle,POP,,0.0,1.1727911631266277,1.2509349584579468,1.0120816230773926,1.2553569078445435
2,3,label_shuffle,MATCH,,0.0,1.1727911631266277,1.2509349584579468,1.0120816230773926,1.2553569078445435
2,3,label_shuffle,WRONG_MEAN,,0.0,1.1727911631266277,1.2509349584579468,1.0120816230773926,1.2553569078445435
2,8,label_shuffle,WRONG_DONOR,3,0.0,1.0995322267214458,1.1516095399856567,0.971121609210968,1.1758655309677124
2,8,label_shuffle,WRONG_DONOR,13,0.0,1.0995322267214458,1.1516095399856567,0.971121609210968,1.1758655309677124
2,8,label_shuffle,POP,,0.0,1.0995322267214458,1.1516095399856567,0.971121609210968,1.1758655309677124
2,8,label_shuffle,MATCH,,0.0,1.0995322267214458,1.1516095399856567,0.971121609210968,1.1758655309677124
2,8,label_shuffle,WRONG_MEAN,,0.0,1.0995322267214458,1.1516095399856567,0.971121609210968,1.1758655309677124
2,13,label_shuffle,WRONG_DONOR,3,0.0,1.07951953013738,1.010824203491211,0.8960886597633362,1.3316457271575928
2,13,label_shuffle,WRONG_DONOR,8,0.0,1.07951953013738,1.010824203491211,0.8960886597633362,1.3316457271575928
2,13,label_shuffle,POP,,0.0,1.07951953013738,1.010824203491211,0.8960886597633362,1.3316457271575928
2,13,label_shuffle,MATCH,,0.0,1.07951953013738,1.010824203491211,0.8960886597633362,1.3316457271575928
2,13,label_shuffle,WRONG_MEAN,,0.0,1.07951953013738,1.010824203491211,0.8960886597633362,1.3316457271575928
2,3,time_shuffle,WRONG_DONOR,8,0.25,1.52273694674174,2.042701482772827,1.2262308597564697,1.2992784976959229
2,3,time_shuffle,WRONG_DONOR,13,0.25,1.591841697692871,1.9317748546600342,1.4801617860794067,1.3635884523391724
