fold,seconds,participant,role,session,task,effective_seconds,tau2,within,within_threshold,lambda,hard_gate,lambda_row_min,lambda_row_mean,lambda_row_max
1,120,sub-11,validation,ses-03,SSVEP,120,2.5524211188414005,0.16722132217409097,0.26926952040491425,0.9838852423413404,0,0.17106540300466463,0.8202167577732804,0.9999418513534681
1,120,sub-11,validation,ses-04,ERP,120,0.020830818360958566,0.02546335302140652,0.26926952040491425,0.7659330576857027,0,0.1824143407812229,0.7861477776787578,0.9880080908718107
1,120,sub-11,validation,ses-04,SSVEP,120,1.6398133486433444,0.013756180838783372,0.26926952040491425,0.9979071716417026,0,0.45389696272308566,0.9182444838708667,0.9999591877087745
1,120,sub-12,validation,ses-02,ERP,120,0.004084853374946545,0.004622123053171235,0.26926952040491425,0.7794950269273504,0,0.04285836446750697,0.6980693296638315,0.9716420224507142
1,120,sub-12,validation,ses-02,SSVEP,120,0.005212055074004772,0.004396639475707718,0.26926952040491425,0.8258402100283492,0,0.32761108390873966,0.77458845549944,0.9882691965667797
1,120,sub-12,validation,ses-03,ERP,120,0.08057521320147701,0.004489267985154085,0.26926952040491425,0.9862625345763608,0,0.6393693609848854,0.9304994645039516,0.9994758206348215
1,120,sub-12,validation,ses-03,SSVEP,120,2.5524211188414005,0.005687419974006297,0.26926952040491425,0.9994432488574791,0,0.948687150998586,0.9897709639932302,0.9999917955914525
1,120,sub-12,validation,ses-04,ERP,120,0.020830818360958566,0.007779854524643449,0.26926952040491425,0.9146038703815381,0,0.5545894509057212,0.8965327550942623,0.9898687325828129
1,120,sub-12,validation,ses-04,SSVEP,120,1.6398133486433444,0.018996934110026044,0.26926952040491425,0.9971121600485173,0,0.5245773951738395,0.886272167037091,0.9999258606661372
1,120,sub-14,validation,ses-02,ERP,120,0.004084853374946545,0.0007619256678175877,0.26926952040491425,0.9554464325658804,0,0.42826743739726636,0.893912901181948,0.9968239758749725
1,120,sub-14,validation,ses-02,SSVEP,120,0.005212055074004772,0.0015016816228660002,0.26926952040491425,0.9328103707874835,0,0.5101008478850202,0.888755840689392,0.9980854564392172
1,120,sub-14,validation,ses-03,ERP,120,0.08057521320147701,0.0021271529740462492,0.26926952040491425,0.9934433743815292,0,0.5405559645836742,0.9598556551041121,0.9998589143463404
1,120,sub-14,validation,ses-03,SSVEP,120,2.5524211188414005,0.008572959048731368,0.26926952040491425,0.9991610155543882,0,0.8803652933311508,0.9851252336314754,0.9999792717744552
1,120,sub-14,validation,ses-04,ERP,120,0.020830818360958566,0.020105400715129087,0.26926952040491425,0.8056109596432769,0,0.2741494920110903,0.7858029098706103,0.9959613564869625
1,120,sub-14,validation,ses-04,SSVEP,120,1.6398133486433444,0.004054040296871114,0.26926952040491425,0.9993823174768057,0,0.8648119224434523,0.9736937177383573,0.9999976363068327
1,120,sub-15,train,ses-02,ERP,120,0.004084853374946545,0.0001105927497970031,0.26926952040491425,0.9932770390406506,0,0.932444004954023,0.9863566210948814,0.9984204717425369
1,120,sub-15,train,ses-02,SSVEP,120,0.005212055074004772,0.02413316638376659,0.26926952040491425,0.4634854955547232,0,0.030258887507198514,0.8596965546574297,0.9950731927442928
1,120,sub-15,train,ses-03,ERP,120,0.08057521320147701,0.0002370470808730328,0.26926952040491425,0.999265056661694,0,0.9728169588369961,0.9951580624470957,0.9999914444386494
1,120,sub-15,train,ses-03,SSVEP,120,2.5524211188414005,0.002369754060835184,0.26926952040491425,0.9997679454096506,0,0.9143091402215021,0.9950904014671689,0.9999971360465943
1,120,sub-15,train,ses-04,ERP,120,0.020830818360958566,0.05943842738353691,0.26926952040491425,0.5836528491951043,0,0.21038629941722803,0.6756974520198199,0.9840757650469731
1,120,sub-15,train,ses-04,SSVEP,120,1.6398133486433444,0.005266013636913792,0.26926952040491425,0.999197806677161,0,0.8590081045529926,0.9651833878698346,0.9999839951412046
1,120,sub-17,train,ses-02,ERP,120,0.004084853374946545,0.00014217133049744592,0.26926952040491425,0.9913739284200257,0,0.4726177508115925,0.983501938049978,0.9998494333538411
1,120,sub-17,train,ses-02,SSVEP,120,0.005212055074004772,0.00240917044488929,0.26926952040491425,0.8964126942816633,0,0.3759382667220688,0.8812130432410626,0.9956948845218201
1,120,sub-17,train,ses-03,ERP,120,0.08057521320147701,0.0038805838631421155,0.26926952040491425,0.9881029898489305,0,0.24805667042251767,0.9655608760662195,0.9999732909229377
1,120,sub-17,train,ses-03,SSVEP,120,2.5524211188414005,0.0016863483290875585,0.26926952040491425,0.999834855832953,0,0.9869538640215406,0.99808487418376,0.9999288612844338
1,120,sub-17,train,ses-04,ERP,120,0.020830818360958566,0.0007210156998525101,0.26926952040491425,0.9914210030544749,0,0.8793575533328246,0.9884278390583701,0.9993540010658631
1,120,sub-17,train,ses-04,SSVEP,120,1.6398133486433444,0.0353714638802004,0.26926952040491425,0.9946363190265693,0,0.48007734628926946,0.7989514315176816,0.999969829376496
1,120,sub-18,train,ses-02,ERP,120,0.004084853374946545,0.0013887014214060325,0.26926952040491425,0.9216667182281194,0,0.6967826400058356,0.9289660989644929,0.9963757526426871
1,120,sub-18,train,ses-02,SSVEP,120,0.005212055074004772,0.0005979970714719722,0.26926952040491425,0.9721164314795,0,0.6570444784233146,0.949745122545618,0.9997861489639309
1,120,sub-18,train,ses-03,ERP,120,0.08057521320147701,0.0017391163312460319,0.26926952040491425,0.9946330190813285,0,0.928688701490885,0.9795345692306185,0.9999202821580664
1,120,sub-18,train,ses-03,SSVEP,120,2.5524211188414005,0.0025983076963075505,0.26926952040491425,0.9997455703341257,0,0.9447169437257694,0.9947731133618601,0.9999983695036422
1,120,sub-18,train,ses-04,ERP,120,0.020830818360958566,0.004632402082613435,0.26926952040491425,0.9473325393172553,0,0.727959136559634,0.9326813018677148,0.9940343509963067
1,120,sub-18,train,ses-04,SSVEP,120,1.6398133486433444,0.45001488246803,0.26926952040491425,0.0,1,0.0,0.0,0.0
1,120,sub-19,train,ses-02,ERP,120,0.004084853374946545,0.0005763664857005871,0.26926952040491425,0.9659272888276454,0,0.48027794512936245,0.9262230708724862,0.9957960922254742
1,120,sub-19,train,ses-02,SSVEP,120,0.005212055074004772,0.003078231192958463,0.26926952040491425,0.8713461043574914,0,0.37251940751829615,0.7675997992719925,0.9904246101686577
1,120,sub-19,train,ses-03,ERP,120,0.08057521320147701,0.0008374889507059859,0.26926952040491425,0.9974082649983492,0,0.766830457349934,0.9836456885879142,0.999814203396034
1,120,sub-19,train,ses-03,SSVEP,120,2.5524211188414005,0.04807802305099167,0.26926952040491425,0.9953130107020499,0,0.9375144468539018,0.9627198237254287,0.9974075281610599
1,120,sub-19,train,ses-04,ERP,120,0.020830818360958566,0.002158385833867754,0.26926952040491425,0.9747503048945756,0,0.8935815339572315,0.9652711696173533,0.9971356830635009
1,120,sub-19,train,ses-04,SSVEP,120,1.6398133486433444,26.787685349294556,0.26926952040491425,0.0,1,0.0,0.0,0.0
1,120,sub-21,train,ses-02,ERP,120,0.004084853374946545,0.00039973564974221014,0.26926952040491425,0.9761197151556851,0,0.651711645514346,0.9340924828451699,0.9986727943528382
1,120,sub-21,train,ses-02,SSVEP,120,0.005212055074004772,8.305794822262073e-05,0.26926952040491425,0.9960318740569287,0,0.9581551875073957,0.9928496396679403,0.99964650821265
1,120,sub-21,train,ses-03,ERP,120,0.08057521320147701,0.17194509467862354,0.26926952040491425,0.6521062123953887,0,0.5852166793258758,0.9066455418089372,0.997519043467149
1,120,sub-21,train,ses-03,SSVEP,120,2.5524211188414005,0.0009476521035095136,0.26926952040491425,0.9999071896733054,0,0.9899760182712052,0.998192500251185,0.9999988057373882
1,120,sub-21,train,ses-04,ERP,120,0.020830818360958566,0.048009291621473375,0.26926952040491425,0.6344448797021529,0,0.28546064274367916,0.9049942813069515,0.9944203757422649
1,120,sub-21,train,ses-04,SSVEP,120,1.6398133486433444,0.0015248575048904534,0.26926952040491425,0.9997675797830223,0,0.9116441791799921,0.9894982550404477,0.9999893800735444
1,120,sub-23,train,ses-02,ERP,120,0.004084853374946545,0.003500183735715031,0.26926952040491425,0.8235758672836482,0,0.3195073219612275,0.7743800748136974,0.9622654097174915
1,120,sub-23,train,ses-02,SSVEP,120,0.005212055074004772,0.014458223944137805,0.26926952040491425,0.5904933432040916,0,0.24270172819290067,0.5743014245669495,0.9587674410737919
1,120,sub-23,train,ses-03,ERP,120,0.08057521320147701,0.01471970953640077,0.26926952040491425,0.9563240016155153,0,0.30107981114545385,0.8410856773903173,0.9994357527336449
1,120,sub-23,train,ses-03,SSVEP,120,2.5524211188414005,0.03618390813184782,0.26926952040491425,0.9964684391036949,0,0.716052279700769,0.9374305295072156,0.999927251924268
1,120,sub-23,train,ses-04,ERP,120,0.020830818360958566,0.02790565738122033,0.26926952040491425,0.7491151162361572,0,0.29128629061564726,0.7323439216468361,0.9732448289780117
1,120,sub-23,train,ses-04,SSVEP,120,1.6398133486433444,0.086873783733881,0.26926952040491425,0.986928660646544,0,0.2792070764125872,0.8283636045107178,0.999953957382723
1,120,sub-24,auxiliary,ses-02,ERP,120,0.004084853374946545,6.0094064006284184e-05,0.26926952040491425,0.9963356177755629,0,0.9472334354394017,0.9918380377169965,0.9997370402811536
1,120,sub-24,auxiliary,ses-03,ERP,120,0.08057521320147701,0.004394616860520273,0.26926952040491425,0.9865482773146276,0,0.4478418260490065,0.9592795866790628,0.9998347048599007
1,120,sub-24,auxiliary,ses-04,ERP,120,0.020830818360958566,0.0038727149829086384,0.26926952040491425,0.9555860876998685,0,0.6479486549928373,0.9380113387862571,0.9975581639992601
1,10,sub-02,train,ses-02,ERP,10,0.014730201314847261,0.0057283360537032256,22.33827777566828,0.0,1,0.0,0.0,0.0
1,10,sub-02,train,ses-02,SSVEP,10,0.02406998727731666,0.026659157926323503,22.33827777566828,0.0,1,0.0,0.0,0.0
