fold_id,study,recording_key,method,eog_coherence_reduction,nonartifact_preservation,psd_distortion,covariance_distortion
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D01-CAL,0.0208581011212463,0.5632845759391785,0.20032329857349396,0.3764823979315047
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D11-CAL,0.017787878016202616,0.5927005410194397,0.21139194071292877,0.3437755517079899
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D10-SHUFFLED-GEOMETRY-CAL,0.020615886142156245,0.717699259519577,0.19695903360843658,0.331132333256848
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D01-SHUFFLED-LORA-CAL,0.019423769883297644,0.7286806404590607,0.05329084396362305,0.1974026763588582
study01_layout_01_heldout_00,study01,study01/study01_p03,DIFF-D11-SHUFFLED-BOTH-CAL,0.020866187281328545,0.7115272581577301,0.1937635838985443,0.329465649889168
study01_layout_01_heldout_01,study01,study01/study01_p04,RAW,0.0,1.0,0.0,0.0
study01_layout_01_heldout_01,study01,study01/study01_p04,DET-D00,0.03809684132835988,0.7938304394483566,0.09822816401720047,0.20774561757852747
study01_layout_01_heldout_01,study01,study01/study01_p04,DET-D10,0.030836390837192015,0.7552969604730606,0.160474494099617,0.2797359793920089
study01_layout_01_heldout_01,study01,study01/study01_p04,DET-D01,0.03826098529429271,0.7763496786355972,0.10408742725849152,0.25434790865095414
study01_layout_01_heldout_01,study01,study01/study01_p04,DET-D11,0.027760210711958597,0.7826343327760696,0.09954220056533813,0.2532990980958126
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D00,0.034838735334703635,0.8034192770719528,0.09660085290670395,0.19697908161329936
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D10,0.028363315051357293,0.7702426761388779,0.14930404722690582,0.262283347010705
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D01,0.0345181948505342,0.785569041967392,0.09399920701980591,0.24102643724635753
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D11,0.026815934604483435,0.7778292000293732,0.10991766303777695,0.25596820615970717
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D10-SHUFFLED-GEOMETRY,0.022817729442412477,0.7376307249069214,0.21078576147556305,0.3446582219752918
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D01-SHUFFLED-LORA,0.03389193736626927,0.7690329551696777,0.06735900789499283,0.2677794637445361
study01_layout_01_heldout_01,study01,study01/study01_p04,DIFF-D11-SHUFFLED-BOTH,0.024883179146603776,0.7304330468177795,0.16659849882125854,0.36778122064011903
