verifier,panel,participant,auroc,identity_margin,rank1,tar_at_far5
A-R,rereference,1,0.7025,0.0701441690325737,0.575,0.275
A-R,rereference,2,0.84375,0.12052684649825096,0.75,0.175
A-R,rereference,3,0.6052631578947368,0.04613169934600592,0.23684210526315788,0.02631578947368421
A-R,rereference,4,0.745,0.08535150066018105,0.6499999999999999,0.325
A-R,rereference,5,0.6558171745152355,0.06299755908548832,0.47368421052631576,0.21052631578947367
A-R,rereference,6,0.5606249999999999,0.031239362433552742,0.375,0.125
A-R,rereference,7,0.6412742382271468,0.04497450403869152,0.5,0.10526315789473684
A-R,rereference,8,0.7271468144044322,0.17532238457351923,0.7105263157894737,0.5263157894736842
A-R,rereference,9,0.6024930747922437,0.02950754202902317,0.39473684210526316,0.15789473684210525
A-R,rereference,10,0.9155124653739612,0.24861681461334229,0.9210526315789473,0.763157894736842
A-R,rereference,11,0.8538781163434903,0.1449686959385872,0.763157894736842,0.7368421052631579
A-R,rereference,12,0.6481994459833795,0.034658095974009484,0.5263157894736842,0.10526315789473684
A-R,rereference,13,0.8268698060941828,0.13285861536860466,0.8421052631578947,0.368421052631579
A-R,rereference,14,0.5761772853185596,0.025685332715511322,0.47368421052631576,0.13157894736842105
A-R,rereference,15,0.7707756232686981,0.12308263778686523,0.6578947368421053,0.13157894736842105
A-R,statistics_only,1,1.0,0.4499175697565079,1.0,1.0
A-R,statistics_only,2,0.99375,0.34510375559329987,1.0,0.975
A-R,statistics_only,3,0.8663434903047091,0.1976834386587143,0.9473684210526316,0.6052631578947368
A-R,statistics_only,4,1.0,0.3089342713356018,1.0,1.0
A-R,statistics_only,5,0.45013850415512463,-0.016688816715031862,0.07894736842105263,0.02631578947368421
A-R,statistics_only,6,0.0,-0.6390840113162994,0.0,0.0
A-R,statistics_only,7,0.9993074792243768,0.21333908289670944,1.0,1.0
A-R,statistics_only,8,0.695983379501385,0.07139798626303673,0.18421052631578946,0.13157894736842105
A-R,statistics_only,9,0.9993074792243768,0.3219408094882965,1.0,1.0
A-R,statistics_only,10,1.0,0.7789169251918793,1.0,1.0
A-R,statistics_only,11,0.8961218836565097,0.17853254824876785,0.763157894736842,0.6578947368421053
A-R,statistics_only,12,0.5096952908587258,0.013924359809607267,0.23684210526315788,0.02631578947368421
A-R,statistics_only,13,0.9397506925207756,0.16816949844360352,0.868421052631579,0.8157894736842105
A-R,statistics_only,14,1.0,0.3053377717733383,1.0,1.0
A-R,statistics_only,15,1.0,0.36893215775489807,1.0,1.0
A-R,wrong_condition_same_subject,1,0.705625,0.07530614733695984,0.625,0.175
A-R,wrong_condition_same_subject,2,0.788125,0.10393618047237396,0.675,0.375
A-R,wrong_condition_same_subject,3,0.5242382271468143,0.006265581527259201,0.18421052631578946,0.0
A-R,wrong_condition_same_subject,4,0.679375,0.07223447225987911,0.6,0.175
A-R,wrong_condition_same_subject,5,0.513157894736842,0.009796304162591696,0.23684210526315788,0.02631578947368421
A-R,wrong_condition_same_subject,6,0.3875,-0.03073966782540083,0.22499999999999998,0.0
A-R,wrong_condition_same_subject,7,0.7541551246537395,0.08428196609020233,0.631578947368421,0.2894736842105263
A-R,wrong_condition_same_subject,8,0.6745152354570636,0.08233326859772205,0.5789473684210527,0.39473684210526316
A-R,wrong_condition_same_subject,9,0.6883656509695291,0.07123312167823315,0.6052631578947368,0.21052631578947367
A-R,wrong_condition_same_subject,10,0.9362880886426592,0.3068475276231766,0.9473684210526315,0.8421052631578947
A-R,wrong_condition_same_subject,11,0.8635734072022161,0.15193025022745132,0.868421052631579,0.631578947368421
A-R,wrong_condition_same_subject,12,0.5304709141274238,0.006523565389215946,0.2894736842105263,0.0
A-R,wrong_condition_same_subject,13,0.8074792243767313,0.1047351323068142,0.736842105263158,0.21052631578947367
A-R,wrong_condition_same_subject,14,0.4667590027700831,-0.0021477104164659977,0.3684210526315789,0.07894736842105263
A-R,wrong_condition_same_subject,15,0.7998614958448753,0.14065295457839966,0.7105263157894737,0.3684210526315789
