subject,protocol,k,method,panel,band,error,utility,distortion
2,same_01,8,DIFF-POP,paired,beta,0.035842739045619965,0.14405538886785507,
2,same_01,8,DIFF-POP,paired,low_gamma,0.06476321071386337,0.18780652433633804,
2,same_01,8,DIFF-POP,paired,high_frequency_secondary,0.12093567103147507,0.21357256919145584,
2,same_01,8,LINEAR-MATCH,paired,delta,0.022150306031107903,0.2127134818583727,
2,same_01,8,LINEAR-MATCH,paired,theta,0.018461953848600388,0.1271250583231449,
2,same_01,8,LINEAR-MATCH,paired,alpha,0.020382560789585114,0.123905710875988,
2,same_01,8,LINEAR-MATCH,paired,beta,0.02907409891486168,0.15082402899861336,
2,same_01,8,LINEAR-MATCH,paired,low_gamma,0.04479619115591049,0.20777354389429092,
2,same_01,8,LINEAR-MATCH,paired,high_frequency_secondary,0.0607847161591053,0.2737235240638256,
2,same_01,8,DET-MATCH,paired,delta,0.11409226804971695,0.12077151983976364,
2,same_01,8,DET-MATCH,paired,theta,0.06689378619194031,0.07869322597980499,
2,same_01,8,DET-MATCH,paired,alpha,0.038732945919036865,0.10555532574653625,
2,same_01,8,DET-MATCH,paired,beta,0.03942924737930298,0.14046888053417206,
2,same_01,8,DET-MATCH,paired,low_gamma,0.05433729663491249,0.19823243841528893,
2,same_01,8,DET-MATCH,paired,high_frequency_secondary,0.07598519325256348,0.25852304697036743,
2,same_01,8,DIFF-MATCH,paired,delta,0.10638399422168732,0.12847979366779327,
2,same_01,8,DIFF-MATCH,paired,theta,0.06253517419099808,0.08305183798074722,
2,same_01,8,DIFF-MATCH,paired,alpha,0.0371415838599205,0.10714668780565262,
2,same_01,8,DIFF-MATCH,paired,beta,0.040879588574171066,0.13901853933930397,
2,same_01,8,DIFF-MATCH,paired,low_gamma,0.058807872235774994,0.19376186281442642,
2,same_01,8,DIFF-MATCH,paired,high_frequency_secondary,0.10855619609355927,0.22595204412937164,
2,same_01,8,LINEAR-WRONG,paired,delta,0.15035104751586914,0.08451274037361145,
2,same_01,8,LINEAR-WRONG,paired,theta,0.07019023597240448,0.07539677619934082,
2,same_01,8,LINEAR-WRONG,paired,alpha,0.05672014132142067,0.08756813034415245,
2,same_01,8,LINEAR-WRONG,paired,beta,0.06299548596143723,0.11690264195203781,
2,same_01,8,LINEAR-WRONG,paired,low_gamma,0.08873362094163895,0.16383611410856247,
2,same_01,8,LINEAR-WRONG,paired,high_frequency_secondary,0.12443085014820099,0.21007739007472992,
2,same_01,8,DET-WRONG,paired,delta,0.18765217065811157,0.04721161723136902,
2,same_01,8,DET-WRONG,paired,theta,0.09704969823360443,0.04853731393814087,
2,same_01,8,DET-WRONG,paired,alpha,0.0677073746919632,0.07658089697360992,
2,same_01,8,DET-WRONG,paired,beta,0.0675361379981041,0.11236198991537094,
2,same_01,8,DET-WRONG,paired,low_gamma,0.09710149466991425,0.15546824038028717,
2,same_01,8,DET-WRONG,paired,high_frequency_secondary,0.1392725110054016,0.1952357292175293,
2,same_01,8,DIFF-WRONG,paired,delta,0.1713419258594513,0.0635218620300293,
2,same_01,8,DIFF-WRONG,paired,theta,0.08827060461044312,0.057316407561302185,
2,same_01,8,DIFF-WRONG,paired,alpha,0.06193451210856438,0.08235375955700874,
2,same_01,8,DIFF-WRONG,paired,beta,0.060772161930799484,0.11912596598267555,
2,same_01,8,DIFF-WRONG,paired,low_gamma,0.0830736830830574,0.169496051967144,
2,same_01,8,DIFF-WRONG,paired,high_frequency_secondary,0.1569380909204483,0.1775701493024826,
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,delta,0.30173635482788086,-0.06687256693840027,
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,theta,0.2161901593208313,-0.070603147149086,
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,alpha,0.20959702134132385,-0.06530874967575073,
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,beta,0.27207323908805847,-0.09217511117458344,
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,low_gamma,0.3724345564842224,-0.119864821434021,
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,paired,high_frequency_secondary,0.4350675344467163,-0.1005592942237854,
2,same_01,8,RAW,natural,delta,,,0.0
2,same_01,8,RAW,natural,theta,,,0.0
2,same_01,8,RAW,natural,alpha,,,0.0
2,same_01,8,RAW,natural,beta,,,0.0
2,same_01,8,RAW,natural,low_gamma,,,0.0
2,same_01,8,RAW,natural,high_frequency_secondary,,,0.0
2,same_01,8,LINEAR-POP,natural,delta,,,0.12115398858362009
2,same_01,8,LINEAR-POP,natural,theta,,,0.11398355298439046
2,same_01,8,LINEAR-POP,natural,alpha,,,0.11314355623353387
2,same_01,8,LINEAR-POP,natural,beta,,,0.07138921847769773
2,same_01,8,LINEAR-POP,natural,low_gamma,,,0.05937159811466514
2,same_01,8,LINEAR-POP,natural,high_frequency_secondary,,,0.07921446694791644
2,same_01,8,DET-POP,natural,delta,,,0.24123368028108694
2,same_01,8,DET-POP,natural,theta,,,0.1713819998305837
2,same_01,8,DET-POP,natural,alpha,,,0.12306832490637787
2,same_01,8,DET-POP,natural,beta,,,0.07543496009488751
2,same_01,8,DET-POP,natural,low_gamma,,,0.07404844663363531
2,same_01,8,DET-POP,natural,high_frequency_secondary,,,0.12807104444980014
2,same_01,8,DIFF-POP,natural,delta,,,0.22717157685926767
2,same_01,8,DIFF-POP,natural,theta,,,0.1652976303939877
2,same_01,8,DIFF-POP,natural,alpha,,,0.12051350778456617
2,same_01,8,DIFF-POP,natural,beta,,,0.07041720581543363
2,same_01,8,DIFF-POP,natural,low_gamma,,,0.06953686105531957
2,same_01,8,DIFF-POP,natural,high_frequency_secondary,,,0.14096534889720247
2,same_01,8,LINEAR-MATCH,natural,delta,,,0.1532237976766624
2,same_01,8,LINEAR-MATCH,natural,theta,,,0.14536427686637077
2,same_01,8,LINEAR-MATCH,natural,alpha,,,0.13999919475701963
2,same_01,8,LINEAR-MATCH,natural,beta,,,0.082669790392923
2,same_01,8,LINEAR-MATCH,natural,low_gamma,,,0.07285251974302043
2,same_01,8,LINEAR-MATCH,natural,high_frequency_secondary,,,0.08907664778114893
2,same_01,8,DET-MATCH,natural,delta,,,0.2677743323585631
2,same_01,8,DET-MATCH,natural,theta,,,0.20052866654484655
2,same_01,8,DET-MATCH,natural,alpha,,,0.1467625677769106
2,same_01,8,DET-MATCH,natural,beta,,,0.08649488793725846
2,same_01,8,DET-MATCH,natural,low_gamma,,,0.08237872303565554
2,same_01,8,DET-MATCH,natural,high_frequency_secondary,,,0.1265854307885752
2,same_01,8,DIFF-MATCH,natural,delta,,,0.253856924684763
2,same_01,8,DIFF-MATCH,natural,theta,,,0.194049646512618
2,same_01,8,DIFF-MATCH,natural,alpha,,,0.1439695434266596
2,same_01,8,DIFF-MATCH,natural,beta,,,0.0813103562415778
2,same_01,8,DIFF-MATCH,natural,low_gamma,,,0.0786877896793979
2,same_01,8,DIFF-MATCH,natural,high_frequency_secondary,,,0.13981631023127536
2,same_01,8,LINEAR-WRONG,natural,delta,,,0.1291555081980168
2,same_01,8,LINEAR-WRONG,natural,theta,,,0.12396309172439414
2,same_01,8,LINEAR-WRONG,natural,alpha,,,0.11815167071717579
2,same_01,8,LINEAR-WRONG,natural,beta,,,0.07119354231401764
2,same_01,8,LINEAR-WRONG,natural,low_gamma,,,0.06820464099269051
2,same_01,8,LINEAR-WRONG,natural,high_frequency_secondary,,,0.07260918903992974
2,same_01,8,DET-WRONG,natural,delta,,,0.23678104952239906
2,same_01,8,DET-WRONG,natural,theta,,,0.18174810346104464
2,same_01,8,DET-WRONG,natural,alpha,,,0.12749218298088033
2,same_01,8,DET-WRONG,natural,beta,,,0.0761138019194188
2,same_01,8,DET-WRONG,natural,low_gamma,,,0.07773889377324783
2,same_01,8,DET-WRONG,natural,high_frequency_secondary,,,0.11191810971771006
2,same_01,8,DIFF-WRONG,natural,delta,,,0.225285376694778
2,same_01,8,DIFF-WRONG,natural,theta,,,0.17685396896522937
2,same_01,8,DIFF-WRONG,natural,alpha,,,0.12654562839390487
2,same_01,8,DIFF-WRONG,natural,beta,,,0.07289515860737955
2,same_01,8,DIFF-WRONG,natural,low_gamma,,,0.0737293457636174
2,same_01,8,DIFF-WRONG,natural,high_frequency_secondary,,,0.12166736556032116
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,delta,,,0.10387535245671814
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,theta,,,0.06471568258229393
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,alpha,,,0.0722446691878534
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,beta,,,0.07477591958307041
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,low_gamma,,,0.09549299594757758
2,same_01,8,DIFF-TEMPORAL-SHUFFLED,natural,high_frequency_secondary,,,0.047498277696814105
2,same_02,8,RAW,paired,delta,0.2411900907754898,0.0,
2,same_02,8,RAW,paired,theta,0.18926386535167694,0.0,
2,same_02,8,RAW,paired,alpha,0.20636095106601715,0.0,
2,same_02,8,RAW,paired,beta,0.21944881975650787,0.0,
2,same_02,8,RAW,paired,low_gamma,0.2785715162754059,0.0,
2,same_02,8,RAW,paired,high_frequency_secondary,0.4358959496021271,0.0,
2,same_02,8,LINEAR-POP,paired,delta,0.08275309950113297,0.15843699127435684,
2,same_02,8,LINEAR-POP,paired,theta,0.055196940898895264,0.13406692445278168,
2,same_02,8,LINEAR-POP,paired,alpha,0.05535144731402397,0.15100950375199318,
2,same_02,8,LINEAR-POP,paired,beta,0.05742403492331505,0.16202478483319283,
2,same_02,8,LINEAR-POP,paired,low_gamma,0.06954796612262726,0.20902355015277863,
2,same_02,8,LINEAR-POP,paired,high_frequency_secondary,0.11017526686191559,0.3257206827402115,
2,same_02,8,DET-POP,paired,delta,0.14469674229621887,0.09649334847927094,
2,same_02,8,DET-POP,paired,theta,0.08111555874347687,0.10814830660820007,
2,same_02,8,DET-POP,paired,alpha,0.06438439339399338,0.14197655767202377,
2,same_02,8,DET-POP,paired,beta,0.06081264466047287,0.158636175096035,
2,same_02,8,DET-POP,paired,low_gamma,0.08895836770534515,0.18961314857006073,
2,same_02,8,DET-POP,paired,high_frequency_secondary,0.15518078207969666,0.2807151675224304,
2,same_02,8,DIFF-POP,paired,delta,0.13881197571754456,0.10237811505794525,
2,same_02,8,DIFF-POP,paired,theta,0.08042778074741364,0.1088360846042633,
2,same_02,8,DIFF-POP,paired,alpha,0.06643639504909515,0.139924556016922,
2,same_02,8,DIFF-POP,paired,beta,0.06340888887643814,0.15603993088006973,
2,same_02,8,DIFF-POP,paired,low_gamma,0.09076263755559921,0.18780887871980667,
2,same_02,8,DIFF-POP,paired,high_frequency_secondary,0.166356161236763,0.2695397883653641,
2,same_02,8,LINEAR-MATCH,paired,delta,0.0175936259329319,0.2235964648425579,
2,same_02,8,LINEAR-MATCH,paired,theta,0.010556073859333992,0.17870779149234295,
2,same_02,8,LINEAR-MATCH,paired,alpha,0.011093562468886375,0.19526738859713078,
2,same_02,8,LINEAR-MATCH,paired,beta,0.011332706548273563,0.2081161132082343,
2,same_02,8,LINEAR-MATCH,paired,low_gamma,0.013880264014005661,0.2646912522614002,
2,same_02,8,LINEAR-MATCH,paired,high_frequency_secondary,0.02216288633644581,0.41373306326568127,
2,same_02,8,DET-MATCH,paired,delta,0.10051599889993668,0.14067409187555313,
2,same_02,8,DET-MATCH,paired,theta,0.05495378375053406,0.13431008160114288,
2,same_02,8,DET-MATCH,paired,alpha,0.03379249945282936,0.1725684516131878,
2,same_02,8,DET-MATCH,paired,beta,0.027583684772253036,0.19186513498425484,
2,same_02,8,DET-MATCH,paired,low_gamma,0.05112351477146149,0.2274480015039444,
2,same_02,8,DET-MATCH,paired,high_frequency_secondary,0.08940111845731735,0.3464948311448097,
2,same_02,8,DIFF-MATCH,paired,delta,0.09437915682792664,0.14681093394756317,
2,same_02,8,DIFF-MATCH,paired,theta,0.05259065702557564,0.1366732083261013,
2,same_02,8,DIFF-MATCH,paired,alpha,0.03632967174053192,0.17003127932548523,
2,same_02,8,DIFF-MATCH,paired,beta,0.03143162280321121,0.18801719695329666,
2,same_02,8,DIFF-MATCH,paired,low_gamma,0.05557235702872276,0.22299915924668312,
2,same_02,8,DIFF-MATCH,paired,high_frequency_secondary,0.11487895250320435,0.32101699709892273,
2,same_02,8,LINEAR-WRONG,paired,delta,0.06694255024194717,0.17424754053354263,
2,same_02,8,LINEAR-WRONG,paired,theta,0.03777644410729408,0.15148742124438286,
2,same_02,8,LINEAR-WRONG,paired,alpha,0.03162714093923569,0.17473381012678146,
2,same_02,8,LINEAR-WRONG,paired,beta,0.029156628996133804,0.19029219076037407,
2,same_02,8,LINEAR-WRONG,paired,low_gamma,0.033280570060014725,0.24529094621539116,
2,same_02,8,LINEAR-WRONG,paired,high_frequency_secondary,0.047946374863386154,0.3879495747387409,
2,same_02,8,DET-WRONG,paired,delta,0.12533064186573029,0.11585944890975952,
2,same_02,8,DET-WRONG,paired,theta,0.06757664680480957,0.12168721854686737,
2,same_02,8,DET-WRONG,paired,alpha,0.04565960541367531,0.16070134565234184,
2,same_02,8,DET-WRONG,paired,beta,0.03675154969096184,0.18269727006554604,
2,same_02,8,DET-WRONG,paired,low_gamma,0.05884498730301857,0.2197265289723873,
2,same_02,8,DET-WRONG,paired,high_frequency_secondary,0.10184073448181152,0.33405521512031555,
2,same_02,8,DIFF-WRONG,paired,delta,0.118751160800457,0.1224389299750328,
2,same_02,8,DIFF-WRONG,paired,theta,0.06519392877817154,0.1240699365735054,
2,same_02,8,DIFF-WRONG,paired,alpha,0.04651279374957085,0.1598481573164463,
2,same_02,8,DIFF-WRONG,paired,beta,0.03882615268230438,0.1806226670742035,
2,same_02,8,DIFF-WRONG,paired,low_gamma,0.062101636081933975,0.2164698801934719,
2,same_02,8,DIFF-WRONG,paired,high_frequency_secondary,0.12411757558584213,0.31177837401628494,
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,delta,0.30267974734306335,-0.06148965656757355,
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,theta,0.22546885907649994,-0.036204993724823,
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,alpha,0.2600368857383728,-0.05367593467235565,
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,beta,0.29856932163238525,-0.07912050187587738,
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,low_gamma,0.36444512009620667,-0.08587360382080078,
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,paired,high_frequency_secondary,0.5166633725166321,-0.080767422914505,
2,same_02,8,RAW,natural,delta,,,0.0
2,same_02,8,RAW,natural,theta,,,0.0
2,same_02,8,RAW,natural,alpha,,,0.0
2,same_02,8,RAW,natural,beta,,,0.0
2,same_02,8,RAW,natural,low_gamma,,,0.0
2,same_02,8,RAW,natural,high_frequency_secondary,,,0.0
2,same_02,8,LINEAR-POP,natural,delta,,,0.15400483926291827
2,same_02,8,LINEAR-POP,natural,theta,,,0.0995743610160459
2,same_02,8,LINEAR-POP,natural,alpha,,,0.1039235343156564
2,same_02,8,LINEAR-POP,natural,beta,,,0.07780247789072493
2,same_02,8,LINEAR-POP,natural,low_gamma,,,0.09554760838518686
2,same_02,8,LINEAR-POP,natural,high_frequency_secondary,,,0.18038307293427921
2,same_02,8,DET-POP,natural,delta,,,0.2558337325913843
2,same_02,8,DET-POP,natural,theta,,,0.12626038121780908
2,same_02,8,DET-POP,natural,alpha,,,0.11886626558676562
2,same_02,8,DET-POP,natural,beta,,,0.08473491897100846
2,same_02,8,DET-POP,natural,low_gamma,,,0.08803304048531507
2,same_02,8,DET-POP,natural,high_frequency_secondary,,,0.13644324328922822
2,same_02,8,DIFF-POP,natural,delta,,,0.24292905626676978
2,same_02,8,DIFF-POP,natural,theta,,,0.12131664385039417
2,same_02,8,DIFF-POP,natural,alpha,,,0.11534764475361269
2,same_02,8,DIFF-POP,natural,beta,,,0.0819585461027527
2,same_02,8,DIFF-POP,natural,low_gamma,,,0.09164688143706733
2,same_02,8,DIFF-POP,natural,high_frequency_secondary,,,0.14402703122615051
2,same_02,8,LINEAR-MATCH,natural,delta,,,0.20270001670211138
2,same_02,8,LINEAR-MATCH,natural,theta,,,0.13067196169397569
2,same_02,8,LINEAR-MATCH,natural,alpha,,,0.13108549552966184
2,same_02,8,LINEAR-MATCH,natural,beta,,,0.09283164617184037
2,same_02,8,LINEAR-MATCH,natural,low_gamma,,,0.12207697976610546
2,same_02,8,LINEAR-MATCH,natural,high_frequency_secondary,,,0.24199563456346296
2,same_02,8,DET-MATCH,natural,delta,,,0.30102064071456514
2,same_02,8,DET-MATCH,natural,theta,,,0.1532811215423926
2,same_02,8,DET-MATCH,natural,alpha,,,0.14408851110193524
2,same_02,8,DET-MATCH,natural,beta,,,0.09877824225054128
2,same_02,8,DET-MATCH,natural,low_gamma,,,0.11089623854254843
2,same_02,8,DET-MATCH,natural,high_frequency_secondary,,,0.18617732789530178
2,same_02,8,DIFF-MATCH,natural,delta,,,0.28775037670157944
2,same_02,8,DIFF-MATCH,natural,theta,,,0.147940845144107
2,same_02,8,DIFF-MATCH,natural,alpha,,,0.14009552100081604
2,same_02,8,DIFF-MATCH,natural,beta,,,0.09633086745407989
2,same_02,8,DIFF-MATCH,natural,low_gamma,,,0.1148255689982825
2,same_02,8,DIFF-MATCH,natural,high_frequency_secondary,,,0.18725088665732467
2,same_02,8,LINEAR-WRONG,natural,delta,,,0.17706162180576632
2,same_02,8,LINEAR-WRONG,natural,theta,,,0.11228519305211998
2,same_02,8,LINEAR-WRONG,natural,alpha,,,0.11743260410872106
2,same_02,8,LINEAR-WRONG,natural,beta,,,0.08672638338427083
2,same_02,8,LINEAR-WRONG,natural,low_gamma,,,0.11854022040616813
2,same_02,8,LINEAR-WRONG,natural,high_frequency_secondary,,,0.23510247602619058
2,same_02,8,DET-WRONG,natural,delta,,,0.2748001296076022
2,same_02,8,DET-WRONG,natural,theta,,,0.13682775033351297
2,same_02,8,DET-WRONG,natural,alpha,,,0.13189404869491564
2,same_02,8,DET-WRONG,natural,beta,,,0.09252433728212404
2,same_02,8,DET-WRONG,natural,low_gamma,,,0.10682021132081225
2,same_02,8,DET-WRONG,natural,high_frequency_secondary,,,0.17989904235694712
2,same_02,8,DIFF-WRONG,natural,delta,,,0.2625789255735943
2,same_02,8,DIFF-WRONG,natural,theta,,,0.1321238529605161
2,same_02,8,DIFF-WRONG,natural,alpha,,,0.12856066737761765
2,same_02,8,DIFF-WRONG,natural,beta,,,0.09061487491057613
2,same_02,8,DIFF-WRONG,natural,low_gamma,,,0.1103756436734226
2,same_02,8,DIFF-WRONG,natural,high_frequency_secondary,,,0.18142520600786688
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,delta,,,0.11350783207284619
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,theta,,,0.0836458495820852
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,alpha,,,0.0631965494867694
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,beta,,,0.06706035949954003
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,low_gamma,,,0.08326920433008968
2,same_02,8,DIFF-TEMPORAL-SHUFFLED,natural,high_frequency_secondary,,,0.13636691997038342
2,same_03,8,RAW,paired,delta,0.4319283366203308,0.0,
2,same_03,8,RAW,paired,theta,0.19918067753314972,0.0,
2,same_03,8,RAW,paired,alpha,0.1450834721326828,0.0,
2,same_03,8,RAW,paired,beta,0.1798158586025238,0.0,
2,same_03,8,RAW,paired,low_gamma,0.2480165660381317,0.0,
2,same_03,8,RAW,paired,high_frequency_secondary,0.3360729217529297,0.0,
2,same_03,8,LINEAR-POP,paired,delta,0.15763722360134125,0.27429111301898956,
2,same_03,8,LINEAR-POP,paired,theta,0.0697588175535202,0.12942185997962952,
2,same_03,8,LINEAR-POP,paired,alpha,0.05891309306025505,0.08617037907242775,
2,same_03,8,LINEAR-POP,paired,beta,0.08572734147310257,0.09408851712942123,
2,same_03,8,LINEAR-POP,paired,low_gamma,0.13145557045936584,0.11656099557876587,
2,same_03,8,LINEAR-POP,paired,high_frequency_secondary,0.17365017533302307,0.16242274641990662,
2,same_03,8,DET-POP,paired,delta,0.18756788969039917,0.24436044692993164,
2,same_03,8,DET-POP,paired,theta,0.09259787201881409,0.10658280551433563,
2,same_03,8,DET-POP,paired,alpha,0.06572538614273071,0.07935808598995209,
2,same_03,8,DET-POP,paired,beta,0.0834021270275116,0.09641373157501221,
2,same_03,8,DET-POP,paired,low_gamma,0.11382579058408737,0.13419077545404434,
2,same_03,8,DET-POP,paired,high_frequency_secondary,0.14150436222553253,0.19456855952739716,
2,same_03,8,DIFF-POP,paired,delta,0.1789727360010147,0.2529556006193161,
2,same_03,8,DIFF-POP,paired,theta,0.08868321776390076,0.11049745976924896,
2,same_03,8,DIFF-POP,paired,alpha,0.06516984105110168,0.07991363108158112,
2,same_03,8,DIFF-POP,paired,beta,0.08398911356925964,0.09582674503326416,
2,same_03,8,DIFF-POP,paired,low_gamma,0.11457854509353638,0.13343802094459534,
2,same_03,8,DIFF-POP,paired,high_frequency_secondary,0.16274987161159515,0.17332305014133453,
2,same_03,8,LINEAR-MATCH,paired,delta,0.025999704375863075,0.40592863224446774,
2,same_03,8,LINEAR-MATCH,paired,theta,0.01056803110986948,0.18861264642328024,
2,same_03,8,LINEAR-MATCH,paired,alpha,0.007231318391859531,0.13785215374082327,
2,same_03,8,LINEAR-MATCH,paired,beta,0.005906666629016399,0.1739091919735074,
2,same_03,8,LINEAR-MATCH,paired,low_gamma,0.007069408427923918,0.2409471576102078,
2,same_03,8,LINEAR-MATCH,paired,high_frequency_secondary,0.010170619934797287,0.3259023018181324,
2,same_03,8,DET-MATCH,paired,delta,0.14792941510677338,0.28399892151355743,
2,same_03,8,DET-MATCH,paired,theta,0.07206998765468597,0.12711068987846375,
2,same_03,8,DET-MATCH,paired,alpha,0.035238731652498245,0.10984474048018456,
2,same_03,8,DET-MATCH,paired,beta,0.027659885585308075,0.15215597301721573,
2,same_03,8,DET-MATCH,paired,low_gamma,0.05158064514398575,0.19643592089414597,
2,same_03,8,DET-MATCH,paired,high_frequency_secondary,0.09563072770833969,0.24044219404459,
2,same_03,8,DIFF-MATCH,paired,delta,0.13970600068569183,0.292222335934639,
2,same_03,8,DIFF-MATCH,paired,theta,0.06812333315610886,0.13105734437704086,
2,same_03,8,DIFF-MATCH,paired,alpha,0.036615099757909775,0.10846837237477303,
2,same_03,8,DIFF-MATCH,paired,beta,0.03246978297829628,0.14734607562422752,
2,same_03,8,DIFF-MATCH,paired,low_gamma,0.05601581186056137,0.19200075417757034,
2,same_03,8,DIFF-MATCH,paired,high_frequency_secondary,0.12802757322788239,0.2080453485250473,
2,same_03,8,LINEAR-WRONG,paired,delta,0.14268462359905243,0.2892437130212784,
2,same_03,8,LINEAR-WRONG,paired,theta,0.06236071139574051,0.1368199661374092,
2,same_03,8,LINEAR-WRONG,paired,alpha,0.04364221915602684,0.10144125297665596,
2,same_03,8,LINEAR-WRONG,paired,beta,0.03241194039583206,0.14740391820669174,
2,same_03,8,LINEAR-WRONG,paired,low_gamma,0.03527522459626198,0.21274134144186974,
2,same_03,8,LINEAR-WRONG,paired,high_frequency_secondary,0.057390883564949036,0.27868203818798065,
2,same_03,8,DET-WRONG,paired,delta,0.16577427089214325,0.26615406572818756,
2,same_03,8,DET-WRONG,paired,theta,0.0826868787407875,0.11649379879236221,
2,same_03,8,DET-WRONG,paired,alpha,0.05272865667939186,0.09235481545329094,
2,same_03,8,DET-WRONG,paired,beta,0.041630424559116364,0.13818543404340744,
2,same_03,8,DET-WRONG,paired,low_gamma,0.0610295832157135,0.1869869828224182,
2,same_03,8,DET-WRONG,paired,high_frequency_secondary,0.11627132445573807,0.21980159729719162,
2,same_03,8,DIFF-WRONG,paired,delta,0.15845666825771332,0.2734716683626175,
2,same_03,8,DIFF-WRONG,paired,theta,0.07968100905418396,0.11949966847896576,
2,same_03,8,DIFF-WRONG,paired,alpha,0.053710274398326874,0.09137319773435593,
2,same_03,8,DIFF-WRONG,paired,beta,0.044862110167741776,0.13495374843478203,
2,same_03,8,DIFF-WRONG,paired,low_gamma,0.06227578967809677,0.18574077636003494,
2,same_03,8,DIFF-WRONG,paired,high_frequency_secondary,0.14092233777046204,0.19515058398246765,
2,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,delta,0.505744218826294,-0.07381588220596313,
2,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,theta,0.2488870471715927,-0.04970636963844299,
2,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,alpha,0.20015591382980347,-0.055072441697120667,
2,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,beta,0.257736474275589,-0.07792061567306519,
2,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,low_gamma,0.32162347435951233,-0.07360690832138062,
2,same_03,8,DIFF-TEMPORAL-SHUFFLED,paired,high_frequency_secondary,0.3978904187679291,-0.06181749701499939,
2,same_03,8,RAW,natural,delta,,,0.0
2,same_03,8,RAW,natural,theta,,,0.0
2,same_03,8,RAW,natural,alpha,,,0.0
2,same_03,8,RAW,natural,beta,,,0.0
2,same_03,8,RAW,natural,low_gamma,,,0.0
2,same_03,8,RAW,natural,high_frequency_secondary,,,0.0
2,same_03,8,LINEAR-POP,natural,delta,,,0.1328650201878145
2,same_03,8,LINEAR-POP,natural,theta,,,0.10163656555002898
2,same_03,8,LINEAR-POP,natural,alpha,,,0.10531518989648574
2,same_03,8,LINEAR-POP,natural,beta,,,0.0640521541888541
2,same_03,8,LINEAR-POP,natural,low_gamma,,,0.16670056993733345
2,same_03,8,LINEAR-POP,natural,high_frequency_secondary,,,0.1960528313795286
2,same_03,8,DET-POP,natural,delta,,,0.2210910995330716
2,same_03,8,DET-POP,natural,theta,,,0.12974078587561866
2,same_03,8,DET-POP,natural,alpha,,,0.10957949311189039
2,same_03,8,DET-POP,natural,beta,,,0.0676568390071343
2,same_03,8,DET-POP,natural,low_gamma,,,0.13145527926160888
2,same_03,8,DET-POP,natural,high_frequency_secondary,,,0.09372896458926287
2,same_03,8,DIFF-POP,natural,delta,,,0.21245426911858353
2,same_03,8,DIFF-POP,natural,theta,,,0.12577053835779453
2,same_03,8,DIFF-POP,natural,alpha,,,0.10714013710166295
2,same_03,8,DIFF-POP,natural,beta,,,0.06558650837005284
2,same_03,8,DIFF-POP,natural,low_gamma,,,0.13776089519953402
2,same_03,8,DIFF-POP,natural,high_frequency_secondary,,,0.08643919983463094
2,same_03,8,LINEAR-MATCH,natural,delta,,,0.12970073103167518
2,same_03,8,LINEAR-MATCH,natural,theta,,,0.0979896856576175
2,same_03,8,LINEAR-MATCH,natural,alpha,,,0.09835180127876278
2,same_03,8,LINEAR-MATCH,natural,beta,,,0.05673119214583888
2,same_03,8,LINEAR-MATCH,natural,low_gamma,,,0.09534640427595797
2,same_03,8,LINEAR-MATCH,natural,high_frequency_secondary,,,0.10474953492700086
2,same_03,8,DET-MATCH,natural,delta,,,0.22194797578237832
2,same_03,8,DET-MATCH,natural,theta,,,0.13272527395574998
2,same_03,8,DET-MATCH,natural,alpha,,,0.10707054204720125
2,same_03,8,DET-MATCH,natural,beta,,,0.06178246528443378
2,same_03,8,DET-MATCH,natural,low_gamma,,,0.07508134399933242
2,same_03,8,DET-MATCH,natural,high_frequency_secondary,,,0.045661879167221614
2,same_03,8,DIFF-MATCH,natural,delta,,,0.2134196430764489
2,same_03,8,DIFF-MATCH,natural,theta,,,0.12857159780737876
2,same_03,8,DIFF-MATCH,natural,alpha,,,0.10454296859791115
