subject,protocol,k,method,rrmse,correlation,delta_snr,paired_psd_error_1_45,paired_spectral_utility
3,same_02,32,LINEAR-POP,0.12971152365207672,0.9918128712876405,10.452170372009277,0.06254532188177109,0.213717021048069
3,same_02,32,DET-POP,0.13232091069221497,0.9912619344462537,10.279172897338867,0.08918854594230652,0.18707379698753357
3,same_02,32,DIFF-POP,0.13445258140563965,0.9909698455038569,10.140357971191406,0.0945252776145935,0.18173706531524658
3,same_02,32,LINEAR-MATCH,0.04115195944905281,0.9991937835684129,20.423931121826172,0.016570935025811195,0.2596914079040289
3,same_02,32,DET-MATCH,0.07649005204439163,0.9971792599259901,15.039643287658691,0.05105217173695564,0.22521017119288445
3,same_02,32,DIFF-MATCH,0.08274654299020767,0.9966515833494465,14.356745719909668,0.062144216150045395,0.2141181267797947
3,same_02,32,LINEAR-WRONG,0.17367736995220184,0.9856593787306384,7.916876792907715,0.062365394085645676,0.2138969488441944
3,same_02,32,DET-WRONG,0.14839816093444824,0.9889565905218495,9.283171653747559,0.08722826093435287,0.1890340819954872
3,same_02,32,DIFF-WRONG,0.15008947253227234,0.9887178465621695,9.184737205505371,0.09426162391901016,0.18200071901082993
3,same_02,32,DIFF-TEMPORAL-SHUFFLED,0.5496863126754761,0.8738654804004712,-2.09055757522583,0.37544572353363037,-0.09918338060379028
3,same_03,32,RAW,0.31134602427482605,0.9553968950664986,0.0,0.14437954127788544,0.0
3,same_03,32,LINEAR-POP,0.1013539731502533,0.9949686645137928,9.748051643371582,0.06184354051947594,0.0825360007584095
3,same_03,32,DET-POP,0.11510095000267029,0.9936796319874057,8.643288612365723,0.06405489891767502,0.08032464236021042
3,same_03,32,DIFF-POP,0.11279701441526413,0.993893321196776,8.818914413452148,0.06697515398263931,0.07740438729524612
3,same_03,32,LINEAR-MATCH,0.014026924967765808,0.9999013515006239,26.92561912536621,0.006647633388638496,0.13773190788924694
3,same_03,32,DET-MATCH,0.0674269050359726,0.9979279047219812,13.288202285766602,0.040915872901678085,0.10346366837620735
3,same_03,32,DIFF-MATCH,0.06966022402048111,0.997718535633477,13.005169868469238,0.04705343395471573,0.09732610732316971
3,same_03,32,LINEAR-WRONG,0.0859609991312027,0.9963278304168313,11.178837776184082,0.020305713638663292,0.12407382763922215
3,same_03,32,DET-WRONG,0.0830935686826706,0.9966538757227639,11.473518371582031,0.04526110365986824,0.0991184376180172
3,same_03,32,DIFF-WRONG,0.08314814418554306,0.9966137529523739,11.467815399169922,0.04834916815161705,0.09603037312626839
3,same_03,32,DIFF-TEMPORAL-SHUFFLED,0.3898636996746063,0.9260687144980801,-1.9533894062042236,0.20735080540180206,-0.06297126412391663
4,same_01,8,RAW,0.41136810183525085,0.9272495937274942,0.0,0.24034219980239868,0.0
4,same_01,8,LINEAR-POP,0.08557500690221786,0.9963393636186482,13.637674331665039,0.04648960754275322,0.19385259225964546
4,same_01,8,DET-POP,0.130190908908844,0.9916201481920287,9.992999076843262,0.06176968663930893,0.17857251316308975
4,same_01,8,DIFF-POP,0.1278761476278305,0.9917919981495862,10.148821830749512,0.06284279376268387,0.1774994060397148
4,same_01,8,LINEAR-MATCH,0.021943071857094765,0.9997633875903409,25.458663940429688,0.00865583773702383,0.23168636206537485
4,same_01,8,DET-MATCH,0.07841712981462479,0.9969734015192826,14.396394729614258,0.032632164657115936,0.20771003514528275
4,same_01,8,DIFF-MATCH,0.07760538905858994,0.9970013327195983,14.486775398254395,0.037802230566740036,0.20253996923565865
4,same_01,8,LINEAR-WRONG,0.09704916924238205,0.9953185078609827,12.54477596282959,0.03437161445617676,0.20597058534622192
4,same_01,8,DET-WRONG,0.1168888658285141,0.9932604952161931,10.929150581359863,0.044949695467948914,0.19539250433444977
4,same_01,8,DIFF-WRONG,0.11222207546234131,0.9936800801663833,11.283045768737793,0.047480858862400055,0.19286134093999863
4,same_01,8,DIFF-TEMPORAL-SHUFFLED,0.5951542258262634,0.8610793183670838,-3.2079787254333496,0.3415929079055786,-0.10125070810317993
4,same_02,8,RAW,0.46032410860061646,0.9072802345070613,0.0,0.16333279013633728,0.0
4,same_02,8,LINEAR-POP,0.21141400933265686,0.9784967664298031,6.758599281311035,0.0743209719657898,0.08901181817054749
4,same_02,8,DET-POP,0.1446811854839325,0.99014490958837,10.053032875061035,0.073802150785923,0.08953063935041428
4,same_02,8,DIFF-POP,0.14333575963974,0.9899828131985668,10.134182929992676,0.0759863331913948,0.08734645694494247
4,same_02,8,LINEAR-MATCH,0.3020337224006653,0.9573585472346844,3.660165309906006,0.10250897705554962,0.06082381308078766
4,same_02,8,DET-MATCH,0.18991480767726898,0.9827457043271414,7.690097808837891,0.09901461005210876,0.06431818008422852
4,same_02,8,DIFF-MATCH,0.19239887595176697,0.9820165139544103,7.577224254608154,0.1073359027504921,0.055996887385845184
4,same_02,8,LINEAR-WRONG,0.33658385276794434,0.9476777160390689,2.719409227371216,0.12173331528902054,0.04159947484731674
4,same_02,8,DET-WRONG,0.21645903587341309,0.9774762421808194,6.553760051727295,0.11705532670021057,0.04627746343612671
4,same_02,8,DIFF-WRONG,0.21576927602291107,0.9773626798244668,6.58148193359375,0.12106320261955261,0.04226958751678467
4,same_02,8,DIFF-TEMPORAL-SHUFFLED,0.6131612062454224,0.8506325032570153,-2.4902195930480957,0.3321927487850189,-0.16885995864868164
4,same_03,8,RAW,0.27097582817077637,0.9673785457458486,0.0,0.15622791647911072,0.0
4,same_03,8,LINEAR-POP,0.12894555926322937,0.9923321387928237,6.450483798980713,0.07866847515106201,0.0775594413280487
4,same_03,8,DET-POP,0.1396542489528656,0.9916306874717958,5.757528305053711,0.07563707232475281,0.08059084415435791
4,same_03,8,DIFF-POP,0.13746541738510132,0.9912871185811093,5.894742012023926,0.08187691122293472,0.074351005256176
4,same_03,8,LINEAR-MATCH,0.02321973443031311,0.9997312716345261,21.341468811035156,0.009295441210269928,0.1469324752688408
4,same_03,8,DET-MATCH,0.059269603341817856,0.9983566962881124,13.201971054077148,0.028288088738918304,0.1279398277401924
4,same_03,8,DIFF-MATCH,0.06234303489327431,0.9980502617256217,12.762853622436523,0.03553605079650879,0.12069186568260193
