successful_update,pair_indices,pair_keys
1636,613;136;141;794;624;50;223;748,study05/study05_p46:target_t24_1024:source_t3_512;study05/study05_p10:target_t29_512:source_t13_1024;study05/study05_p10:target_t30_1024:source_t15_0;study05/study05_p48:target_t29_1024:source_t10_1536;study05/study05_p46:target_t27_512:source_t6_0;study05/study05_p06:target_t29_1536:source_t13_512;study05/study05_p40:target_t18_1536:source_t1_512;study05/study05_p48:target_t16_1536:source_t12_1536
1637,221;783;319;563;530;775;48;10,study05/study05_p40:target_t18_512:source_t0_1536;study05/study05_p48:target_t26_0:source_t8_0;study05/study05_p41:target_t22_1024:source_t7_0;study05/study05_p45:target_t30_1024:source_t13_1024;study05/study05_p45:target_t20_0:source_t4_1024;study05/study05_p48:target_t24_0:source_t6_0;study05/study05_p06:target_t29_512:source_t12_1024;study05/study05_p06:target_t19_1024:source_t3_0
1638,547;130;74;372;520;377;197;790,study05/study05_p45:target_t25_1536:source_t9_0;study05/study05_p10:target_t27_1536:source_t11_1536;study05/study05_p06:target_t35_1536:source_t2_512;study05/study05_p43:target_t20_0:source_t2_1024;study05/study05_p45:target_t17_0:source_t2_0;study05/study05_p43:target_t21_1536:source_t3_1536;study05/study05_p24:target_t27_512:source_t13_512;study05/study05_p48:target_t28_0:source_t9_1536
1639,684;732;605;77;198;743;369;678,study05/study05_p47:target_t20_1536:source_t4_512;study05/study05_p47:target_t32_1536:source_t1_512;study05/study05_p46:target_t22_1024:source_t1_512;study05/study05_p06:target_t36_1024:source_t3_0;study05/study05_p24:target_t27_1024:source_t13_1024;study05/study05_p48:target_t15_1024:source_t11_0;study05/study05_p43:target_t19_512:source_t1_1536;study05/study05_p47:target_t19_512:source_t2_1536
1640,815;410;164;338;26;696;582;166,study05/study05_p48:target_t36_512:source_t3_0;study05/study05_p43:target_t31_512:source_t12_1536;study05/study05_p10:target_t36_512:source_t3_1536;study05/study05_p41:target_t27_512:source_t11_1536;study05/study05_p06:target_t23_1024:source_t7_0;study05/study05_p47:target_t23_1536:source_t7_1024;study05/study05_p45:target_t35_1024:source_t2_0;study05/study05_p10:target_t36_1536:source_t4_512
1641,119;585;804;212;522;244;581;540,study05/study05_p10:target_t25_0:source_t8_1024;study05/study05_p45:target_t36_1024:source_t2_1536;study05/study05_p48:target_t32_1024:source_t0_512;study05/study05_p24:target_t31_0:source_t0_1536;study05/study05_p45:target_t18_0:source_t2_1024;study05/study05_p40:target_t24_512:source_t6_1024;study05/study05_p45:target_t35_512:source_t1_1536;study05/study05_p45:target_t23_1024:source_t7_0
1642,611;76;296;689;557;396;324;11,study05/study05_p46:target_t24_0:source_t2_1536;study05/study05_p06:target_t36_512:source_t2_1536;study05/study05_p41:target_t16_1536:source_t1_512;study05/study05_p47:target_t22_0:source_t5_1024;study05/study05_p45:target_t29_0:source_t11_1536;study05/study05_p43:target_t27_0:source_t8_1024;study05/study05_p41:target_t23_1536:source_t8_512;study05/study05_p06:target_t19_1536:source_t3_512
1643,606;677;538;719;273;21;705;454,study05/study05_p46:target_t22_1536:source_t1_1024;study05/study05_p47:target_t19_0:source_t2_1024;study05/study05_p45:target_t23_0:source_t6_1024;study05/study05_p47:target_t29_1024:source_t14_512;study05/study05_p40:target_t32_0:source_t15_0;study05/study05_p06:target_t22_512:source_t5_1536;study05/study05_p47:target_t26_0:source_t10_512;study05/study05_p44:target_t19_1024:source_t14_1536
1644,237;496;793;366;17;171;257;625,study05/study05_p40:target_t22_1024:source_t4_1536;study05/study05_p44:target_t30_0:source_t11_0;study05/study05_p48:target_t29_512:source_t10_1024;study05/study05_p43:target_t18_1024:source_t1_0;study05/study05_p06:target_t21_512:source_t4_1536;study05/study05_p10:target_t38_0:source_t5_1024;study05/study05_p40:target_t27_1536:source_t10_0;study05/study05_p46:target_t27_1024:source_t6_512
1645,199;765;87;363;106;533;347;507,study05/study05_p24:target_t27_1536:source_t14_0;study05/study05_p48:target_t21_512:source_t3_1024;study05/study05_p10:target_t17_0:source_t0_1024;study05/study05_p41:target_t33_1536:source_t4_0;study05/study05_p10:target_t21_1536:source_t5_512;study05/study05_p45:target_t21_0:source_t5_512;study05/study05_p41:target_t29_1024:source_t0_0;study05/study05_p44:target_t32_1536:source_t0_512
1646,188;741;636;549;70;729;395;532,study05/study05_p24:target_t24_1536:source_t9_1024;study05/study05_p48:target_t15_0:source_t10_1024;study05/study05_p46:target_t30_1536:source_t9_0;study05/study05_p45:target_t26_512:source_t9_1024;study05/study05_p06:target_t34_1536:source_t1_512;study05/study05_p47:target_t32_0:source_t0_1024;study05/study05_p43:target_t26_1536:source_t8_512;study05/study05_p45:target_t20_1536:source_t5_0
1647,475;534;90;618;318;45;556;287,study05/study05_p44:target_t24_1536:source_t5_0;study05/study05_p45:target_t21_512:source_t5_1024;study05/study05_p10:target_t17_1536:source_t1_512;study05/study05_p46:target_t25_1536:source_t4_1024;study05/study05_p41:target_t22_512:source_t6_1536;study05/study05_p06:target_t28_1024:source_t11_1536;study05/study05_p45:target_t28_1536:source_t11_512;study05/study05_p40:target_t35_1024:source_t0_1024
1648,680;230,study05/study05_p47:target_t19_1536:source_t3_512;study05/study05_p40:target_t20_1024:source_t3_0
1649,479;795;560;41;686;537;175;196,study05/study05_p44:target_t25_1536:source_t6_0;study05/study05_p48:target_t30_0:source_t11_0;study05/study05_p45:target_t29_1536:source_t12_1536;study05/study05_p06:target_t27_512:source_t10_1536;study05/study05_p47:target_t21_512:source_t4_1536;study05/study05_p45:target_t22_1536:source_t6_512;study05/study05_p24:target_t17_0:source_t6_512;study05/study05_p24:target_t27_0:source_t13_0
1650,321;365;234;706;736;169;163;551,study05/study05_p41:target_t23_0:source_t7_1024;study05/study05_p43:target_t18_512:source_t0_1536;study05/study05_p40:target_t21_1536:source_t4_0;study05/study05_p47:target_t26_512:source_t10_1024;study05/study05_p47:target_t33_1536:source_t2_512;study05/study05_p10:target_t37_1024:source_t5_0;study05/study05_p10:target_t36_0:source_t3_1024;study05/study05_p45:target_t26_1536:source_t10_0
1651,512;207;653;244;724;158;794;694,study05/study05_p44:target_t34_0:source_t1_1024;study05/study05_p24:target_t29_1536:source_t16_1024;study05/study05_p46:target_t35_0:source_t13_1536;study05/study05_p40:target_t24_512:source_t6_1024;study05/study05_p47:target_t30_1536:source_t16_512;study05/study05_p10:target_t34_1536:source_t2_512;study05/study05_p48:target_t29_1024:source_t10_1536;study05/study05_p47:target_t23_512:source_t7_0
1652,627;377;505;57;352;9;65;677,study05/study05_p46:target_t28_1024:source_t6_1536;study05/study05_p43:target_t21_1536:source_t3_1536;study05/study05_p44:target_t32_512:source_t14_1536;study05/study05_p06:target_t31_1024:source_t15_0;study05/study05_p41:target_t30_1536:source_t1_512;study05/study05_p06:target_t19_512:source_t2_1536;study05/study05_p06:target_t33_1024:source_t0_0;study05/study05_p47:target_t19_0:source_t2_1024
1653,120;723;279;328;672;262;633;1,study05/study05_p10:target_t25_512:source_t9_0;study05/study05_p47:target_t30_1024:source_t15_1536;study05/study05_p40:target_t33_1024:source_t16_1024;study05/study05_p41:target_t24_1536:source_t9_512;study05/study05_p47:target_t17_1536:source_t1_512;study05/study05_p40:target_t29_0:source_t11_512;study05/study05_p46:target_t30_0:source_t8_512;study05/study05_p06:target_t17_512:source_t0_1536
1654,218;368;224;513;203;92;457;298,study05/study05_p24:target_t32_1024:source_t2_512;study05/study05_p43:target_t19_0:source_t1_1024;study05/study05_p40:target_t19_0:source_t1_1024;study05/study05_p44:target_t34_512:source_t1_1536;study05/study05_p24:target_t28_1536:source_t15_512;study05/study05_p10:target_t18_512:source_t1_1536;study05/study05_p44:target_t20_512:source_t0_1024;study05/study05_p41:target_t17_512:source_t1_1536
1655,288;191;610;44;45;605;632;113,study05/study05_p40:target_t35_1536:source_t0_1536;study05/study05_p24:target_t25_1536:source_t10_512;study05/study05_p46:target_t23_1536:source_t2_1024;study05/study05_p06:target_t28_512:source_t11_1024;study05/study05_p06:target_t28_1024:source_t11_1536;study05/study05_p46:target_t22_1024:source_t1_512;study05/study05_p46:target_t29_1536:source_t8_0;study05/study05_p10:target_t23_1024:source_t7_0
1656,710;129;31;577;581;436;758;265,study05/study05_p47:target_t27_512:source_t11_1536;study05/study05_p10:target_t27_1024:source_t11_1024;study05/study05_p06:target_t24_1536:source_t8_512;study05/study05_p45:target_t34_512:source_t0_1536;study05/study05_p45:target_t35_512:source_t1_1536;study05/study05_p44:target_t15_0:source_t8_0;study05/study05_p48:target_t19_1024:source_t1_1536;study05/study05_p40:target_t29_1536:source_t12_1024
1657,583;514;62;209;344;246;231;126,study05/study05_p45:target_t35_1536:source_t2_512;study05/study05_p44:target_t34_1024:source_t2_0;study05/study05_p06:target_t32_1536:source_t16_512;study05/study05_p24:target_t30_512:source_t0_0;study05/study05_p41:target_t28_1536:source_t15_0;study05/study05_p40:target_t24_1536:source_t7_0;study05/study05_p40:target_t21_0:source_t3_512;study05/study05_p10:target_t26_1536:source_t10_1024
1658,351;535;517;742;415;573;735;449,study05/study05_p41:target_t30_1024:source_t1_0;study05/study05_p45:target_t21_1536:source_t5_1536;study05/study05_p44:target_t35_512:source_t2_1536;study05/study05_p48:target_t15_512:source_t10_1536;study05/study05_p43:target_t32_1024:source_t16_0;study05/study05_p45:target_t33_512:source_t16_1024;study05/study05_p47:target_t33_1024:source_t2_0;study05/study05_p44:target_t18_512:source_t12_1024
1659,253;569;763;172;307;634;476;612,study05/study05_p40:target_t26_1536:source_t8_1536;study05/study05_p45:target_t32_0:source_t15_1024;study05/study05_p48:target_t20_1536:source_t3_0;study05/study05_p10:target_t38_512:source_t5_1536;study05/study05_p41:target_t19_1024:source_t4_0;study05/study05_p46:target_t30_512:source_t8_1024;study05/study05_p44:target_t25_0:source_t5_512;study05/study05_p46:target_t24_512:source_t3_0
1660,376;391;3;60;711;679;464;777,study05/study05_p43:target_t21_1024:source_t3_1024;study05/study05_p43:target_t25_1536:source_t7_512;study05/study05_p06:target_t17_1536:source_t1_512;study05/study05_p06:target_t32_512:source_t15_1536;study05/study05_p47:target_t27_1024:source_t12_0;study05/study05_p47:target_t19_1024:source_t3_0;study05/study05_p44:target_t22_0:source_t2_512;study05/study05_p48:target_t24_1024:source_t6_1024
1661,779;94;157;363;796;394;93;692,study05/study05_p48:target_t25_0:source_t7_0;study05/study05_p10:target_t18_1536:source_t2_512;study05/study05_p10:target_t34_1024:source_t2_0;study05/study05_p41:target_t33_1536:source_t4_0;study05/study05_p48:target_t30_512:source_t11_512;study05/study05_p43:target_t26_1024:source_t8_0;study05/study05_p10:target_t18_1024:source_t2_0;study05/study05_p47:target_t22_1536:source_t6_512
1662,211;329;39;401;668;42;34;432,study05/study05_p24:target_t30_1536:source_t0_1024;study05/study05_p41:target_t25_0:source_t9_1024;study05/study05_p06:target_t26_1536:source_t10_512;study05/study05_p43:target_t28_1536:source_t9_1536;study05/study05_p46:target_t38_1536:source_t17_1536;study05/study05_p06:target_t27_1024:source_t11_0;study05/study05_p06:target_t25_1024:source_t9_0;study05/study05_p43:target_t38_0:source_t4_0
1663,764;586;654;210;806;294;7;36,study05/study05_p48:target_t21_0:source_t3_512;study05/study05_p45:target_t36_1536:source_t3_0;study05/study05_p46:target_t35_512:source_t14_512;study05/study05_p24:target_t30_1024:source_t0_512;study05/study05_p48:target_t33_0:source_t0_1536;study05/study05_p41:target_t16_512:source_t0_1536;study05/study05_p06:target_t18_1536:source_t2_512;study05/study05_p06:target_t26_0:source_t9_1024
1664,624;754;141;373;151;149;56;139,study05/study05_p46:target_t27_512:source_t6_0;study05/study05_p48:target_t18_1024:source_t0_1536;study05/study05_p10:target_t30_1024:source_t15_0;study05/study05_p43:target_t20_512:source_t2_1536;study05/study05_p10:target_t33_0:source_t0_1024;study05/study05_p10:target_t32_1024:source_t0_0;study05/study05_p06:target_t31_512:source_t14_1536;study05/study05_p10:target_t30_0:source_t14_512
1665,404;216;150;483;164;475;188;82,study05/study05_p43:target_t29_1024:source_t10_1024;study05/study05_p24:target_t32_0:source_t1_1536;study05/study05_p10:target_t32_1536:source_t0_512;study05/study05_p44:target_t26_1536:source_t7_0;study05/study05_p10:target_t36_512:source_t3_1536;study05/study05_p44:target_t24_1536:source_t5_0;study05/study05_p24:target_t24_1536:source_t9_1024;study05/study05_p06:target_t37_1536:source_t4_512
1666,525;455;333;239;585;756;241;155,study05/study05_p45:target_t18_1536:source_t3_512;study05/study05_p44:target_t19_1536:source_t0_0;study05/study05_p41:target_t26_0:source_t10_1024;study05/study05_p40:target_t23_0:source_t5_512;study05/study05_p45:target_t36_1024:source_t2_1536;study05/study05_p48:target_t19_0:source_t1_512;study05/study05_p40:target_t23_1024:source_t5_1536;study05/study05_p10:target_t34_0:source_t1_1024
1667,536;691;473;521;266;622;97;360,study05/study05_p45:target_t22_0:source_t6_0;study05/study05_p47:target_t22_1024:source_t6_0;study05/study05_p44:target_t24_512:source_t4_1024;study05/study05_p45:target_t17_512:source_t2_512;study05/study05_p40:target_t30_0:source_t12_1536;study05/study05_p46:target_t26_1536:source_t5_1024;study05/study05_p10:target_t19_1024:source_t3_0;study05/study05_p41:target_t33_0:source_t3_512
1668,67;412;115;77;645;770;509;427,study05/study05_p06:target_t34_0:source_t0_1024;study05/study05_p43:target_t31_1536:source_t13_512;study05/study05_p10:target_t24_0:source_t7_1024;study05/study05_p06:target_t36_1024:source_t3_0;study05/study05_p46:target_t33_0:source_t11_512;study05/study05_p48:target_t22_1024:source_t4_1536;study05/study05_p44:target_t33_512:source_t0_1536;study05/study05_p43:target_t36_1024:source_t2_1536
1669,486;579;28;289;21;263;787;378,study05/study05_p44:target_t27_1024:source_t7_1536;study05/study05_p45:target_t34_1536:source_t1_512;study05/study05_p06:target_t24_0:source_t7_1024;study05/study05_p40:target_t36_0:source_t1_0;study05/study05_p06:target_t22_512:source_t5_1536;study05/study05_p40:target_t29_512:source_t11_1024;study05/study05_p48:target_t27_512:source_t9_0;study05/study05_p43:target_t22_0:source_t4_0
1670,529;698;17;594;527;490;23;639,study05/study05_p45:target_t19_1536:source_t4_512;study05/study05_p47:target_t24_512:source_t8_1024;study05/study05_p06:target_t21_512:source_t4_1536;study05/study05_p46:target_t19_1536:source_t16_1024;study05/study05_p45:target_t19_512:source_t3_1536;study05/study05_p44:target_t28_1024:source_t8_1536;study05/study05_p06:target_t22_1536:source_t6_512;study05/study05_p46:target_t31_1024:source_t9_1536
1671,15;637;348;655;760;482;119;433,study05/study05_p06:target_t20_1536:source_t4_512;study05/study05_p46:target_t31_0:source_t9_512;study05/study05_p41:target_t29_1536:source_t0_512;study05/study05_p46:target_t35_1024:source_t14_1024;study05/study05_p48:target_t20_0:source_t2_512;study05/study05_p44:target_t26_1024:source_t6_1536;study05/study05_p10:target_t25_0:source_t8_1024;study05/study05_p43:target_t38_512:source_t4_512
1672,229;780;548;421;90;568;194;729,study05/study05_p40:target_t20_512:source_t2_1536;study05/study05_p48:target_t25_512:source_t7_512;study05/study05_p45:target_t26_0:source_t9_512;study05/study05_p43:target_t34_1024:source_t1_512;study05/study05_p10:target_t17_1536:source_t1_512;study05/study05_p45:target_t31_1536:source_t15_512;study05/study05_p24:target_t26_1024:source_t11_1536;study05/study05_p47:target_t32_0:source_t0_1024
1673,310;727;48;530;501;146;493;809,study05/study05_p41:target_t20_512:source_t4_1536;study05/study05_p47:target_t31_1024:source_t0_0;study05/study05_p06:target_t29_512:source_t12_1024;study05/study05_p45:target_t20_0:source_t4_1024;study05/study05_p44:target_t31_512:source_t12_1536;study05/study05_p10:target_t31_1536:source_t16_512;study05/study05_p44:target_t29_512:source_t9_1024;study05/study05_p48:target_t34_512:source_t1_1024
1674,755;252;741;776;534;499;558;802,study05/study05_p48:target_t18_1536:source_t1_0;study05/study05_p40:target_t26_1024:source_t8_1024;study05/study05_p48:target_t15_0:source_t10_1024;study05/study05_p48:target_t24_512:source_t6_512;study05/study05_p45:target_t21_512:source_t5_1024;study05/study05_p44:target_t30_1536:source_t11_1536;study05/study05_p45:target_t29_512:source_t12_0;study05/study05_p48:target_t32_0:source_t14_512
1675,131;743;461;658;121;13;734;549,study05/study05_p10:target_t28_0:source_t12_512;study05/study05_p48:target_t15_1024:source_t11_0;study05/study05_p44:target_t21_512:source_t1_1024;study05/study05_p46:target_t36_512:source_t15_512;study05/study05_p10:target_t25_1024:source_t9_512;study05/study05_p06:target_t20_512:source_t3_1536;study05/study05_p47:target_t33_512:source_t1_1536;study05/study05_p45:target_t26_512:source_t9_1024
1676,561;411;168;714;132;707;443;660,study05/study05_p45:target_t30_0:source_t13_0;study05/study05_p43:target_t31_1024:source_t13_0;study05/study05_p10:target_t37_512:source_t4_1536;study05/study05_p47:target_t28_512:source_t13_0;study05/study05_p10:target_t28_512:source_t12_1024;study05/study05_p47:target_t26_1024:source_t10_1536;study05/study05_p44:target_t16_1536:source_t9_1536;study05/study05_p46:target_t36_1536:source_t15_1536
1677,722;804;271;626;326;347;423;270,study05/study05_p47:target_t30_512:source_t15_1024;study05/study05_p48:target_t32_1024:source_t0_512;study05/study05_p40:target_t31_1024:source_t14_1024;study05/study05_p46:target_t27_1536:source_t6_1024;study05/study05_p41:target_t24_512:source_t8_1536;study05/study05_p41:target_t29_1024:source_t0_0;study05/study05_p43:target_t35_0:source_t1_1536;study05/study05_p40:target_t31_512:source_t14_512
1678,676;578;491;557;5;409;123;444,study05/study05_p47:target_t18_1536:source_t2_512;study05/study05_p45:target_t34_1024:source_t1_0;study05/study05_p44:target_t28_1536:source_t9_0;study05/study05_p45:target_t29_0:source_t11_1536;study05/study05_p06:target_t18_512:source_t1_1536;study05/study05_p43:target_t31_0:source_t11_1536;study05/study05_p10:target_t26_0:source_t9_1536;study05/study05_p44:target_t17_0:source_t10_1024
1679,4;59;205;186;313;251;116;810,study05/study05_p06:target_t18_0:source_t1_1024;study05/study05_p06:target_t32_0:source_t15_1024;study05/study05_p24:target_t29_512:source_t16_0;study05/study05_p24:target_t24_512:source_t9_0;study05/study05_p41:target_t21_0:source_t5_1024;study05/study05_p40:target_t26_512:source_t8_512;study05/study05_p10:target_t24_512:source_t7_1536;study05/study05_p48:target_t34_1024:source_t1_1536
1680,786;492;588;213;663;138;177;336,study05/study05_p48:target_t26_1536:source_t8_1536;study05/study05_p44:target_t29_0:source_t9_512;study05/study05_p46:target_t18_512:source_t15_0;study05/study05_p24:target_t31_512:source_t1_0;study05/study05_p46:target_t37_1024:source_t16_1024;study05/study05_p10:target_t29_1536:source_t14_0;study05/study05_p24:target_t20_0:source_t6_1536;study05/study05_p41:target_t26_1536:source_t11_512
1681,715;589;458;208;450;117;165;778,study05/study05_p47:target_t28_1024:source_t13_512;study05/study05_p46:target_t18_1024:source_t15_512;study05/study05_p44:target_t20_1024:source_t0_1536;study05/study05_p24:target_t30_0:source_t16_1536;study05/study05_p44:target_t18_1024:source_t12_1536;study05/study05_p10:target_t24_1024:source_t8_0;study05/study05_p10:target_t36_1024:source_t4_0;study05/study05_p48:target_t24_1536:source_t6_1536
1682,750;339;459;495;431;598;726;515,study05/study05_p48:target_t17_512:source_t14_512;study05/study05_p41:target_t27_1024:source_t12_1024;study05/study05_p44:target_t20_1536:source_t1_0;study05/study05_p44:target_t29_1536:source_t10_1024;study05/study05_p43:target_t37_1536:source_t3_1536;study05/study05_p46:target_t20_1536:source_t17_1024;study05/study05_p47:target_t31_512:source_t16_1536;study05/study05_p44:target_t34_1536:source_t2_512
1683,71;261;471;522;52;102;507;657,study05/study05_p06:target_t35_0:source_t1_1024;study05/study05_p40:target_t28_1536:source_t11_0;study05/study05_p44:target_t23_1536:source_t4_0;study05/study05_p45:target_t18_0:source_t2_1024;study05/study05_p06:target_t30_512:source_t13_1536;study05/study05_p10:target_t20_1536:source_t4_512;study05/study05_p44:target_t32_1536:source_t0_512;study05/study05_p46:target_t36_0:source_t15_0
1684,606;281;693;532;651;383;227;631,study05/study05_p46:target_t22_1536:source_t1_1024;study05/study05_p40:target_t34_0:source_t17_0;study05/study05_p47:target_t23_0:source_t6_1536;study05/study05_p45:target_t20_1536:source_t5_0;study05/study05_p46:target_t34_1024:source_t13_512;study05/study05_p43:target_t23_1536:source_t5_512;study05/study05_p40:target_t19_1536:source_t2_512;study05/study05_p46:target_t29_1024:source_t7_1536
1685,101;166;167;408;462;772;700;740,study05/study05_p10:target_t20_1024:source_t4_0;study05/study05_p10:target_t36_1536:source_t4_512;study05/study05_p10:target_t37_0:source_t4_1024;study05/study05_p43:target_t30_1536:source_t11_1024;study05/study05_p44:target_t21_1024:source_t1_1536;study05/study05_p48:target_t23_0:source_t5_512;study05/study05_p47:target_t24_1536:source_t9_0;study05/study05_p47:target_t34_1536:source_t3_512
1686,142;125;477;267;277;678;38;607,study05/study05_p10:target_t30_1536:source_t15_512;study05/study05_p10:target_t26_1024:source_t10_512;study05/study05_p44:target_t25_512:source_t5_1024;study05/study05_p40:target_t30_512:source_t13_0;study05/study05_p40:target_t33_0:source_t16_0;study05/study05_p47:target_t19_512:source_t2_1536;study05/study05_p06:target_t26_1024:source_t10_0;study05/study05_p46:target_t23_0:source_t1_1536
1687,713;243;10;500;636;685;176;452,study05/study05_p47:target_t28_0:source_t12_1024;study05/study05_p40:target_t24_0:source_t6_512;study05/study05_p06:target_t19_1024:source_t3_0;study05/study05_p44:target_t31_0:source_t12_1024;study05/study05_p46:target_t30_1536:source_t9_0;study05/study05_p47:target_t21_0:source_t4_1024;study05/study05_p24:target_t17_512:source_t6_1024;study05/study05_p44:target_t19_0:source_t13_1536
1688,249;110;520;364;565;40;504;445,study05/study05_p40:target_t25_1024:source_t7_1536;study05/study05_p10:target_t22_1536:source_t6_512;study05/study05_p45:target_t17_0:source_t2_0;study05/study05_p43:target_t18_0:source_t0_1024;study05/study05_p45:target_t31_0:source_t14_0;study05/study05_p06:target_t27_0:source_t10_1024;study05/study05_p44:target_t32_0:source_t14_512;study05/study05_p44:target_t17_512:source_t11_0
1689,498;410;162;472;599;649;438;182,study05/study05_p44:target_t30_1024:source_t11_1024;study05/study05_p43:target_t31_512:source_t12_1536;study05/study05_p10:target_t35_1536:source_t3_512;study05/study05_p44:target_t24_0:source_t4_512;study05/study05_p46:target_t21_0:source_t17_1536;study05/study05_p46:target_t34_0:source_t12_1536;study05/study05_p44:target_t15_1024:source_t8_1024;study05/study05_p24:target_t23_0:source_t8_0
1690,195;16;61;332;803;181;6;43,study05/study05_p24:target_t26_1536:source_t12_512;study05/study05_p06:target_t21_0:source_t4_1024;study05/study05_p06:target_t32_1024:source_t16_0;study05/study05_p41:target_t25_1536:source_t10_512;study05/study05_p48:target_t32_512:source_t0_0;study05/study05_p24:target_t22_1536:source_t7_1536;study05/study05_p06:target_t18_1024:source_t2_0;study05/study05_p06:target_t27_1536:source_t11_512
1691,712;156;340;384;542;571;29;600,study05/study05_p47:target_t27_1536:source_t12_512;study05/study05_p10:target_t34_512:source_t1_1536;study05/study05_p41:target_t27_1536:source_t12_1536;study05/study05_p43:target_t24_0:source_t5_1024;study05/study05_p45:target_t24_1024:source_t7_1024;study05/study05_p45:target_t32_1024:source_t16_0;study05/study05_p06:target_t24_512:source_t7_1536;study05/study05_p46:target_t21_512:source_t0_0
1692,416;379;671;615;466;749;228;614,study05/study05_p43:target_t32_1536:source_t0_0;study05/study05_p43:target_t22_512:source_t4_512;study05/study05_p47:target_t17_1024:source_t1_0;study05/study05_p46:target_t25_0:source_t3_1536;study05/study05_p44:target_t22_1024:source_t2_1536;study05/study05_p48:target_t17_0:source_t13_512;study05/study05_p40:target_t20_0:source_t2_1024;study05/study05_p46:target_t24_1536:source_t3_1024
1693,144;511;648;720;488;494;414;370,study05/study05_p10:target_t31_512:source_t15_1536;study05/study05_p44:target_t33_1536:source_t1_512;study05/study05_p46:target_t33_1536:source_t12_1024;study05/study05_p47:target_t29_1536:source_t14_1024;study05/study05_p44:target_t28_0:source_t8_512;study05/study05_p44:target_t29_1024:source_t9_1536;study05/study05_p43:target_t32_512:source_t15_0;study05/study05_p43:target_t19_1024:source_t2_0
1694,752;807;746;80;353;69;744;748,study05/study05_p48:target_t17_1536:source_t0_512;study05/study05_p48:target_t33_1536:source_t1_0;study05/study05_p48:target_t16_512:source_t11_1536;study05/study05_p06:target_t37_512:source_t3_1536;study05/study05_p41:target_t31_0:source_t1_1024;study05/study05_p06:target_t34_1024:source_t1_0;study05/study05_p48:target_t15_1536:source_t11_512;study05/study05_p48:target_t16_1536:source_t12_1536
1695,201;109;140;704;300;226;292;419,study05/study05_p24:target_t28_512:source_t14_1536;study05/study05_p10:target_t22_1024:source_t6_0;study05/study05_p10:target_t30_512:source_t14_1024;study05/study05_p47:target_t25_1536:source_t10_0;study05/study05_p41:target_t17_1536:source_t2_512;study05/study05_p40:target_t19_1024:source_t2_0;study05/study05_p40:target_t36_1536:source_t1_1536;study05/study05_p43:target_t34_0:source_t0_1536
1696,516;526;192;405;435;257;564;544,study05/study05_p44:target_t35_0:source_t2_1024;study05/study05_p45:target_t19_0:source_t3_1024;study05/study05_p24:target_t26_0:source_t10_1024;study05/study05_p43:target_t30_0:source_t10_1536;study05/study05_p43:target_t38_1536:source_t4_1536;study05/study05_p40:target_t27_1536:source_t10_0;study05/study05_p45:target_t30_1536:source_t13_1536;study05/study05_p45:target_t25_0:source_t8_512
1697,413;297;669;768;330;385;325;575,study05/study05_p43:target_t32_0:source_t14_512;study05/study05_p41:target_t17_0:source_t1_1024;study05/study05_p47:target_t17_0:source_t0_1024;study05/study05_p48:target_t22_0:source_t4_512;study05/study05_p41:target_t25_512:source_t9_1536;study05/study05_p43:target_t24_512:source_t5_1536;study05/study05_p41:target_t24_0:source_t8_1024;study05/study05_p45:target_t33_1536:source_t0_512
1698,99;179;316;480;37;382;448;816,study05/study05_p10:target_t20_0:source_t3_1024;study05/study05_p24:target_t21_512:source_t7_512;study05/study05_p41:target_t21_1536:source_t6_512;study05/study05_p44:target_t26_0:source_t6_512;study05/study05_p06:target_t26_512:source_t9_1536;study05/study05_p43:target_t23_0:source_t5_0;study05/study05_p44:target_t18_0:source_t11_1536;study05/study05_p48:target_t36_1024:source_t3_512
1699,792;690;811;222;688;725;728;393,study05/study05_p48:target_t29_0:source_t10_512;study05/study05_p47:target_t22_512:source_t5_1536;study05/study05_p48:target_t34_1536:source_t2_0;study05/study05_p40:target_t18_1024:source_t1_0;study05/study05_p47:target_t21_1536:source_t5_512;study05/study05_p47:target_t31_0:source_t16_1024;study05/study05_p47:target_t31_1536:source_t0_512;study05/study05_p43:target_t26_512:source_t7_1536
1700,299;510;212;664;51;190;596;178,study05/study05_p41:target_t17_1024:source_t2_0;study05/study05_p44:target_t33_1024:source_t1_0;study05/study05_p24:target_t31_0:source_t0_1536;study05/study05_p46:target_t37_1536:source_t16_1536;study05/study05_p06:target_t30_0:source_t13_1024;study05/study05_p24:target_t25_1024:source_t10_0;study05/study05_p46:target_t20_512:source_t17_0;study05/study05_p24:target_t21_0:source_t7_0
1701,199;429;642;89;390;539;35;225,study05/study05_p24:target_t27_1536:source_t14_0;study05/study05_p43:target_t37_512:source_t3_512;study05/study05_p46:target_t32_512:source_t10_1024;study05/study05_p10:target_t17_1024:source_t1_0;study05/study05_p43:target_t25_1024:source_t7_0;study05/study05_p45:target_t23_512:source_t6_1536;study05/study05_p06:target_t25_1536:source_t9_512;study05/study05_p40:target_t19_512:source_t1_1536
