method,participant,rrmse_temporal,severity
POP_MARGINAL_SCAD_K1,sub-06,1.7758788963158925,severe
POP_MARGINAL_SCAD_K1,sub-07,0.19350064855264257,mild
POP_MARGINAL_SCAD_K1,sub-06,0.15466402639324464,mild
POP_MARGINAL_SCAD_K1,sub-06,0.4728500892718633,medium
POP_MARGINAL_SCAD_K1,sub-09,6.73037818064192,severe
POP_MARGINAL_SCAD_K1,sub-09,0.14920299674343804,mild
POP_MARGINAL_SCAD_K1,sub-09,0.7244782977634006,medium
RAW,sub-07,0.7378139495849609,medium
RAW,sub-07,1.8737432658672333,severe
RAW,sub-06,3.3314195233722064,severe
RAW,sub-07,0.17101983357550513,mild
RAW,sub-06,0.16807947461493314,mild
RAW,sub-06,0.7287216288702828,medium
RAW,sub-09,6.951867027716204,severe
RAW,sub-09,0.10114303188722419,mild
RAW,sub-09,0.8019104997316996,medium
STANDARD,sub-07,0.7378139495849609,medium
STANDARD,sub-07,1.8737432658672333,severe
STANDARD,sub-06,3.3314195233722064,severe
STANDARD,sub-07,0.17101983357550513,mild
STANDARD,sub-06,0.16807947461493314,mild
STANDARD,sub-06,0.7287216288702828,medium
STANDARD,sub-09,6.951867027716204,severe
STANDARD,sub-09,0.10114303188722419,mild
STANDARD,sub-09,0.8019104997316996,medium
V22_FIX_MATCH,sub-14,0.1314711662864229,mild
V22_FIX_MATCH,sub-11,1.7751217236121495,severe
V22_FIX_MATCH,sub-11,0.6017896050214767,medium
V22_FIX_MATCH,sub-12,3.4826341678698856,severe
V22_FIX_MATCH,sub-12,0.1374953822320771,mild
V22_FIX_MATCH,sub-14,1.342988861259073,severe
V22_FIX_MATCH,sub-11,0.19604974921413199,mild
V22_FIX_MATCH,sub-12,0.5976861723159489,medium
V22_FIX_MATCH,sub-14,0.5419491425608144,medium
V22_FIX_POP,sub-14,0.1408237905359702,mild
V22_FIX_POP,sub-11,1.782710740963618,severe
V22_FIX_POP,sub-11,0.5808185827732086,medium
V22_FIX_POP,sub-12,3.4685753246148425,severe
V22_FIX_POP,sub-12,0.14389972238148951,mild
V22_FIX_POP,sub-14,1.5139361447654665,severe
